pve estimate =0.0634098	se(pve) =0.0893863
pve estimate =9.9999e-06	se(pve) =0.0390776
pve estimate =9.9999e-06	se(pve) =0.0739239
pve estimate =9.9999e-06	se(pve) =0.0235293
pve estimate =0.00434825	se(pve) =0.039845
pve estimate =0.0275387	se(pve) =0.0788967
pve estimate =0.0759551	se(pve) =0.0768296
pve estimate =0.18311	se(pve) =0.110897
pve estimate =0.0698605	se(pve) =0.0761644
pve estimate =0.0123795	se(pve) =0.0226893
pve estimate =0.0292263	se(pve) =0.050738
pve estimate =0.042258	se(pve) =0.0653515
pve estimate =9.9999e-06	se(pve) =0.0212236
pve estimate =9.9999e-06	se(pve) =0.0579766
pve estimate =9.9999e-06	se(pve) =0.138083
pve estimate =9.9999e-06	se(pve) =0.0590907
pve estimate =9.9999e-06	se(pve) =0.0344761
pve estimate =0.0191273	se(pve) =0.0672636
pve estimate =9.9999e-06	se(pve) =0.0235783
pve estimate =9.9999e-06	se(pve) =0.0420184
pve estimate =9.9999e-06	se(pve) =0.0562728
pve estimate =9.9999e-06	se(pve) =0.0207674
pve estimate =0.0746601	se(pve) =0.0834992
pve estimate =0.054631	se(pve) =0.0625483
pve estimate =0.0310476	se(pve) =0.0362588
pve estimate =0.0329065	se(pve) =0.0512595
pve estimate =9.9999e-06	se(pve) =0.0980956
pve estimate =9.9999e-06	se(pve) =0.0352164
pve estimate =0.0309995	se(pve) =0.0671035
pve estimate =9.9999e-06	se(pve) =0.126708
pve estimate =0.0290442	se(pve) =0.0490445
pve estimate =9.9999e-06	se(pve) =0.0325174
pve estimate =0.0341539	se(pve) =0.0542425
pve estimate =9.9999e-06	se(pve) =0.0160905
pve estimate =9.9999e-06	se(pve) =0.0703776
pve estimate =0.00482472	se(pve) =0.0334077
pve estimate =0.00405245	se(pve) =0.0208915
pve estimate =0.0227755	se(pve) =0.0368129
pve estimate =0.00725731	se(pve) =0.0436968
pve estimate =9.9999e-06	se(pve) =0.0201537
pve estimate =9.9999e-06	se(pve) =0.0586155
pve estimate =0.0144686	se(pve) =0.0594569
pve estimate =9.9999e-06	se(pve) =0.0211997
pve estimate =9.9999e-06	se(pve) =0.0537325
pve estimate =9.9999e-06	se(pve) =0.139528
pve estimate =0.0239786	se(pve) =0.0346924
pve estimate =9.9999e-06	se(pve) =0.0847814
pve estimate =9.9999e-06	se(pve) =0.0698258
pve estimate =9.9999e-06	se(pve) =0.0288827
pve estimate =9.9999e-06	se(pve) =0.0661872
pve estimate =0.0601236	se(pve) =0.0638621
pve estimate =9.9999e-06	se(pve) =0.044313
pve estimate =9.9999e-06	se(pve) =0.0502018
pve estimate =0.148835	se(pve) =0.0805518
pve estimate =0.0580107	se(pve) =0.114287
pve estimate =0.00897174	se(pve) =0.0681247
pve estimate =9.9999e-06	se(pve) =0.0763221
pve estimate =0.0776724	se(pve) =0.0687511
pve estimate =0.003455	se(pve) =0.0379913
pve estimate =0.00256364	se(pve) =0.0361399
pve estimate =9.9999e-06	se(pve) =0.027977
pve estimate =9.9999e-06	se(pve) =0.110574
pve estimate =9.9999e-06	se(pve) =0.0752888
pve estimate =0.00558418	se(pve) =0.0211836
pve estimate =0.0500515	se(pve) =0.0548937
pve estimate =0.0512578	se(pve) =0.0542933
pve estimate =9.9999e-06	se(pve) =0.0279393
pve estimate =9.9999e-06	se(pve) =0.0480464
pve estimate =9.9999e-06	se(pve) =0.0699059
pve estimate =9.9999e-06	se(pve) =0.0207185
pve estimate =9.9999e-06	se(pve) =0.0729293
pve estimate =9.9999e-06	se(pve) =0.078376
pve estimate =0.0122188	se(pve) =0.0317186
pve estimate =0.000887418	se(pve) =0.0474282
pve estimate =9.9999e-06	se(pve) =0.0458605
pve estimate =9.9999e-06	se(pve) =0.0253795
pve estimate =9.9999e-06	se(pve) =0.161545
pve estimate =9.9999e-06	se(pve) =0.0768332
pve estimate =0.00725011	se(pve) =0.0223615
pve estimate =0.0433726	se(pve) =0.0764019
pve estimate =0.0265695	se(pve) =0.0558684
pve estimate =0.0394891	se(pve) =0.0594295
pve estimate =0.0139699	se(pve) =0.0418593
pve estimate =0.0107948	se(pve) =0.0444191
pve estimate =9.9999e-06	se(pve) =0.0149682
pve estimate =9.9999e-06	se(pve) =2.18156
pve estimate =9.9999e-06	se(pve) =0.0535488
pve estimate =9.9999e-06	se(pve) =0.0264153
pve estimate =0.0139893	se(pve) =0.0518438
pve estimate =0.0734888	se(pve) =0.0767181
pve estimate =9.9999e-06	se(pve) =0.0318837
pve estimate =0.0167492	se(pve) =0.0631384
pve estimate =9.9999e-06	se(pve) =0.0853161
pve estimate =0.0242382	se(pve) =0.0305642
pve estimate =9.9999e-06	se(pve) =0.0454073
pve estimate =9.9999e-06	se(pve) =0.0463862
pve estimate =0.276055	se(pve) =0.190219
pve estimate =0.052601	se(pve) =0.0720602
pve estimate =0.090518	se(pve) =0.0987406
pve estimate =0.014555	se(pve) =0.0253388
pve estimate =9.9999e-06	se(pve) =0.0328104
pve estimate =9.9999e-06	se(pve) =0.12109
