"trait","line","exp","region","gene_count","ps_count","line_region"
"chloro.plast","A17","24","Chromosome",9,9,"A17_Chromosome"
"chloro.plast","A17","24","pSymA",60,74,"A17_pSymA"
"chloro.plast","A17","24","pSymB",101,142,"A17_pSymB"
"chloro.plast","DZA","13","Chromosome",10,10,"DZA_Chromosome"
"chloro.plast","DZA","13","pSymA",177,269,"DZA_pSymA"
"chloro.plast","DZA","13","pSymB",211,302,"DZA_pSymB"
"chloro1","A17","2","Chromosome",14,14,"A17_Chromosome"
"chloro1","A17","2","pSymA",59,73,"A17_pSymA"
"chloro1","A17","2","pSymB",116,166,"A17_pSymB"
"chloro1","A17","4","Chromosome",2,3,"A17_Chromosome"
"chloro1","A17","4","pSymA",13,13,"A17_pSymA"
"chloro1","A17","4","pSymB",102,130,"A17_pSymB"
"chloro1","DZA","1","Chromosome",4,4,"DZA_Chromosome"
"chloro1","DZA","1","pSymA",87,120,"DZA_pSymA"
"chloro1","DZA","1","pSymB",155,194,"DZA_pSymB"
"chloro1","DZA","3","Chromosome",9,9,"DZA_Chromosome"
"chloro1","DZA","3","pSymA",91,120,"DZA_pSymA"
"chloro1","DZA","3","pSymB",57,70,"DZA_pSymB"
"height.plast","A17","24","Chromosome",15,15,"A17_Chromosome"
"height.plast","A17","24","pSymA",54,82,"A17_pSymA"
"height.plast","A17","24","pSymB",152,192,"A17_pSymB"
"height.plast","DZA","13","Chromosome",4,4,"DZA_Chromosome"
"height.plast","DZA","13","pSymA",207,326,"DZA_pSymA"
"height.plast","DZA","13","pSymB",327,461,"DZA_pSymB"
"height1","A17","2","Chromosome",0,0,"A17_Chromosome"
"height1","A17","2","pSymA",61,99,"A17_pSymA"
"height1","A17","2","pSymB",91,124,"A17_pSymB"
"height1","A17","4","Chromosome",7,7,"A17_Chromosome"
"height1","A17","4","pSymA",63,83,"A17_pSymA"
"height1","A17","4","pSymB",64,82,"A17_pSymB"
"height1","DZA","1","Chromosome",4,4,"DZA_Chromosome"
"height1","DZA","1","pSymA",161,231,"DZA_pSymA"
"height1","DZA","1","pSymB",292,406,"DZA_pSymB"
"height1","DZA","3","Chromosome",6,6,"DZA_Chromosome"
"height1","DZA","3","pSymA",199,318,"DZA_pSymA"
"height1","DZA","3","pSymB",270,385,"DZA_pSymB"
"leaf.plast","A17","24","Chromosome",63,68,"A17_Chromosome"
"leaf.plast","A17","24","pSymA",46,57,"A17_pSymA"
"leaf.plast","A17","24","pSymB",277,369,"A17_pSymB"
"leaf.plast","DZA","13","Chromosome",25,27,"DZA_Chromosome"
"leaf.plast","DZA","13","pSymA",196,313,"DZA_pSymA"
"leaf.plast","DZA","13","pSymB",282,419,"DZA_pSymB"
"leaf1","A17","2","Chromosome",3,3,"A17_Chromosome"
"leaf1","A17","2","pSymA",50,81,"A17_pSymA"
"leaf1","A17","2","pSymB",87,108,"A17_pSymB"
"leaf1","A17","4","Chromosome",65,75,"A17_Chromosome"
"leaf1","A17","4","pSymA",108,146,"A17_pSymA"
"leaf1","A17","4","pSymB",177,228,"A17_pSymB"
"leaf1","DZA","1","Chromosome",3,3,"DZA_Chromosome"
"leaf1","DZA","1","pSymA",97,132,"DZA_pSymA"
"leaf1","DZA","1","pSymB",271,380,"DZA_pSymB"
"leaf1","DZA","3","Chromosome",17,19,"DZA_Chromosome"
"leaf1","DZA","3","pSymA",204,327,"DZA_pSymA"
"leaf1","DZA","3","pSymB",261,383,"DZA_pSymB"
"nod","A17","2","Chromosome",59,64,"A17_Chromosome"
"nod","A17","2","pSymA",171,254,"A17_pSymA"
"nod","A17","2","pSymB",175,247,"A17_pSymB"
"nod","A17","4","Chromosome",1,1,"A17_Chromosome"
"nod","A17","4","pSymA",103,141,"A17_pSymA"
"nod","A17","4","pSymB",151,189,"A17_pSymB"
"nod","DZA","1","Chromosome",4,4,"DZA_Chromosome"
"nod","DZA","1","pSymA",57,76,"DZA_pSymA"
"nod","DZA","1","pSymB",84,112,"DZA_pSymB"
"nod","DZA","3","Chromosome",1,1,"DZA_Chromosome"
"nod","DZA","3","pSymA",45,55,"DZA_pSymA"
"nod","DZA","3","pSymB",97,117,"DZA_pSymB"
"nod.weight","A17","2","Chromosome",0,0,"A17_Chromosome"
"nod.weight","A17","2","pSymA",123,207,"A17_pSymA"
"nod.weight","A17","2","pSymB",99,130,"A17_pSymB"
"nod.weight","A17","4","Chromosome",57,65,"A17_Chromosome"
"nod.weight","A17","4","pSymA",74,106,"A17_pSymA"
"nod.weight","A17","4","pSymB",74,91,"A17_pSymB"
"nod.weight","DZA","1","Chromosome",0,0,"DZA_Chromosome"
"nod.weight","DZA","1","pSymA",47,57,"DZA_pSymA"
"nod.weight","DZA","1","pSymB",111,143,"DZA_pSymB"
"nod.weight","DZA","3","Chromosome",7,8,"DZA_Chromosome"
"nod.weight","DZA","3","pSymA",112,155,"DZA_pSymA"
"nod.weight","DZA","3","pSymB",78,100,"DZA_pSymB"
"shoot","A17","2","Chromosome",5,5,"A17_Chromosome"
"shoot","A17","2","pSymA",150,242,"A17_pSymA"
"shoot","A17","2","pSymB",116,161,"A17_pSymB"
"shoot","A17","4","Chromosome",0,0,"A17_Chromosome"
"shoot","A17","4","pSymA",56,75,"A17_pSymA"
"shoot","A17","4","pSymB",106,138,"A17_pSymB"
"shoot","DZA","1","Chromosome",3,3,"DZA_Chromosome"
"shoot","DZA","1","pSymA",98,127,"DZA_pSymA"
"shoot","DZA","1","pSymB",219,288,"DZA_pSymB"
"shoot","DZA","3","Chromosome",1,1,"DZA_Chromosome"
"shoot","DZA","3","pSymA",189,320,"DZA_pSymA"
"shoot","DZA","3","pSymB",104,140,"DZA_pSymB"
"shoot.plast","A17","24","Chromosome",8,8,"A17_Chromosome"
"shoot.plast","A17","24","pSymA",43,58,"A17_pSymA"
"shoot.plast","A17","24","pSymB",221,314,"A17_pSymB"
"shoot.plast","DZA","13","Chromosome",6,6,"DZA_Chromosome"
"shoot.plast","DZA","13","pSymA",180,287,"DZA_pSymA"
"shoot.plast","DZA","13","pSymB",211,318,"DZA_pSymB"
