"trait","line","region","gene_count","ps_count"
"chloro.plast","A17","Chromosome",9,9
"chloro.plast","A17","pSymA",60,74
"chloro.plast","A17","pSymB",101,142
"chloro.plast","DZA","Chromosome",10,10
"chloro.plast","DZA","pSymA",177,269
"chloro.plast","DZA","pSymB",211,302
"chloro1","A17","Chromosome",15,16
"chloro1","A17","pSymA",72,86
"chloro1","A17","pSymB",199,289
"chloro1","DZA","Chromosome",13,13
"chloro1","DZA","pSymA",162,238
"chloro1","DZA","pSymB",201,263
"height.plast","A17","Chromosome",15,15
"height.plast","A17","pSymA",54,82
"height.plast","A17","pSymB",152,192
"height.plast","DZA","Chromosome",4,4
"height.plast","DZA","pSymA",207,326
"height.plast","DZA","pSymB",327,461
"height1","A17","Chromosome",7,7
"height1","A17","pSymA",113,177
"height1","A17","pSymB",142,204
"height1","DZA","Chromosome",10,10
"height1","DZA","pSymA",282,504
"height1","DZA","pSymB",498,770
"leaf.plast","A17","Chromosome",63,68
"leaf.plast","A17","pSymA",46,57
"leaf.plast","A17","pSymB",277,369
"leaf.plast","DZA","Chromosome",25,27
"leaf.plast","DZA","pSymA",196,313
"leaf.plast","DZA","pSymB",282,419
"leaf1","A17","Chromosome",68,78
"leaf1","A17","pSymA",145,216
"leaf1","A17","pSymB",243,329
"leaf1","DZA","Chromosome",20,22
"leaf1","DZA","pSymA",258,436
"leaf1","DZA","pSymB",437,701
"nod","A17","Chromosome",60,65
"nod","A17","pSymA",224,376
"nod","A17","pSymB",288,420
"nod","DZA","Chromosome",5,5
"nod","DZA","pSymA",91,127
"nod","DZA","pSymB",171,226
"nod.weight","A17","Chromosome",57,65
"nod.weight","A17","pSymA",177,292
"nod.weight","A17","pSymB",160,217
"nod.weight","DZA","Chromosome",7,8
"nod.weight","DZA","pSymA",144,205
"nod.weight","DZA","pSymB",176,238
"shoot","A17","Chromosome",5,5
"shoot","A17","pSymA",181,298
"shoot","A17","pSymB",197,284
"shoot","DZA","Chromosome",4,4
"shoot","DZA","pSymA",246,430
"shoot","DZA","pSymB",298,423
"shoot.plast","A17","Chromosome",8,8
"shoot.plast","A17","pSymA",43,58
"shoot.plast","A17","pSymB",221,314
"shoot.plast","DZA","Chromosome",6,6
"shoot.plast","DZA","pSymA",180,287
"shoot.plast","DZA","pSymB",211,318
