"region","gene_ID","RefSeq_ID","ncbi_func","traits","lines","overlap"
"Chromosome","CDO30_00120","NP_385622.1","valine--tRNA ligase","leaf","A17","trait_only"
"Chromosome","CDO30_00175","NP_385612.1","DUF1009 domain-containing protein","leaf.plast","A17","plast_only"
"Chromosome","CDO30_00270","NP_385594.1","AzlC family protein","leaf","A17","trait_only"
"Chromosome","CDO30_00430","NP_385562.3","bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_00510","NP_385546.1","CTP synthetase","leaf","A17","trait_only"
"Chromosome","CDO30_00550","NP_385538.1","N-acetyltransferase","leaf","A17","trait_only"
"Chromosome","CDO30_00655","WP_003534680.1","hypothetical protein","leaf","A17","trait_only"
"Chromosome","CDO30_00665","NP_385518.1","hypothetical protein","leaf","A17","trait_only"
"Chromosome","CDO30_00760","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase","leaf, leaf.plast","DZA","both_traits"
"Chromosome","CDO30_00795","NP_385493.1","ATPase","leaf","A17","trait_only"
"Chromosome","CDO30_01045","WP_003525183.1","elongation factor Tu","leaf","A17","trait_only"
"Chromosome","CDO30_01275","WP_020487473.1","DNA topoisomerase I","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_01280","NP_385405.1","ribonuclease R","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_01345","NP_385392.1","proline--tRNA ligase","leaf","A17","trait_only"
"Chromosome","CDO30_01495","NP_385367.1","exonuclease SbcCD subunit D","leaf","A17","trait_only"
"Chromosome","CDO30_01835","NP_385301.1","rhodanese-like domain-containing protein","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_01905","WP_018094697.1","type IV secretory pathway protein AcvB","leaf.plast","A17","plast_only"
"Chromosome","CDO30_02010","NP_385267.1","AMP-dependent synthetase","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_02055","NP_385260.1","LPS export ABC transporter permease LptF","leaf, leaf.plast","DZA","both_traits"
"Chromosome","CDO30_02310","YP_001326397.1","folate-binding protein","leaf","A17","trait_only"
"Chromosome","CDO30_02380","NP_385196.1","DUF2339 domain-containing protein","leaf","A17","trait_only"
"Chromosome","CDO30_02390","NP_385195.1","DUF839 domain-containing protein","leaf, leaf.plast","A17","both_traits"
