"plant_ID","strain_ID","line","exp","chloro1","height1","leaf1","chloro2","height2","leaf2","nod","nod.weight","shoot","root","rack","pos","type","add","strains","region","pop","plant_origin","lat","long","line_exp","soil","compat"
"304","5","DZA","1",53,3.2,5,35.9,NA,NA,45,3.8,0.73,0.54,"E12","3","treated","MAG","MAG5","FRANCE","4","F20089",43.12226667,3.096033333,"DZA_1","4",1
"468","5","DZA","1",43,5.5,6,47.1,NA,NA,67,2.2,0.61,1.92,"C7","7","treated","MAG","MAG5","FRANCE","4","F20089",43.12226667,3.096033333,"DZA_1","4",1
"643","5","DZA","1",52.9,4.3,5,53.1,NA,NA,32,3.7,0.45,0.49,"B6","10","treated","MAG","MAG5","FRANCE","4","F20089",43.12226667,3.096033333,"DZA_1","4",1
"104","8","DZA","1",45.4,3.5,5,47.9,NA,NA,56,2.2,0.61,1.56,"D8","3","treated","MAG","MAG8","FRANCE","6","F66009",42.74205,2.814916667,"DZA_1","6",1
"256","8","DZA","1",51.9,4.3,5,46.1,NA,NA,41,2.9,0.4,0.37,"B7","8","treated","MAG","MAG8","FRANCE","6","F66009",42.74205,2.814916667,"DZA_1","6",1
"720","8","DZA","1",50.8,4.5,5,43.4,NA,NA,52,13.9,0.63,1.64,"D5","5","treated","MAG","MAG8","FRANCE","6","F66009",42.74205,2.814916667,"DZA_1","6",1
"169","9","DZA","1",NA,3.7,6,41.6,NA,NA,69,1.7,0.38,0.4,"D5","8","treated","MAG","MAG9","SPAIN","8","ESP174",38.41355,-1.014683333,"DZA_1","8",1
"506","9","DZA","1",39.7,2.4,6,45.1,NA,NA,31,2,0.37,0.45,"D9","9","treated","MAG","MAG9","SPAIN","8","ESP174",38.41355,-1.014683333,"DZA_1","8",1
"670","9","DZA","1",47.1,4.6,6,42.6,NA,NA,94,1.9,0.32,0.34,"B9","1","treated","MAG","MAG9","SPAIN","8","ESP174",38.41355,-1.014683333,"DZA_1","8",1
"232","10","DZA","1",45.7,4,4,50.8,NA,NA,40,2.9,0.36,0.11,"B1","1","treated","MAG","MAG10","SPAIN","8","ESP174",38.41355,-1.014683333,"DZA_1","8",1
"515","10","DZA","1",48.9,4.4,5,41.8,NA,NA,50,2.6,0.84,0.83,"E10","5","treated","MAG","MAG10","SPAIN","8","ESP174",38.41355,-1.014683333,"DZA_1","8",1
"635","10","DZA","1",48.1,4.1,7,51.7,NA,NA,36,2.4,0.7,0.46,"C6","8","treated","MAG","MAG10","SPAIN","8","ESP174",38.41355,-1.014683333,"DZA_1","8",1
"63","14","DZA","1",40.6,5.7,5,38.3,NA,NA,37,2.2,0.79,0.49,"F2","3","treated","MAG","MAG14","FRANCE","4","ESP174",43.12198333,3.095533333,"DZA_1","4",1
"492","14","DZA","1",45.9,4.8,6,46.1,NA,NA,65,1.4,0.35,0.18,"A5","7","treated","MAG","MAG14","FRANCE","4","ESP174",43.12198333,3.095533333,"DZA_1","4",1
"540","14","DZA","1",42.3,3.5,3,42.9,NA,NA,42,1.3,0.52,1.33,"C9","6","treated","MAG","MAG14","FRANCE","4","ESP174",43.12198333,3.095533333,"DZA_1","4",1
"39","15","DZA","1",46.6,4.1,6,48.9,NA,NA,47,3.3,0.79,2,"E8","7","treated","MAG","MAG15","FRANCE","7","F66009",42.58826667,2.78495,"DZA_1","7",1
"326","15","DZA","1",46.5,4.2,7,50.2,NA,NA,23,NA,0.62,0.67,"C5","3","treated","MAG","MAG15","FRANCE","7","F66009",42.58826667,2.78495,"DZA_1","7",1
"568","15","DZA","1",51.6,5.1,6,53.3,NA,NA,53,2.5,0.55,0.29,"A11","8","treated","MAG","MAG15","FRANCE","7","F66009",42.58826667,2.78495,"DZA_1","7",1
"156","16","DZA","1",56.8,3.6,7,50.4,NA,NA,59,3.6,0.84,1.12,"D12","3","treated","MAG","MAG16","FRANCE","4","F20089",43.12226667,3.096033333,"DZA_1","4",1
"279","16","DZA","1",52.4,5.3,5,49.2,NA,NA,48,2.2,0.66,0.51,"C3","8","treated","MAG","MAG16","FRANCE","4","F20089",43.12226667,3.096033333,"DZA_1","4",1
"644","16","DZA","1",46.1,4.4,6,43.8,NA,NA,47,2,0.4,0.28,"A1","1","treated","MAG","MAG16","FRANCE","4","F20089",43.12226667,3.096033333,"DZA_1","4",1
"111","17","DZA","1",43.4,3.1,5,45.8,NA,NA,71,2.5,0.32,0.29,"C5","6","treated","MAG","MAG17","FRANCE","5","F20089",42.82301667,2.9269,"DZA_1","5",1
"160","17","DZA","1",47.7,5.1,5,41.7,NA,NA,73,1.1,0.37,0.25,"B2","5","treated","MAG","MAG17","FRANCE","5","F20089",42.82301667,2.9269,"DZA_1","5",1
"646","17","DZA","1",44.2,3.7,5,38.7,NA,NA,48,2.2,0.55,0.42,"E3","2","treated","MAG","MAG17","FRANCE","5","F20089",42.82301667,2.9269,"DZA_1","5",1
"205","18","DZA","1",54,5.2,5,46.1,NA,NA,48,0.5,0.51,0.49,"B12","7","treated","MAG","MAG18","FRANCE","7","F66009",42.58826667,2.78495,"DZA_1","7",1
"306","18","DZA","1",38,5.1,6,46.8,NA,NA,59,1.8,0.49,0.35,"A7","8","treated","MAG","MAG18","FRANCE","7","F66009",42.58826667,2.78495,"DZA_1","7",1
"570","18","DZA","1",40.9,4.2,5,32.2,NA,NA,43,2.5,0.83,0.96,"E10","4","treated","MAG","MAG18","FRANCE","7","F66009",42.58826667,2.78495,"DZA_1","7",1
"154","21","DZA","1",51.1,4.5,5,48.1,NA,NA,24,2.7,0.63,0.79,"B6","5","treated","MAG","MAG21","SPAIN","8","ESP174",38.41355,-1.014683333,"DZA_1","8",1
"238","21","DZA","1",47.1,5,6,48.6,NA,NA,52,2.6,0.58,1.55,"C10","8","treated","MAG","MAG21","SPAIN","8","ESP174",38.41355,-1.014683333,"DZA_1","8",1
"655","21","DZA","1",41.7,5.7,5,43.1,NA,NA,39,1.9,1.01,0.48,"F1","3","treated","MAG","MAG21","SPAIN","8","ESP174",38.41355,-1.014683333,"DZA_1","8",1
"340","24","DZA","1",52.2,3.5,4,42.8,NA,NA,52,1.7,0.73,1.41,"E6","5","treated","MAG","MAG24","FRANCE","4","F20089",43.12226667,3.096033333,"DZA_1","4",1
"545","24","DZA","1",48.7,3.2,8,48.1,NA,NA,31,2.3,0.46,0.39,"B9","5","treated","MAG","MAG24","FRANCE","4","F20089",43.12226667,3.096033333,"DZA_1","4",1
"645","24","DZA","1",45.3,4.7,4,42.5,NA,NA,46,1.7,0.25,0.11,"A1","9","treated","MAG","MAG24","FRANCE","4","F20089",43.12226667,3.096033333,"DZA_1","4",1
"127","26","DZA","1",40.3,5.4,5,41.7,NA,NA,56,0.8,0.64,0.59,"F1","7","treated","MAG","MAG26","FRANCE","7","F20089",42.5883,2.785,"DZA_1","7",1
"179","26","DZA","1",NA,3.8,5,43,NA,NA,70,1.9,NA,NA,"B6","1","treated","MAG","MAG26","FRANCE","7","F20089",42.5883,2.785,"DZA_1","7",1
"370","26","DZA","1",44.7,5.8,6,43.3,NA,NA,83,1.2,0.25,0.38,"C2","1","treated","MAG","MAG26","FRANCE","7","F20089",42.5883,2.785,"DZA_1","7",1
"4","27","DZA","1",46.4,4.9,4,45,NA,NA,29,2.7,0.78,1.49,"E6","2","treated","MAG","MAG27","FRANCE","4","ESP174",43.12198333,3.095533333,"DZA_1","4",1
"388","27","DZA","1",40,5.1,6,52.8,NA,NA,44,1.5,0.52,1.68,"C7","3","treated","MAG","MAG27","FRANCE","4","ESP174",43.12198333,3.095533333,"DZA_1","4",1
"411","27","DZA","1",53.6,5.1,6,48.4,NA,NA,40,2.6,0.55,0.33,"B9","3","treated","MAG","MAG27","FRANCE","4","ESP174",43.12198333,3.095533333,"DZA_1","4",1
"140","31","DZA","1",37.6,4.4,5,32.5,NA,NA,92,1.8,0.28,0.25,"E3","3","treated","MAG","MAG31","SPAIN","9","ESP174",36.91083333,-3.477116667,"DZA_1","9",1
"399","31","DZA","1",46.5,4.4,5,37.9,NA,NA,88,0.5,0.26,0.17,"A8","10","treated","MAG","MAG31","SPAIN","9","ESP174",36.91083333,-3.477116667,"DZA_1","9",1
