plant_ID,strain_ID,line,exp,height1,leaf1,chloro1,height2,leaf2,chloro2,nod,nod.weight,shoot,root
304,5,DZA,1,3.2,5,53,NA,NA,35.9,45,3.8,0.73,0.54
468,5,DZA,1,5.5,6,43,NA,NA,47.1,67,2.2,0.61,1.92
643,5,DZA,1,4.3,5,52.9,NA,NA,53.1,32,3.7,0.45,0.49
104,8,DZA,1,3.5,5,45.4,NA,NA,47.9,56,2.2,0.61,1.56
256,8,DZA,1,4.3,5,51.9,NA,NA,46.1,41,2.9,0.4,0.37
720,8,DZA,1,4.5,5,50.8,NA,NA,43.4,52,13.9,0.63,1.64
169,9,DZA,1,3.7,6,NA,NA,NA,41.6,69,1.7,0.38,0.4
506,9,DZA,1,2.4,6,39.7,NA,NA,45.1,31,2,0.37,0.45
670,9,DZA,1,4.6,6,47.1,NA,NA,42.6,94,1.9,0.32,0.34
232,10,DZA,1,4,4,45.7,NA,NA,50.8,40,2.9,0.36,0.11
515,10,DZA,1,4.4,5,48.9,NA,NA,41.8,50,2.6,0.84,0.83
635,10,DZA,1,4.1,7,48.1,NA,NA,51.7,36,2.4,0.7,0.46
63,14,DZA,1,5.7,5,40.6,NA,NA,38.3,37,2.2,0.79,0.49
492,14,DZA,1,4.8,6,45.9,NA,NA,46.1,65,1.4,0.35,0.18
540,14,DZA,1,3.5,3,42.3,NA,NA,42.9,42,1.3,0.52,1.33
39,15,DZA,1,4.1,6,46.6,NA,NA,48.9,47,3.3,0.79,2
326,15,DZA,1,4.2,7,46.5,NA,NA,50.2,23,NA,0.62,0.67
568,15,DZA,1,5.1,6,51.6,NA,NA,53.3,53,2.5,0.55,0.29
156,16,DZA,1,3.6,7,56.8,NA,NA,50.4,59,3.6,0.84,1.12
279,16,DZA,1,5.3,5,52.4,NA,NA,49.2,48,2.2,0.66,0.51
644,16,DZA,1,4.4,6,46.1,NA,NA,43.8,47,2,0.4,0.28
111,17,DZA,1,3.1,5,43.4,NA,NA,45.8,71,2.5,0.32,0.29
160,17,DZA,1,5.1,5,47.7,NA,NA,41.7,73,1.1,0.37,0.25
646,17,DZA,1,3.7,5,44.2,NA,NA,38.7,48,2.2,0.55,0.42
205,18,DZA,1,5.2,5,54,NA,NA,46.1,48,0.5,0.51,0.49
306,18,DZA,1,5.1,6,38,NA,NA,46.8,59,1.8,0.49,0.35
570,18,DZA,1,4.2,5,40.9,NA,NA,32.2,43,2.5,0.83,0.96
154,21,DZA,1,4.5,5,51.1,NA,NA,48.1,24,2.7,0.63,0.79
238,21,DZA,1,5,6,47.1,NA,NA,48.6,52,2.6,0.58,1.55
655,21,DZA,1,5.7,5,41.7,NA,NA,43.1,39,1.9,1.01,0.48
340,24,DZA,1,3.5,4,52.2,NA,NA,42.8,52,1.7,0.73,1.41
545,24,DZA,1,3.2,8,48.7,NA,NA,48.1,31,2.3,0.46,0.39
645,24,DZA,1,4.7,4,45.3,NA,NA,42.5,46,1.7,0.25,0.11
127,26,DZA,1,5.4,5,40.3,NA,NA,41.7,56,0.8,0.64,0.59
179,26,DZA,1,3.8,5,NA,NA,NA,43,70,1.9,NA,NA
370,26,DZA,1,5.8,6,44.7,NA,NA,43.3,83,1.2,0.25,0.38
4,27,DZA,1,4.9,4,46.4,NA,NA,45,29,2.7,0.78,1.49
388,27,DZA,1,5.1,6,40,NA,NA,52.8,44,1.5,0.52,1.68
411,27,DZA,1,5.1,6,53.6,NA,NA,48.4,40,2.6,0.55,0.33
140,31,DZA,1,4.4,5,37.6,NA,NA,32.5,92,1.8,0.28,0.25
399,31,DZA,1,4.4,5,46.5,NA,NA,37.9,88,0.5,0.26,0.17
652,31,DZA,1,4.5,6,42,NA,NA,36.7,131,1.7,0.38,0.6
78,32,DZA,1,4.8,4,45.5,NA,NA,25.4,66,2,0.43,0.6
270,32,DZA,1,4.3,7,42.8,NA,NA,42.6,54,1.5,0.46,0.21
608,32,DZA,1,5.3,4,42.7,NA,NA,39.4,59,1.9,0.28,0.31
23,33,DZA,1,4.3,4,41,NA,NA,42.1,35,2.8,0.51,0.84
441,33,DZA,1,4.6,5,55.4,NA,NA,51.5,28,1.9,0.53,0.51
694,33,DZA,1,5.5,6,40.8,NA,NA,43.3,26,2.8,0.97,1.54
10,34,DZA,1,4.1,5,49.9,NA,NA,47.3,87,3.2,0.53,0.57
320,34,DZA,1,3.4,3,47,NA,NA,41.4,66,2.1,0.29,0.22
547,34,DZA,1,5.1,6,41.6,NA,NA,48.6,78,2.2,0.51,0.31
487,35,DZA,1,5.5,6,NA,NA,NA,46.5,52,2,0.8,1.22
521,35,DZA,1,5.3,5,50.4,NA,NA,54.2,84,2.1,0.29,0.02
531,35,DZA,1,2.6,5,42.9,NA,NA,50.6,37,1.5,0.59,0.65
33,36,DZA,1,4.1,6,53.3,NA,NA,49.6,26,3.5,0.67,1.98
44,36,DZA,1,4.8,5,49.1,NA,NA,47.5,50,2.9,0.41,0.26
167,36,DZA,1,3.1,4,40.5,NA,NA,41.4,30,2.9,0.58,0.54
176,38,DZA,1,3.9,5,NA,NA,NA,46.2,56,3.1,0.43,0.28
290,38,DZA,1,3.2,7,44.4,NA,NA,35.6,84,2.6,0.52,1.21
458,38,DZA,1,5.2,5,49.2,NA,NA,42,50,1.7,0.59,1.16
9,39,DZA,1,4.3,5,48.4,NA,NA,48.6,23,1.8,0.5,0.52
159,39,DZA,1,3.9,4,42.5,NA,NA,43.5,49,2.6,0.22,0.21
663,39,DZA,1,4.2,5,53.2,NA,NA,43.6,41,2.5,1.02,0.92
200,40,DZA,1,NA,NA,47.9,NA,NA,39.3,58,1.2,0.29,0.1
259,40,DZA,1,3.6,8,43.6,NA,NA,38.1,75,1.8,0.56,0.47
408,40,DZA,1,4,7,37.7,NA,NA,40.1,76,1.1,0.43,0.92
27,41,DZA,1,4.3,7,45,NA,NA,43.4,36,1.5,0.7,1.34
359,41,DZA,1,4.3,5,45,NA,NA,41.4,61,4.2,0.51,1.12
665,41,DZA,1,3.9,7,48,NA,NA,39.8,40,2.7,0.4,0.25
191,42,DZA,1,4.3,6,43.2,NA,NA,42.2,38,2.3,0.29,0.1
423,42,DZA,1,3.7,4,46.5,NA,NA,40.6,84,2.6,0.33,0.27
560,42,DZA,1,4.4,6,44.5,NA,NA,41.7,27,1.1,0.49,1.06
121,43,DZA,1,4.4,5,52.1,NA,NA,51.4,49,1.8,0.7,1.15
539,43,DZA,1,4.7,6,41.5,NA,NA,47.1,42,1.7,0.6,0.54
556,43,DZA,1,5.4,5,45.5,NA,NA,44.3,36,1.7,0.42,0.33
352,46,DZA,1,3.9,6,53,NA,NA,41.7,53,2.5,0.8,1.52
405,46,DZA,1,4.4,7,39.1,NA,NA,47.2,40,3.6,0.55,0.41
569,46,DZA,1,4.3,4,49.8,NA,NA,49.5,67,4.3,0.4,0.34
137,48,DZA,1,5.2,5,47.5,NA,NA,40.4,NA,1.5,0.5,1.38
526,48,DZA,1,3.8,4,40.5,NA,NA,47.4,49,2.2,0.42,0.27
563,48,DZA,1,4.3,3,38.9,NA,NA,27.1,43,1.1,0.16,0.04
11,53,DZA,1,4.2,6,49.7,NA,NA,39.4,81,1.9,0.64,0.43
35,53,DZA,1,2.7,7,52.4,NA,NA,46.7,46,2.3,0.6,1.74
72,53,DZA,1,3.5,6,43.3,NA,NA,46.3,56,2.3,0.5,1.19
