plant_ID,strain_ID,line,exp,height1,leaf1,chloro1,height2,leaf2,chloro2,nod,nod.weight,shoot,root
982,5,A17,2,2.2,3,NA,9,8,50.7,21,0.69,0.15,0.02
1055,5,A17,2,1.1,2,NA,6.7,6,42.7,4,0.075,0.11,0.01
1076,5,A17,2,2.5,3,29,8.7,6,45.7,20,0.62,0.08,0.01
999,8,A17,2,2.8,4,NA,10,6,40,0,0,0.14,0.01
1310,8,A17,2,2,3,33.1,8.5,7,43.6,13,0.85,0.1,0.01
1359,8,A17,2,2.6,3,NA,6.8,6,41.9,7,2.5,0.06,0.02
961,9,A17,2,3,4,48.9,8.8,10,43.6,49,1.02,0.17,0.09
1094,9,A17,2,2.7,3,9.5,7.8,7,50.2,34,1.24,0.14,0.04
1453,9,A17,2,1.6,3,25.2,7.5,3,43,NA,1.62,0.07,0.01
753,10,A17,2,2.9,4,NA,8.3,5,55.4,34,1.44,0.15,0.04
807,10,A17,2,1.3,2,NA,6.4,3,42,0,0,0.02,0.01
1283,10,A17,2,6.4,4,50,13.8,17,47.6,52,1.34,0.39,0.15
1223,14,A17,2,2.4,3,NA,8.8,7,50.6,18,1.39,0.16,0.05
1434,14,A17,2,2.8,2,NA,9,6,44,14,1.06,NA,0.03
761,15,A17,2,1.3,3,NA,6.3,3,47,23,1.06,0.11,0.01
851,15,A17,2,0.3,1,NA,4.5,2,NA,9,0.99,0.04,0.01
1447,15,A17,2,4.3,3,39.7,14.3,5,44.1,25,0.67,0.1,0.07
991,16,A17,2,1.5,3,NA,6,5,48,15,0.7,0.04,0.01
993,16,A17,2,2.1,3,44.3,7.8,7,43.2,36,0.76,0.15,0.05
1123,16,A17,2,0.6,3,NA,7,7,45.3,8,1.575,0.08,0.02
771,17,A17,2,1.5,3,NA,7.5,4,45.6,15,0.73,0.13,0.01
1187,17,A17,2,2,4,46.1,8,8,51.3,32,1.24,0.12,0.03
1311,17,A17,2,2.1,3,NA,6.8,6,36.6,11,0.96,0.04,0.01
745,18,A17,2,3.2,4,NA,6.9,5,50.7,13,0.08,0.11,0.01
1234,18,A17,2,4.1,4,29.6,12.3,11,46,74,0.9,0.17,0.08
1251,18,A17,2,3,3,37.1,9.5,7,48.6,50,0.85,0.12,0.04
869,21,A17,2,1.6,3,NA,6.1,3,40.3,11,1.38,0.06,0.1
1135,21,A17,2,0.9,3,NA,5.4,4,37.7,NA,NA,0.03,0.01
841,24,A17,2,2.7,4,31.1,10.7,3,26,21,0.96,0.21,0.04
942,24,A17,2,2.1,2,NA,6,3,35.1,14,2.59,0.06,0.01
1440,24,A17,2,3.8,3,46.1,11.8,10,53.1,12,0.91,0.11,0.03
1115,26,A17,2,0.9,3,NA,6.8,6,48.1,6,0.43,0.09,0.01
1169,26,A17,2,0.8,2,NA,6.3,6,46.5,22,0.7,0.05,0.01
1464,26,A17,2,3.3,3,49.2,10.1,10,49.7,42,0.73,0.23,0.07
1069,27,A17,2,2.8,5,39.5,11.3,10,58.6,41,0.63,0.15,0.03
1134,27,A17,2,2,3,27.3,7.2,8,45.9,28,0.57,0.11,0.04
1407,27,A17,2,3.9,4,38.3,15.6,17,44.4,52,0.59,0.29,0.14
779,31,A17,2,3,4,27.4,8.3,4,43.8,0,0,0.15,0.01
874,31,A17,2,2.1,3,NA,7.1,3,51.2,12,0.51,0.1,0.01
1255,31,A17,2,2.7,3,NA,8.5,6,42.3,41,0.93,0.1,0.04
980,32,A17,2,2.3,4,30.1,10,8,46.9,12,0.48,0.11,0.01
