plant_ID,strain_ID,line,exp,height1,leaf1,chloro1,height2,leaf2,chloro2,nod,nod.weight,shoot,root
2782,67,A17,4,6.7,7,40.1,10.6,24,40.2,NA,0,0.54,0.22
2756,85,A17,4,6,12,42.2,12.8,30,48.8,NA,0,0.59,NA
2880,246,A17,4,7.3,8,37.5,10,26,42.3,NA,0,0.55,NA
2611,285,A17,4,3.7,4,NA,4.5,5,15.7,NA,0,0.01,NA
2668,285,A17,4,3.4,5,21.4,3.5,7,15.8,0,0,0.03,0.01
2726,285,A17,4,4.1,5,12.3,4.5,6,29.5,0,0,0.03,0.08
2457,476,A17,4,4.7,4,32.3,4.8,7,29.4,0,0,0.05,0.08
2551,476,A17,4,2.8,3,NA,3,3,NA,0,0,0.01,0.05
2997,476,A17,4,4,4,18.9,4,3,19.2,0,0,0.02,0.03
3047,476,A17,4,5,6,31.3,5,7,17.9,0,0,0.06,0.06
3055,476,A17,4,4.4,4,26.9,4.6,5,19,0,0,0.05,0.03
3057,476,A17,4,4.2,4,23.4,4.2,6,15.2,0,0,0.05,0.01
2446,486,A17,4,4.4,5,27.1,4.5,6,34.3,0,0,0.05,0.02
2653,486,A17,4,4.3,5,21.8,5.3,7,15,0,0,0.13,0.11
2966,486,A17,4,3.8,5,30.7,4.1,7,20.6,0,0,0.04,0.04
2856,522,A17,4,4.1,3,18.3,4.5,6,22.1,0,0,0.05,0.07
2867,522,A17,4,3.8,5,30.2,4,6,16.6,0,0,0.05,0.04
3010,522,A17,4,4.6,4,26.8,5.2,6,23.7,0,0,0.03,0.03
2809,525,A17,4,5.2,4,48,8,13,45.8,NA,0,0.25,0.15
2515,557,A17,4,3.8,6,28.7,4.2,5,24.3,0,0,0.03,0.03
2528,557,A17,4,4.1,5,31.1,4.9,5,21.1,0,0,0.04,0.05
2549,557,A17,4,3,2,NA,3.1,3,22.8,0,0,0.01,0.03
2619,144A,A17,4,7.4,16,48,16.4,37,44.3,NA,0,0.99,NA
2454,702A,A17,4,3.9,3,NA,4.1,5,26.2,0,0,0.02,0.05
2779,702A,A17,4,3.9,4,20.2,4.3,6,30.6,0,0,0.05,0.02
2832,702A,A17,4,2.8,4,NA,3.7,5,24.1,0,0,0.04,0.028
3024,702A,A17,4,3.6,3,29.7,4.5,5,24,0,0,0.04,0.03
2450,717A,A17,4,3.9,4,27.2,4.5,6,29.1,0,0,0.03,NA
2572,717A,A17,4,4.7,5,26.8,4.9,6,16.4,0,0,0.04,0.05
2866,717A,A17,4,5,6,30.1,5.9,7,27.1,0,0,0.06,0.15
2434,733B,A17,4,3.2,5,34.2,3.7,6,22.1,0,0,0.03,0.05
2654,733B,A17,4,4.6,4,35.4,5,7,29.4,0,0,0.09,0.1
2862,733B,A17,4,4.5,5,36,4.8,6,28.2,0,0,0.06,0.08
2711,7B,A17,4,5.8,11,50.6,11,36,58.6,NA,0,0.74,0.23
2533,control_in,A17,4,5,4,36.2,5.2,5,26.1,0,0,0.04,0.02
2405,control_in,A17,4,5.5,6,29.3,5.8,6,27.7,0,0,0.07,0.07
2496,control_in,A17,4,5.1,5,30.5,6.4,7,24.4,NA,0,0.07,0.04
2504,control_in,A17,4,4.5,4,29.8,5.7,6,23.7,0,0,0.03,0.07
2527,control_in,A17,4,5,4,35,5.9,6,24.1,0,0,0.07,0.06
2533,control_in,A17,4,5,4,36.2,5.2,5,26.1,0,0,0.04,0.02
2535,control_in,A17,4,4.8,3,25,5.4,5,25.6,0,0,0.04,0.07
2545,control_in,A17,4,4.9,5,32.7,5.2,6,22.9,0,0,0.04,0.07
