plant_ID,strain_ID,line,exp,height1,leaf1,chloro1,height2,leaf2,chloro2,nod,nod.weight,shoot,root
1501,7A,DZA,3,8.4,8,45.9,14.5,29,53.8,34,2.78,0.77,0.35
1502,32,DZA,3,9.6,13,34.9,13.9,29,49.4,29,1.26,1.42,0.22
1503,15,DZA,3,6.3,7,38.5,11.2,19,47.5,33,1.53,0.5,0.14
1505,142,DZA,3,14.5,13,43.7,17.8,36,48.6,31,1.7,0.75,0.17
1506,336,DZA,3,8.8,5,47.3,13.9,20,51.3,68,1.76,0.62,0.22
1507,88,DZA,3,10.7,7,43.1,16,25,43.9,46,3.12,0.76,0.71
1508,73,DZA,3,6.4,6,43.9,12.8,16,53.6,23,3.65,0.47,0.1
1509,733A,DZA,3,8.9,4,42.9,14.9,14,49.7,27,3.39,0.49,0.17
1510,38,DZA,3,10.4,9,42.7,16,20,52,34,2.84,0.6,0.28
1512,523,DZA,3,11.8,13,47.9,16.9,34,59,38,2.67,0.75,0.18
1513,524,DZA,3,4.6,3,NA,10.6,8,46.9,12,3.23,0.19,0.05
1514,201,DZA,3,11.7,10,44.1,15.8,24,49.3,44,2.32,0.82,0.34
1515,65,DZA,3,13.2,14,39.3,19.2,34,53,39,2.55,1.13,0.62
1516,209,DZA,3,10.3,7,33.6,17,23,49.7,59,2.67,0.72,0.35
1517,189,DZA,3,7,6,27.2,10.5,17,46.6,64,1.42,0.36,0.26
1518,513,DZA,3,9.1,5,33.1,14.8,17,50.7,41,3.32,0.56,0.28
1520,539,DZA,3,10.7,9,46.9,13.4,32,52,20,3.7,1.18,0.31
1521,101,DZA,3,8,7,44.8,11.9,22,56.6,47,2.12,0.76,0.45
1522,714A,DZA,3,7.2,13,45.1,12.6,32,55.5,35,3.42,1.31,0.43
1523,78,DZA,3,6.2,6,43.3,10.4,17,51.6,38,2.53,0.71,0.33
1524,32,DZA,3,5.6,5,45.2,11.7,20,55.8,35,2.39,0.78,0.26
1525,148B,DZA,3,8.2,7,36.1,13.3,17,47.7,21,2.31,0.66,0.11
1526,417,DZA,3,8.5,4,42.8,13.2,19,51.7,15,1.86,0.56,0.51
1527,5,DZA,3,10,NA,39.7,14.9,49,54.6,14,4.61,1.69,0.51
1529,476,DZA,3,5.5,18,NA,13,14,53.1,17,1.76,0.49,0.35
1530,48,DZA,3,8.2,10,50.2,12.7,25,57.5,38,1.72,1.05,0.32
1531,242,DZA,3,6.9,6,38.7,11,10,41.8,56,0.2,0.3,0.17
1532,219,DZA,3,6.2,7,46.3,11.1,18,46.8,52,1.6,0.69,0.31
1533,7A,DZA,3,6.1,10,49,12.3,32,61.1,20,2.66,1,0.37
1534,38,DZA,3,7.8,6,42.5,13.7,16,51.3,37,1.29,0.58,0.35
1535,248,DZA,3,7.5,6,46.4,11.4,21,57.5,30,1.72,0.78,0.38
1536,194,DZA,3,6.4,9,49.6,13,20,50.7,36,1.88,0.75,0.21
1537,722A,DZA,3,7.1,11,48.6,16.1,29,60.9,37,2.69,1.12,0.32
1538,476,DZA,3,1.6,2,NA,2.1,3,NA,0,0,0.008,0.013
1539,6A,DZA,3,6,9,52,12.5,16,58.3,61,1.63,0.81,0.31
1540,372,DZA,3,6.6,5,50.3,12.2,20,54.9,49,2.65,0.84,0.37
