rack,pos,plant_ID,strain_ID,exp
C8,7,1,101,1
E12,2,2,317,1
A2,3,3,154,1
E6,2,4,27,1
D7,10,6,540,1
E7,6,7,7B,1
C11,10,8,65,1
C8,2,9,39,1
C12,7,10,34,1
A2,2,11,53,1
E2,2,12,384,1
A1,3,13,80,1
B8,2,14,89,1
A10,7,15,406,1
E9,7,16,199,1
E12,1,17,733B,1
E5,8,19,261,1
B1,4,20,201,1
E5,4,21,277,1
E10,9,22,382,1
B11,4,23,33,1
B8,5,24,278,1
A3,10,25,733A,1
C4,6,26,421,1
E7,5,27,41,1
E9,3,28,25A,1
C9,8,29,93,1
C7,5,31,66,1
D8,5,32,417,1
D5,10,33,36,1
D10,3,35,53,1
A8,3,36,409,1
A2,9,37,189,1
D3,2,38,209,1
E8,7,39,15,1
A3,2,40,177,1
E3,7,41,714B,1
C3,9,42,90B,1
C2,8,43,158A,1
A8,1,44,36,1
F8,2,46,C,1
E4,3,47,184,1
A7,3,48,215,1
D3,8,49,174,1
D11,4,50,710B,1
A12,5,51,525,1
E7,7,52,216,1
D3,3,56,121,1
D4,8,57,409,1
F2,6,58,209,1
A12,4,59,101,1
C7,8,60,C,1
B7,1,61,514,1
D5,7,62,176A,1
F2,3,63,14,1
E11,9,64,319,1
A12,2,65,206,1
B5,9,66,92,1
C1,3,67,733B,1
B12,8,68,169,1
D6,1,69,740A,1
B1,3,70,145,1
A6,3,71,498,1
C8,8,72,53,1
C4,10,74,191,1
D10,7,75,702A,1
C10,6,76,189,1
F1,8,77,748B,1
E2,1,78,32,1
D6,6,79,C,1
B2,1,80,373,1
B2,8,81,69,1
D3,5,82,25A,1
A5,2,83,533,1
A4,7,84,90B,1
B4,6,85,714B,1
A8,8,86,748A,1
E4,2,87,285,1
D6,2,88,533,1
E12,9,89,523,1
A10,10,91,384,1
B3,4,92,386,1
D3,6,93,710A,1
A1,8,94,526,1
A2,10,95,65,1
A5,4,96,335,1
B10,8,97,87,1
A9,3,98,746B,1
A9,5,99,422,1
A6,10,100,245,1
D6,10,101,476,1
B3,1,102,93,1
E4,8,103,154,1
D8,3,104,8,1
C1,6,105,722B,1
C10,1,106,748B,1
D4,5,107,62,1
D9,2,108,89,1
B8,10,110,6A,1
C5,6,111,17,1
C10,7,112,141,1
D1,7,113,320,1
A12,1,114,83,1
E11,5,117,313,1
C10,2,118,717A,1
C3,10,120,513,1
D8,2,121,43,1
C9,10,122,746A,1
D10,4,123,342,1
A9,6,124,285,1
B8,8,125,276,1
A9,9,126,216,1
F1,7,127,26,1
A1,7,128,259,1
B7,3,129,66,1
B12,6,130,386,1
E9,2,132,177,1
C11,9,133,238,1
B10,5,134,247,1
A10,6,135,382,1
D1,3,137,48,1
B6,7,138,372,1
D7,4,139,513,1
E3,3,140,31,1
B7,5,142,701A,1
D2,5,144,733A,1
A4,5,145,73,1
B1,10,147,238,1
D11,2,148,406,1
D3,7,149,557,1
E6,10,150,372,1
D4,7,151,86,1
A6,4,152,209,1
B6,5,154,21,1
A6,9,155,243A,1
D12,3,156,16,1
B8,4,157,748B,1
D10,8,158,522,1
A10,2,159,39,1
B2,5,160,17,1
C12,5,161,83,1
C5,7,162,303,1
B11,5,163,342,1
C8,5,164,245,1
C12,9,165,524,1
D1,6,166,755B,1
F2,7,167,36,1
D11,9,168,526,1
D5,8,169,9,1
C11,2,171,C,1
C9,2,173,90A,1
E6,3,175,215,1
B7,9,176,38,1
E3,5,177,524,1
E1,5,178,148A,1
B6,1,179,26,1
F1,6,180,93,1
A9,2,181,C,1
E9,6,182,101,1
B10,6,183,724A,1
E1,3,186,231,1
C1,10,187,753A,1
A8,6,188,740A,1
B11,2,189,384,1
A10,3,190,25B,1
A11,1,191,42,1
A5,3,192,717A,1
D12,5,193,114,1
C11,7,194,514,1
E9,9,195,322,1
E11,4,196,201,1
B11,8,197,276,1
D12,9,198,142,1
D8,10,199,117B,1
D11,8,200,40,1
C5,8,201,231,1
D4,4,202,25B,1
C1,7,203,6B,1
E7,8,204,174,1
B12,7,205,18,1
B3,6,206,358,1
D9,8,207,386,1
D12,10,208,86,1
C11,4,209,92,1
D8,4,210,318,1
B5,8,211,317,1
C9,9,212,144B,1
C3,3,214,317,1
B9,9,215,701A,1
A5,6,216,722A,1
E1,2,217,72,1
F2,2,218,192C,1
A8,2,219,205,1
A5,9,220,72,1
E2,6,221,525,1
D12,7,222,749B,1
F1,5,223,80,1
E8,1,224,6B,1
B2,4,225,261,1
E3,9,226,146,1
B8,6,228,194,1
B2,6,229,541,1
C3,4,230,372,1
E5,7,231,325,1
B1,1,232,10,1
F2,1,235,714A,1
A7,10,236,540,1
A10,5,237,243B,1
C10,8,238,21,1
D2,10,239,724B,1
A6,1,240,148B,1
E5,10,243,7A,1
B1,9,244,530,1
A5,8,245,746A,1
D11,1,246,69,1
B11,7,247,85,1
D7,9,249,242,1
B10,9,250,336,1
E3,10,251,73,1
B12,1,252,7B,1
