index,strain_ID,species,DNA_conc,qual,region,soil,soil_sample,plant_line,nod_num,JGI_seq
156,523,E. meliloti,29.8,2.04,FRANCE,1,8-Jan,ESP009,A,1
157,524,E. meliloti,37.1,1.98,FRANCE,1,8-Jan,ESP009,B,1
158,525,E. meliloti,59,1.93,FRANCE,1,8-Jan,ESP009,C,1
159,526,E. meliloti,42.7,1.97,FRANCE,1,8-Jan,ESP009,D,1
118,276,E. meliloti,42.7,2.03,FRANCE,18,18-2,ESP161,A,1
119,277,E. meliloti,32.4,2,FRANCE,18,18-2,ESP161,B,1
120,278,E. meliloti,44.5,2,FRANCE,18,18-2,ESP161,C,1
121,281,E. meliloti,41.8,1.95,FRANCE,18,18-3,ESP161,B,1
122,282,E. meliloti,49.8,1.99,FRANCE,18,18-3,ESP161,C,1
123,283,E. meliloti,36.4,1.99,FRANCE,18,18-3,ESP161,D,1
124,285,E. meliloti,34.6,2.01,FRANCE,19,19-1,ESP161,B,1
125,286,E. meliloti,59,1.94,FRANCE,19,19-2,ESP161,A,1
126,303,E. meliloti,25.5,2.08,FRANCE,17,17-5,ESP161,B,1
132,322,E. meliloti,16.3,1.99,FRANCE,20,20-3,ESP161,A,1
133,325,E. meliloti,54,1.99,FRANCE,20,20-3,ESP161,D,1
136,342,E. meliloti,40.9,2.06,FRANCE,19,19-3,ESP161,B,1
143,406,E. meliloti,43,2.05,FRANCE,18,18-5,ESP161,A,1
150,486,E. meliloti,45.3,2,CORSICA,C3,C3-14,ESP161,A,1
151,498,E. meliloti,59,2.04,CORSICA,C3,C3-8,ESP161,C,1
153,513,E. meliloti,59,1.92,CORSICA,C4,C4-12,ESP161,A,1
154,514,E. meliloti,20.8,2.05,CORSICA,C4,C4-12,ESP161,B,1
155,522,E. meliloti,23.7,2.11,CORSICA,C3,C3-11,ESP161,D,1
160,530,E. meliloti,24.9,2,CORSICA,C2,C2-5,ESP161,A,1
165,557,E. meliloti,49.5,1.94,CORSICA,C2,C2-1,ESP161,D,1
8,10,E. meliloti,53,2.01,SPAIN,8,1-Aug,ESP174,B,1
9,14,E. meliloti,38.2,1.93,FRANCE,4,2-Apr,ESP174,B,1
14,21,E. meliloti,60,2,SPAIN,8,1-Aug,ESP174,A,1
22,33,E. meliloti,56,1.96,SPAIN,8,4-Aug,ESP174,A,1
23,34,E. meliloti,57,1.97,FRANCE,3,2-Mar,ESP174,A,1
24,35,E. meliloti,45.9,2.01,SPAIN,8,4-Aug,ESP174,C,1
33,48,E. meliloti,51,1.98,FRANCE,4,3-Apr,ESP174,B,1
36,57,E. meliloti,40,2.02,FRANCE,4,3-Apr,ESP174,D,1
37,59,E. meliloti,57,2,FRANCE,4,1-Apr,ESP174,A,1
