Strain	freq.L	DZA_L_Freq_med	DZA_L_Fit_med	DZA_Lold_Freq_med	DZA_Lold_Fit_med	A17_L_Freq_med	A17_L_Fit_med	A17_Lold_Freq_med	A17_Lold_Fit_med
MAG10	0.010716243	0.00368376	-1.54054824	0.00385896	-1.584419911	0.00442243	-1.276888004	0.00646397	-0.784125592
MAG121	0.012728605	0.000708623	-4.166912262	0.003124555	-2.027036045	0.0103895	-0.292948139	0.010255925	-0.331869174
MAG123	0.009786759	0.0108762	0.152271527	0.00662308	-0.563427647	0.011008994	0.16977953	0.00956605	-0.033079878
MAG144B	0.011459487	0.00836359	-0.454348202	0.006465925	-0.90573627	0.00693622	-0.724320884	0.00873066	-0.392388964
MAG145	0.00925058	0.00754965	-0.293134115	0.009892325	0.078130479	0.0060512	-0.612322609	0.005972935	-0.632107207
MAG146	0.011673394	0.0119989	0.039678029	0.00641232	-1.183750533	0.00905101	-0.367073427	0.008862195	-0.402047533
MAG148B	0.012607098	0.00667548	-0.917292754	0.001769115	-2.835862162	0.008819922	-0.515398437	0.0167436	0.396934195
MAG154	0.013007751	0.00520982	-1.320066156	0.00713681	-0.875102242	0.006253427	-1.056652653	0.007616915	-0.772489616
MAG157	0.013555684	0.0090854	-0.577275968	0.006382095	-1.094875114	0.010161	-0.415855514	0.009912195	-0.465143854
MAG158B	0.010619295	0.00576466	-0.881380563	0.00450599	-1.236794176	0.00611672	-0.795857847	0.004932805	-1.106233407
MAG16	0.008865741	0.0118246	0.415478182	0.009172195	0.04781558	0.0075111	-0.239217089	0.006903715	-0.361276936
MAG169	0.012877451	0.00642839	-1.002317718	0.014629	0.175279118	0.009069984	-0.505675182	0.007709545	-0.740276656
MAG176B	0.012912698	0.0112839	-0.194524713	0.00685825	-0.917538398	0.0119872	-0.107295789	0.009381225	-0.461109584
MAG177	0.00913876	0.0101202	0.14716743	0.006871375	-0.424627363	0.0088619	-0.044382419	0.01144025	0.323462404
MAG18	0.009423831	0.00148117	-2.669576469	0.00694242	-1.321024688	0.009759226	0.050453013	0.0109013	-0.025218744
MAG182	0.008282696	0.00882396	0.091325839	0.006209415	-0.420966518	0.006236972	-0.40925472	0.006029055	-0.458495946
MAG183	0.009695405	0.0185792	0.938315347	0.0236423	1.244380671	0.00964873	-0.006962068	0.01261315	0.349001266
MAG184	0.009654296	0.0102823	0.090920055	0.011043445	0.173137774	0.0169069	0.8083692	0.01959935	1.0182005
MAG191	0.011994786	0.0118689	-0.015221201	0.01244965	0.044024738	0.0127686	0.090192917	0.01381325	0.203488556
MAG192D	0.016290142	0.00308077	-2.402636283	0.002457755	-2.77202795	0.00355343	-2.196714867	0.004056165	-2.00611445
MAG194-mel	0.003222941	0.00219313	-0.555386257	0.0020008	-0.688905084	0.00258601	-0.317649734	0.002703435	-0.253621585
MAG199	0.00924392	0.00864606	-0.096461935	0.01724725	0.898780893	0.0155586	0.751135561	0.0172612	0.900952298
MAG200	0.008034406	0.0120829	0.588703568	0.00740375	-0.119266658	0.005604596	-0.519580929	0.006865475	-0.232373512
MAG201	0.007812564	0.00216212	-1.853349571	0.00271662	-1.680034821	0.008649347	0.146794996	0.00427262	-0.870825647
MAG204	0.008323345	0.0118958	0.515216983	0.008198825	-0.040344255	0.00906574	0.123261378	0.00848494	0.027148238
MAG21	0.010167631	0.00431132	-1.237782008	0.00360972	-1.495532198	0.00479333	-1.084883389	0.005374135	-0.919954884
MAG215	0.011836945	0.00546243	-1.115682036	0.00387284	-1.61334456	0.00594841	-0.992720833	0.008999865	-0.444219122
MAG220	0.013592851	0.00712714	-0.931452934	0.00693774	-0.970382671	0.0105657	-0.363459751	0.01075908	-0.358639884
MAG221	0.015230029	0.00151621	-3.328377202	0.00292545	-2.381443636	0.0070806	-1.10497517	0.004603935	-1.726027578
MAG225	0.011066969	0.00638236	-0.794098325	0.00506789	-1.127377741	0.00661626	-0.742172382	0.00564278	-0.971783845
MAG230	0.013538326	0.00449997	-1.589062049	0.00486776	-1.475751213	0.007314546	-0.888209055	0.0116054	-0.224438493
MAG24	0.008140783	0.0084396	0.052007028	0.01266765	0.636338931	0.00594446	-0.453621835	0.006272015	-0.380323838
MAG242	0.01387556	0.00397968	-1.801821635	0.004819025	-1.560931391	0.00475459	-1.545153127	0.00626741	-1.146695016
MAG243A	0.013127313	0.0156659	0.255055991	0.006012105	-1.127913519	0.00680961	-0.946927584	0.008046025	-0.706443167
MAG245	0.011195804	0.00914727	-0.291545011	0.00650143	-0.796234568	0.013244524	0.242437806	0.009576315	-0.235346871
MAG248	0.009877287	0.00715768	-0.464622747	0.00437051	-1.189519382	0.006852937	-0.527392413	0.00466024	-1.087285766
MAG258	0.0099001	0.0103677	0.066580874	0.00698052	-0.505435572	0.00978506	-0.016862402	0.007479705	-0.404869792
MAG259	0.013117636	0.00522808	-1.32715463	0.005272375	-1.335147766	0.005593948	-1.229568969	0.00533054	-1.300183389
MAG27	0.009131731	0.000176969	-5.689319806	0.0036536	-1.358408459	0.00021454	-5.411569812	0.001366845	-2.740580875
MAG278	0.013718047	0.0121899	-0.17038886	0.00557683	-1.300840651	0.008803729	-0.639888556	0.007521155	-0.88276416
