"region","gene_ID","RefSeq_ID","ncbi_func","traits","lines","overlap"
"Chromosome","gene-CDO30_00760","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase","shoot.plast","DZA","plast_only"
"Chromosome","gene-CDO30_01275","WP_020487473.1","DNA topoisomerase I","shoot.plast","A17","plast_only"
"Chromosome","gene-CDO30_02010","NP_385267.1","AMP-dependent synthetase","shoot.plast","A17","plast_only"
"Chromosome","gene-CDO30_02680","NP_385139.1","electron transfer flavoprotein-ubiquinone oxidoreductase","shoot, shoot.plast","DZA","both_traits"
"Chromosome","gene-CDO30_04845","NP_384731.1","hypothetical protein","shoot.plast","A17","plast_only"
"Chromosome","gene-CDO30_07155","NP_384284.1","lysylphosphatidylglycerol synthetase family protein","shoot","A17","trait_only"
"Chromosome","gene-CDO30_07980","NP_384129.1","dehydrogenase","shoot","A17","trait_only"
"Chromosome","gene-CDO30_08455","NP_387391.1","hypothetical protein","shoot.plast","DZA","plast_only"
"Chromosome","gene-CDO30_13195","NP_386501.1","ATP-binding protein","shoot, shoot.plast","A17","both_traits"
"Chromosome","gene-CDO30_13395","NP_386461.1","peptidyl-tRNA hydrolase","shoot.plast","A17","plast_only"
"Chromosome","gene-CDO30_13660","NP_386410.1","acyl carrier protein","shoot, shoot.plast","DZA","both_traits"
"Chromosome","gene-CDO30_13675","NP_386407.1","VOC family protein","shoot","DZA","trait_only"
"Chromosome","gene-CDO30_13680","WP_013844672.1","DNA helicase","shoot.plast","DZA","plast_only"
"Chromosome","gene-CDO30_14995","NP_386156.1","adenylate/guanylate cyclase domain-containing protein","shoot, shoot.plast","DZA","both_traits"
"Chromosome","gene-CDO30_16260","NP_385922.1","kinesin","shoot.plast","A17","plast_only"
"Chromosome","gene-CDO30_16390","NP_385897.1","FUSC family protein","shoot, shoot.plast","A17","both_traits"
"Chromosome","gene-CDO30_16580","NP_385861.1","peptidase T4","shoot.plast","A17","plast_only"
"Chromosome","gene-CDO30_17075","NP_385776.1","ABC transporter ATP-binding protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_17830","NP_435959.2","hypothetical protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_17850","NP_435955.1","P-type DNA transfer ATPase VirB11","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_18050","NP_435918.1","cytochrome C","shoot","DZA","trait_only"
"pSymA","gene-CDO30_18125","NP_435903.2","Crp/Fnr family transcriptional regulator","shoot","A17","trait_only"
"pSymA","gene-CDO30_18140","NP_435900.1","copper resistance protein CopC","shoot","A17","trait_only"
"pSymA","gene-CDO30_18780","YP_002000351.1","transcriptional regulator","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_18935","NP_435753.1","sensor histidine kinase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_18940","NP_435752.1","mechanosensitive ion channel family protein","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_18945","NP_435751.1","Ti-type conjugative transfer relaxase TraA","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_18950","NP_435750.1","pilus assembly protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_18960","NP_435748.1","Ti-type conjugative transfer system protein TraG","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_18970","NP_435747.2","DUF736 domain-containing protein","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_18995","NP_435745.1","hypothetical protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_19005","NP_435743.2","DNA primase","shoot","DZA","trait_only"
"pSymA","gene-CDO30_19020","NP_435741.1","DUF1173 domain-containing protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_19025","NP_435740.1","hypothetical protein","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19030","NP_435739.2","DUF932 domain-containing protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_19035","NP_435738.1","antirestriction protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_19040","NP_435737.1","plasmid pRiA4b ORF-3 family protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_19045","NP_435736.1","hypothetical protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_19050","NP_435735.1","error-prone DNA polymerase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19055","NP_435734.1","nucleotidyltransferase","shoot","A17","trait_only"
"pSymA","gene-CDO30_19100","NP_435728.1","glutamine--fructose-6-phosphate aminotransferase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19105","NP_435727.1","nodulation protein NolF","shoot","DZA","trait_only"
"pSymA","gene-CDO30_19115","NP_435725.1","nodulation protein N","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19135","NP_435721.1","nodulation protein A","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19155","NP_435717.1","nodulation protein J","shoot.plast","DZA","plast_only"
"pSymA","gene-CDO30_19170","NP_435715.1","adenylyl-sulfate kinase","shoot.plast","DZA","plast_only"
"pSymA","gene-CDO30_19175","NP_435714.1","sulfate adenylyltransferase subunit 2","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19190","NP_435712.1","nodulation protein E","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19200","NP_435710.1","nodulation protein H","shoot","A17","trait_only"
"pSymA","gene-CDO30_19280","NP_435697.1","nitrogenase molybdenum-iron protein subunit beta","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_19285","NP_435696.1","nitrogenase molybdenum-iron protein alpha chain","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19315","WP_015242440.1","hypothetical protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_19320","NP_435693.1","protein FixA","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19360","NP_435685.2","hypothetical protein","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19380","NP_435681.1","ABC transporter permease","shoot.plast","DZA","plast_only"
"pSymA","gene-CDO30_19385","NP_435680.1","ABC transporter permease","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19390","NP_435679.2","ABC transporter substrate-binding protein","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19410","NP_435675.2","flavin reductase","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19505","NP_435663.1","nodulation protein NoeB","shoot.plast","DZA","plast_only"
"pSymA","gene-CDO30_19510","NP_435662.1","nodulation protein NoeA","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19520","NP_435661.1","nodulation protein L","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19525","NP_435660.1","hypothetical protein","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19530","NP_435659.1","cytochrome-c oxidase%2C cbb3-type subunit III","shoot","DZA","trait_only"
"pSymA","gene-CDO30_19545","NP_435656.1","cytochrome c oxidase%2C cbb3-type subunit I","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19555","NP_435654.1","transcriptional regulator","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19570","YP_001314587.1","flavin reductase","shoot.plast","DZA","plast_only"
"pSymA","gene-CDO30_19590","NP_435648.1","flavin reductase","shoot.plast","DZA","plast_only"
"pSymA","gene-CDO30_19625","WP_015338933.1","co-chaperone GroES","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_19630","NP_435641.1","molecular chaperone GroEL","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19665","NP_435634.1","DUF2280 domain-containing protein","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19685","NP_435632.2","N-acetyltransferase","shoot","DZA","trait_only"
"pSymA","gene-CDO30_19690","NP_435630.1","VOC family protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_19695","NP_435629.1","IS66 family insertion sequence hypothetical protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_19700","NP_435628.1","NAD(P)-dependent oxidoreductase","shoot","DZA","trait_only"
"pSymA","gene-CDO30_19705","NP_435627.1","IclR family transcriptional regulator","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19710","NP_435626.1","NAD(P)-dependent oxidoreductase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19720","NP_435624.1","ABC transporter ATP-binding protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_19725","NP_435623.1","carbohydrate ABC transporter permease","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19730","YP_001312338.1","sugar ABC transporter permease","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19735","NP_435621.1","sugar ABC transporter substrate-binding protein","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19740","NP_435620.1","enolase","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19745","NP_435619.1","dihydrodipicolinate synthase family protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_19750","NP_435618.2","2-dehydro-3-deoxygalactonokinase","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_19760","YP_001314405.1","glycerol transporter","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_19765","NP_435616.1","histidine kinase","shoot","DZA","trait_only"
"pSymA","gene-CDO30_19770","NP_435615.1","carbamate kinase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19780","NP_435613.1","arginine deiminase","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_19785","WP_018010500.1","hypothetical protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_19790","NP_435612.1","DUF3300 domain-containing protein","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19795","NP_435611.1","DUF2950 domain-containing protein","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19800","NP_435610.2","hypothetical protein","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19805","NP_435609.1","amino acid permease","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_19810","NP_435608.2","cation transporter","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_19815","NP_435607.4","lysine decarboxylase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19830","NP_435607.4","lysine decarboxylase","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_19835","YP_001313905.1","amino acid decarboxylase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19840","NP_435605.1","putrescine-ornithine antiporter","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19845","NP_435604.2","amino acid ABC transporter substrate-binding protein","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19850","NP_435603.2","calcium/proton exchanger","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19875","NP_435600.1","polyphosphate kinase 2","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_19880","NP_435599.1","HlyD family secretion protein","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_19885","NP_435598.1","hypothetical protein","shoot","DZA, A17","trait_only"
"pSymA","gene-CDO30_19890","NP_435597.2","AI-2E family transporter","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19895","NP_435596.1","hypothetical protein","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19900","NP_435595.1","hypothetical protein","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_19905","NP_435594.1","transcriptional regulator","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_19910","NP_435593.1","hypothetical protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_20015","NP_435578.1","hypothetical protein","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_20020","NP_435577.1","mechanosensitive ion channel family protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_20025","NP_435576.1","hypothetical protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_20030","NP_435575.1","aquaporin Z","shoot","DZA","trait_only"
"pSymA","gene-CDO30_20040","NP_435574.1","hypothetical protein","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_20045","NP_435573.1","hypothetical protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_20055","NP_435572.1","cbb3-type cytochrome oxidase assembly protein CcoS","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_20060","NP_435571.1","copper-translocating P-type ATPase","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_20065","NP_435570.1","DUF2189 domain-containing protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_20075","NP_435569.1","cytochrome-c oxidase%2C cbb3-type subunit III","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_20080","NP_435568.1","CcoQ/FixQ family Cbb3-type cytochrome c oxidase assembly chaperone","shoot","A17","trait_only"
"pSymA","gene-CDO30_20085","NP_435567.1","cytochrome c oxidase%2C cbb3-type subunit II","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_20090","NP_435566.1","cytochrome c oxidase%2C cbb3-type subunit I","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_20095","WP_017267631.1","hypothetical protein","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_20100","YP_001313599.1","cell envelope protein","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_20105","NP_435563.1","hypothetical protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_20110","NP_435562.1","hypothetical protein","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_20115","NP_435561.2","DUF2092 domain-containing protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_20120","WP_017271444.1","hypothetical protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_20125","NP_435560.2","adenylate cyclase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_20130","NP_435559.2","alpha/beta hydrolase","shoot","DZA, A17","trait_only"
"pSymA","gene-CDO30_20155","YP_001326981.1","hypothetical protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_20160","NP_435553.1","nitrate ABC transporter substrate-binding protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_20165","NP_435552.1","nitrate ABC transporter%2C permease protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_20170","NP_435551.1","nitrate ABC transporter ATP-binding protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_20175","NP_435549.2","guanylate cyclase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_21070","NP_435396.1","glutaredoxin","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_21105","NP_435390.1","ABC transporter permease","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_21110","NP_435389.1","sugar ABC transporter ATP-binding protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_21125","NP_435386.1","alcohol dehydrogenase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_21135","NP_435384.1","alpha/beta hydrolase","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_21140","NP_435383.1","NADH:flavin oxidoreductase","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21155","NP_435380.1","TRAP transporter substrate-binding protein","shoot.plast","DZA","plast_only"
"pSymA","gene-CDO30_21160","NP_435379.1","L-dehydroascorbate transporter large permease subunit","shoot","A17","trait_only"
"pSymA","gene-CDO30_21165","NP_435378.1","TRAP transporter permease DctQ","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_21170","NP_435377.1","fumarylacetoacetate hydrolase","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21175","NP_435376.2","FadR family transcriptional regulator","shoot","A17","trait_only"
"pSymA","gene-CDO30_21185","NP_435374.1","NAD-dependent epimerase","shoot","A17","trait_only"
"pSymA","gene-CDO30_21190","NP_435373.1","NAD(P)-dependent oxidoreductase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_21195","NP_435372.1","dihydroxy-acid dehydratase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_21210","NP_435369.1","transcription elongation factor GreAB","shoot","A17","trait_only"
"pSymA","gene-CDO30_21215","WP_014990337.1","hypothetical protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21220","NP_435368.1","glutamate dehydrogenase","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21225","NP_435367.2","dehydrogenase","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21230","NP_435366.2","MFS transporter","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21240","NP_435364.1","GntR family transcriptional regulator","shoot","A17","trait_only"
"pSymA","gene-CDO30_21245","NP_435363.1","sorbosone dehydrogenase","shoot","DZA","trait_only"
