"region","start_pos","end_pos","RefSeq_ID","protein_ID","gene_ID","gene_name","ncbi_func"
"CP021797.1",257,589,"NP_385644.1","ASP56828.1","CDO30_00010","yajC","preprotein translocase subunit YajC"
"CP021797.1",928,1803,"NP_385643.1","ASP56829.1","CDO30_00015",NA,"DUF815 domain-containing protein"
"CP021797.1",1908,3446,"NP_385642.1","ASP56830.1","CDO30_00020",NA,"lipoprotein"
"CP021797.1",3770,4423,"NP_385641.1","ASP56831.1","CDO30_00025",NA,"biotin transport regulator"
"CP021797.1",4595,5248,"YP_001326855.1","ASP56832.1","CDO30_00030",NA,"protein-L-isoaspartate O-methyltransferase"
"CP021797.1",5245,6015,"NP_385639.1","ASP56833.1","CDO30_00035",NA,"5'-nucleotidase SurE"
"CP021797.1",6043,7326,"NP_385638.1","ASP56834.1","CDO30_00040",NA,"serine--tRNA ligase"
"CP021797.1",7463,8305,"NP_385637.1","ASP56835.1","CDO30_00045","tatC","twin-arginine translocase subunit TatC"
"CP021797.1",8302,8949,"NP_385636.1","ASP56836.1","CDO30_00050","tatB","twin-arginine translocase subunit TatB"
"CP021797.1",9023,9229,"NP_385635.1","ASP56837.1","CDO30_00055",NA,"twin-arginine translocase TatA/TatE family subunit"
"CP021797.1",9324,10433,"NP_385634.1","ASP56838.1","CDO30_00060",NA,"ABC transporter ATP-binding protein"
"CP021797.1",10498,11217,"NP_385633.1","ASP56839.1","CDO30_00065","scpB","SMC-Scp complex subunit ScpB"
"CP021797.1",11210,12028,"YP_001326847.1","ASP59967.1","CDO30_00070",NA,"segregation/condensation protein A"
"CP021797.1",12122,13156,"NP_385631.1","ASP56840.1","CDO30_00075",NA,"beta-N-acetylhexosaminidase"
"CP021797.1",13277,16114,"NP_385630.1","ASP56841.1","CDO30_00080",NA,"SPOR domain-containing protein"
"CP021797.1",16178,17935,"NP_385629.1","ASP56842.1","CDO30_00085",NA,"arginine--tRNA ligase"
"CP021797.1",18033,19250,"NP_385628.1","ASP56843.1","CDO30_00090",NA,"deoxyguanosinetriphosphate triphosphohydrolase"
"CP021797.1",19467,19796,"NP_385627.1","ASP56844.1","CDO30_00095",NA,"iron-sulfur cluster assembly accessory protein"
"CP021797.1",19822,21285,"NP_385626.1","ASP56845.1","CDO30_00100",NA,"cardiolipin synthase"
"CP021797.1",21490,22281,"NP_385625.1","ASP56846.1","CDO30_00105","xth","exodeoxyribonuclease III"
"CP021797.1",22340,23146,"NP_385624.1","ASP56847.1","CDO30_00110",NA,"exopolysaccharide production negative regulator"
"CP021797.1",23517,24806,"NP_385623.1","ASP56848.1","CDO30_00115",NA,"transporter"
"CP021797.1",25277,28120,"NP_385622.1","ASP56849.1","CDO30_00120",NA,"valine--tRNA ligase"
"CP021797.1",28434,29189,"NP_385621.1","ASP56850.1","CDO30_00125",NA,"DUF2497 domain-containing protein"
"CP021797.1",29414,30784,"NP_385620.1","ASP56851.1","CDO30_00130",NA,"transporter"
"CP021797.1",31061,31720,"NP_385619.1","ASP56852.1","CDO30_00135",NA,"protein-L-isoaspartate O-methyltransferase"
"CP021797.1",32696,33121,"NP_385618.1","ASP56853.1","CDO30_00140","exbD","TonB system transport protein ExbD"
"CP021797.1",33128,34114,"NP_385617.1","ASP56854.1","CDO30_00145","exbB","tonB-system energizer ExbB"
"CP021797.1",34335,36740,"NP_385616.1","ASP56855.1","CDO30_00150",NA,"transporter"
"CP021797.1",37046,38335,"WP_018858813.1","ASP56856.1","CDO30_00155","gltA","type II citrate synthase"
"CP021797.1",38573,38653,"NP_385614.1",NA,"CDO30_00160",NA,"endonuclease"
"CP021797.1",38873,39157,"NP_385614.1","ASP56857.1","CDO30_00165",NA,"endonuclease"
"CP021797.1",39357,40526,"NP_385613.1","ASP56858.1","CDO30_00170",NA,"lipid-A-disaccharide synthase"
"CP021797.1",40523,41410,"NP_385612.1","ASP56859.1","CDO30_00175",NA,"DUF1009 domain-containing protein"
"CP021797.1",41410,42222,"NP_385611.1","ASP56860.1","CDO30_00180","lpxA","acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase"
"CP021797.1",42225,42689,"NP_385610.1","ASP56861.1","CDO30_00185","fabZ","beta-hydroxyacyl-ACP dehydratase"
"CP021797.1",42682,43746,"NP_385609.1","ASP56862.1","CDO30_00190","lpxD","UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase"
"CP021797.1",43791,46121,"NP_385608.1","ASP56863.1","CDO30_00195","bamA","outer membrane protein assembly factor BamA"
"CP021797.1",46370,47494,"NP_385607.1","ASP56864.1","CDO30_00200","rseP","RIP metalloprotease RseP"
"CP021797.1",47625,48458,"NP_385606.1","ASP56865.1","CDO30_00205",NA,"CDP-archaeol synthase"
"CP021797.1",48458,49201,"NP_385605.1","ASP56866.1","CDO30_00210",NA,"isoprenyl transferase"
