"region","gene_ID","RefSeq_ID","ncbi_func","no_vars","no_traits","min_ps","max_ps","no_effects","min_score","max_score","ave_abs_score","ave_af","assocs","host"
"Chromosome","CDO30_00120","NP_385622.1","valine--tRNA ligase",1,1,25448,25448,1,-0.2212602,-0.2212602,0.2212602,0.141,"leaf1-(A17-4)[1]","A17 only"
"Chromosome","CDO30_00175","NP_385612.1","DUF1009 domain-containing protein",1,2,40640,40640,2,-0.06543795,-0.06456762,0.065002785,0.22,"height.plast-(A17-24)[1], leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_00270","NP_385594.1","AzlC family protein",2,1,57536,57596,2,0.2027048,0.2162749,0.20948985,0.162,"leaf1+(A17-4)[2]","A17 only"
"Chromosome","CDO30_00275","NP_385593.1","ATP-dependent Clp protease ATP-binding subunit ClpA",1,1,59294,59294,1,0.2773963,0.2773963,0.2773963,0.126,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_00385","NP_385571.1","GTPase HflX",1,1,81887,81887,1,0.3056592,0.3056592,0.3056592,0.094,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_00410","YP_001326777.1","two-component sensor histidine kinase",1,1,88674,88674,1,0.2774745,0.2774745,0.2774745,0.099,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_00430","NP_385562.3","bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase",1,2,93831,93831,2,-0.3821767,-0.1198796,0.25102815,0.063,"leaf1-(A17-4)[1], leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_00510","NP_385546.1","CTP synthetase",1,2,109296,109296,2,0.265348,0.327059,0.2962035,0.084,"leaf1+(A17-4)[1], nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_00530","NP_385542.1","polyisoprenoid-binding protein",1,1,113162,113162,1,0.2490616,0.2490616,0.2490616,0.141,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_00550","NP_385538.1","N-acetyltransferase",1,2,118257,118257,2,0.2793892,0.3716674,0.3255283,0.084,"leaf1+(A17-4)[1], nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_00655","WP_003534680.1","hypothetical protein",1,4,134524,134524,4,0.2578388,0.3455072,0.2881095,0.084,"chloro1+(DZA-3)[1], height1+(A17-4)[1], leaf1+(A17-4)[1], nod.weight+(A17-4)[1]","Both"
"Chromosome","CDO30_00665","NP_385518.1","hypothetical protein",2,5,136175,136317,7,-0.036166,0.3639406,0.217746685714286,0.0967142857142857,"chloro1+(DZA-3)[1], height1+(A17-4)[1], leaf1+(A17-4)[1], nod.weight+(A17-4)[2], chloro.plast+(DZA-13)[1], chloro.plast-(A17-24)[1]","Both"
"Chromosome","CDO30_00760","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase",3,5,155413,156007,6,-0.216821,0.1087562,0.148991848333333,0.216666666666667,"leaf1-(DZA-1)[1], nod-(A17-2)[2], height.plast+(DZA-13)[1], leaf.plast+(DZA-13)[1], shoot.plast+(DZA-13)[1]","Both"
"Chromosome","CDO30_00795","NP_385493.1","ATPase",1,1,161073,161073,1,0.2168479,0.2168479,0.2168479,0.162,"leaf1+(A17-4)[1]","A17 only"
"Chromosome","CDO30_00995","NP_385454.1","DNA-directed RNA polymerase subunit beta",1,2,194762,194762,2,0.2004839,0.2601296,0.23030675,0.152,"chloro1+(A17-2)[1], nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_01045","WP_003525183.1","elongation factor Tu",2,5,203274,203346,5,-0.4716309,0.3253832,0.269452856,0.0826,"chloro1-(A17-2)[1], height1+(A17-4)[1], leaf1+(A17-4)[1], nod.weight+(A17-4)[1], chloro.plast+(A17-24)[1]","A17 only"
"Chromosome","CDO30_01270","NP_385407.1","DNA-protecting protein DprA",1,1,239458,239458,1,0.1490773,0.1490773,0.1490773,0.403,"chloro1+(A17-2)[1]","A17 only"
"Chromosome","CDO30_01275","WP_020487473.1","DNA topoisomerase I",1,3,241125,241125,3,-0.3960483,-0.1385031,0.245012933333333,0.058,"leaf1-(A17-4)[1], leaf.plast-(A17-24)[1], shoot.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_01280","NP_385405.1","ribonuclease R",1,2,244618,244618,2,-0.2369766,-0.09107848,0.16402754,0.11,"leaf1-(A17-4)[1], leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_01325","NP_385396.1","hypothetical protein",1,1,253549,253549,1,-0.1984082,-0.1984082,0.1984082,0.225,"nod-(A17-2)[1]","A17 only"
"Chromosome","CDO30_01345","NP_385392.1","proline--tRNA ligase",2,4,260268,260355,4,-0.1753927,0.2874025,0.230784375,0.14275,"chloro1+(A17-2)[1], leaf1+(A17-4)[1], nod-(A17-2)[1], nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_01495","NP_385367.1","exonuclease SbcCD subunit D",1,2,289079,289079,2,0.2631014,0.2980727,0.28058705,0.105,"leaf1+(A17-4)[1], nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_01520","NP_385363.1","Lon protease",1,1,293345,293345,1,-0.1377539,-0.1377539,0.1377539,0.44,"nod.weight-(DZA-3)[1]","DZA only"
"Chromosome","CDO30_01545","NP_385358.1","cytochrome P450",1,1,301469,301469,1,-0.4219365,-0.4219365,0.4219365,0.052,"chloro1-(A17-2)[1]","A17 only"
"Chromosome","CDO30_01630","NP_385340.1","chain-length determining protein",1,1,318086,318086,1,-0.06833535,-0.06833535,0.06833535,0.152,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_01710","NP_385326.1","ubiquinol-cytochrome C chaperone",1,3,332089,332089,3,-0.03929114,0.2384304,0.170589446666667,0.168,"chloro1+(A17-2)[1], nod.weight+(A17-4)[1], chloro.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_01835","NP_385301.1","rhodanese-like domain-containing protein",1,3,357010,357010,3,-0.3109171,0.3089743,0.240495033333333,0.084,"leaf1-(A17-4)[1], nod+(A17-2)[1], leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_01845","NP_385299.1","MFS transporter",1,1,359658,359658,1,0.241693,0.241693,0.241693,0.141,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_01890","NP_385291.1","AI-2E family transporter",1,1,371793,371793,1,-0.1119215,-0.1119215,0.1119215,0.052,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_01905","WP_018094697.1","type IV secretory pathway protein AcvB",1,2,374359,374359,2,-0.1070488,-0.1019042,0.1044765,0.089,"height.plast-(A17-24)[1], leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02010","NP_385267.1","AMP-dependent synthetase",1,4,396019,396019,4,-0.3235821,0.297258,0.221439725,0.079,"leaf1-(A17-4)[1], nod+(A17-2)[1], leaf.plast-(A17-24)[1], shoot.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02020","NP_385265.1","ABC transporter ATP-binding protein",1,1,398958,398958,1,-0.06867032,-0.06867032,0.06867032,0.194,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02055","NP_385260.1","LPS export ABC transporter permease LptF",1,4,405270,405270,4,0.09390703,0.2932811,0.2109512825,0.099,"height1+(A17-4)[1], leaf1+(DZA-3)[1], nod.weight+(A17-4)[1], leaf.plast+(DZA-13)[1]","Both"
"Chromosome","CDO30_02065","NP_385258.1","LPS-assembly protein LptD",1,1,408502,408502,1,-0.1609292,-0.1609292,0.1609292,0.309,"nod-(A17-2)[1]","A17 only"
"Chromosome","CDO30_02155","YP_001326428.1","HlyD family secretion protein",1,1,425414,425414,1,-0.1159605,-0.1159605,0.1159605,0.073,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02160","NP_385239.1","MFS transporter",2,3,425684,426119,3,-0.09800427,0.2680208,0.197603923333333,0.124333333333333,"nod+(A17-2)[1], nod.weight+(A17-4)[1], height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02175","NP_385236.1","AzlD family protein",1,2,429736,429736,2,0.03334204,0.3003438,0.16684292,0.105,"nod.weight+(A17-4)[1], chloro.plast+(DZA-13)[1]","Both"
"Chromosome","CDO30_02190","NP_385233.1","alanine racemase",2,2,432436,432604,3,0.03652271,0.3122875,0.20696277,0.104333333333333,"nod.weight+(A17-4)[2], chloro.plast+(DZA-13)[1]","Both"
"Chromosome","CDO30_02250","NP_385221.2","prolyl aminopeptidase",1,1,448222,448222,1,-0.09617857,-0.09617857,0.09617857,0.115,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02290","NP_385214.1","NUDIX domain-containing protein",1,2,452943,452943,2,0.2304116,0.2448177,0.23761465,0.162,"nod+(A17-2)[1], nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_02310","YP_001326397.1","folate-binding protein",1,1,455170,455170,1,-0.1517504,-0.1517504,0.1517504,0.356,"leaf1-(A17-4)[1]","A17 only"
"Chromosome","CDO30_02380","NP_385196.1","DUF2339 domain-containing protein",1,1,470961,470961,1,0.2238747,0.2238747,0.2238747,0.141,"leaf1+(A17-4)[1]","A17 only"
"Chromosome","CDO30_02390","NP_385195.1","DUF839 domain-containing protein",1,2,473008,473008,2,-0.2323278,-0.08792036,0.16012408,0.115,"leaf1-(A17-4)[1], leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02440","NP_385185.1","class I SAM-dependent methyltransferase",1,1,485050,485050,1,0.2154964,0.2154964,0.2154964,0.194,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_02470","YP_002825374.1","GTPase Era",1,1,489728,489728,1,-0.1994761,-0.1994761,0.1994761,0.246,"nod-(A17-2)[1]","A17 only"
"Chromosome","CDO30_02525","NP_385167.1","outer membrane autotransporter barrel domain-containing protein",4,3,500930,501701,5,-0.1810721,0.2729324,0.23125138,0.1582,"chloro1-(A17-2)[1], leaf1+(A17-4)[1], nod.weight+(A17-4)[3]","A17 only"
"Chromosome","CDO30_02545","NP_385164.1","lytic transglycosylase",2,1,505170,505220,2,-0.1813255,-0.1791315,0.1802285,0.3145,"leaf1-(A17-4)[2]","A17 only"
"Chromosome","CDO30_02565","NP_385159.1","site-specific integrase",1,1,510029,510029,1,-0.2875502,-0.2875502,0.2875502,0.147,"leaf1-(DZA-1)[1]","DZA only"
"Chromosome","CDO30_02570","NP_385158.1","porin",4,3,510903,511476,6,-0.2202606,0.3411229,0.181339348333333,0.2555,"leaf1-(A17-4)[1], leaf1+(A17-4)[2], nod.weight-(DZA-3)[1], leaf.plast-(A17-24)[1], leaf.plast+(A17-24)[1]","Both"
"Chromosome","CDO30_02610","NP_385153.1","DUF2147 domain-containing protein",1,1,516040,516040,1,-0.1590415,-0.1590415,0.1590415,0.335,"leaf1-(A17-4)[1]","A17 only"
"Chromosome","CDO30_02645","NP_385146.1","glycosyltransferase",1,2,520768,520768,2,-0.1022441,-0.08760922,0.09492666,0.094,"height.plast-(A17-24)[1], leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02680","NP_385139.1","electron transfer flavoprotein-ubiquinone oxidoreductase",1,5,528474,528474,5,-0.1237446,0.295604,0.15978965,0.089,"chloro1+(DZA-1)[1], shoot+(DZA-1)[1], chloro.plast-(DZA-13)[1], height.plast-(DZA-13)[1], shoot.plast-(DZA-13)[1]","DZA only"
