"region","gene_ID","RefSeq_ID","ncbi_func","no_vars","no_traits","no_effects","min_ps","max_ps","min_score","max_score","ave_abs_score","ave_af","assocs","host"
"Chromosome","gene-CDO30_00175","NP_385612.1","DUF1009 domain-containing protein",1,1,1,40640,40640,-0.06456762,-0.06456762,0.06456762,0.22,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_00430","NP_385562.3","bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase",1,1,1,93831,93831,-0.1198796,-0.1198796,0.1198796,0.063,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_00760","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase",1,1,1,155413,155413,0.1087562,0.1087562,0.1087562,0.168,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_01275","WP_020487473.1","DNA topoisomerase I",1,1,1,241125,241125,-0.1385031,-0.1385031,0.1385031,0.058,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_01280","NP_385405.1","ribonuclease R",1,1,1,244618,244618,-0.09107848,-0.09107848,0.09107848,0.11,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_01835","NP_385301.1","rhodanese-like domain-containing protein",1,1,1,357010,357010,-0.1015937,-0.1015937,0.1015937,0.084,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_01905","WP_018094697.1","type IV secretory pathway protein AcvB",1,1,1,374359,374359,-0.1070488,-0.1070488,0.1070488,0.089,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_02010","NP_385267.1","AMP-dependent synthetase",1,1,1,396019,396019,-0.1070928,-0.1070928,0.1070928,0.079,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_02055","NP_385260.1","LPS export ABC transporter permease LptF",1,1,1,405270,405270,0.09390703,0.09390703,0.09390703,0.099,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_02390","NP_385195.1","DUF839 domain-containing protein",1,1,1,473008,473008,-0.08792036,-0.08792036,0.08792036,0.115,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_02570","NP_385158.1","porin",2,1,2,510903,511080,-0.0536077,0.07595499,0.064781345,0.225,"leaf.plast-(A17-24)[1], leaf.plast+(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_02645","NP_385146.1","glycosyltransferase",1,1,1,520768,520768,-0.1022441,-0.1022441,0.1022441,0.094,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_02980","YP_001326281.1","cytochrome C556",1,1,1,590586,590586,0.06572816,0.06572816,0.06572816,0.424,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_03370","NP_385012.1","protoheme IX farnesyltransferase",1,1,1,665326,665326,0.06622466,0.06622466,0.06622466,0.398,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_03450","NP_384997.1","winged helix-turn-helix domain-containing protein",1,1,1,681936,681936,0.06516974,0.06516974,0.06516974,0.377,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_03515","NP_384984.1","RNA methyltransferase",1,1,1,693535,693535,-0.09325902,-0.09325902,0.09325902,0.099,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_03615","NP_384966.1","spermidine/putrescine ABC transporter substrate-binding protein",1,1,1,717300,717300,-0.1122244,-0.1122244,0.1122244,0.079,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_03645","NP_384960.1","DUF2207 domain-containing protein",1,1,1,727075,727075,-0.08673478,-0.08673478,0.08673478,0.11,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_03705","NP_384948.1","hypothetical protein",1,1,1,737551,737551,-0.1128289,-0.1128289,0.1128289,0.073,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_03735","NP_384943.1","ATP synthase subunit b 2",1,1,1,741955,741955,-0.101807,-0.101807,0.101807,0.089,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_03960","NP_384898.1","molecular chaperone GroEL",1,1,1,790844,790844,-0.05279998,-0.05279998,0.05279998,0.393,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_04355","NP_384826.1","iron ABC transporter permease",1,1,1,866869,866869,-0.07428471,-0.07428471,0.07428471,0.115,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_04365","NP_384824.1","cell envelope biogenesis protein AsmA",1,1,1,871779,871779,-0.1016174,-0.1016174,0.1016174,0.089,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_04380","NP_384821.1","ABC transporter ATP-binding protein",2,1,2,875126,875175,-0.1200748,-0.1188601,0.11946745,0.0705,"leaf.plast-(A17-24)[2]","A17 only"
"Chromosome","gene-CDO30_04425","NP_384813.1","aminoacetone oxidase family FAD-binding enzyme",1,1,1,886070,886070,-0.1060836,-0.1060836,0.1060836,0.073,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_04695","NP_384760.1","flagellar motor stator protein MotA",1,1,1,940082,940082,-0.09386521,-0.09386521,0.09386521,0.084,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_04700","NP_384759.1","flagellar motor switch protein FliM",1,1,1,941085,941085,-0.09323548,-0.09323548,0.09323548,0.079,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_04710","NP_384757.1","flagellar motor switch protein FliG",1,1,1,942541,942541,-0.1186148,-0.1186148,0.1186148,0.068,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_04830","NP_384734.1","bifunctional rhamnulose-1-phosphate aldolase/short-chain dehydrogenase",1,1,1,967035,967035,-0.1046424,-0.1046424,0.1046424,0.063,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_04845","NP_384731.1","hypothetical protein",1,1,1,970459,970459,-0.1405448,-0.1405448,0.1405448,0.052,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_04865","NP_384727.1","hypothetical protein",1,1,1,973489,973489,-0.07996889,-0.07996889,0.07996889,0.11,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_04935","NP_384715.1","UDP-N-acetylglucosamine 1-carboxyvinyltransferase",1,1,1,981802,981802,-0.1058926,-0.1058926,0.1058926,0.079,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_05050","NP_384687.1","hypothetical protein",1,1,1,1004836,1004836,-0.1012438,-0.1012438,0.1012438,0.094,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_05065","NP_384684.2","capsule biosynthesis protein",3,1,3,1007505,1008000,-0.08622603,-0.06500065,0.0757330333333333,0.214666666666667,"leaf.plast-(DZA-13)[3]","DZA only"
"Chromosome","gene-CDO30_05070","NP_384683.1","beta-ketoacyl synthase",1,1,1,1012026,1012026,-0.1047889,-0.1047889,0.1047889,0.063,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_05080","NP_384681.1","translocation protein",1,1,1,1018457,1018457,-0.097082,-0.097082,0.097082,0.073,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_05190","NP_384659.1","hybrid sensor histidine kinase/response regulator",1,1,1,1044579,1044579,-0.08356252,-0.08356252,0.08356252,0.089,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_05280","YP_001325841.1","peptidoglycan-binding protein",1,1,1,1061169,1061169,-0.08405167,-0.08405167,0.08405167,0.11,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_05610","NP_384578.1","Crp/Fnr family transcriptional regulator",1,1,1,1136381,1136381,-0.08765731,-0.08765731,0.08765731,0.084,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_05920","NP_384520.1","heat-shock protein Hsp20",1,1,1,1207960,1207960,-0.09692079,-0.09692079,0.09692079,0.152,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_06005","NP_384503.1","lipid II flippase MurJ",1,1,1,1223894,1223894,-0.1204749,-0.1204749,0.1204749,0.052,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_06065","NP_384491.1","signal peptide peptidase SppA",1,1,1,1241062,1241062,0.06142816,0.06142816,0.06142816,0.445,"leaf.plast+(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_06090","NP_384486.1","ribosomal subunit interface protein",1,1,1,1246377,1246377,0.05293796,0.05293796,0.05293796,0.319,"leaf.plast+(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_06145","NP_384476.1","hypothetical protein",1,1,1,1255617,1255617,-0.0652959,-0.0652959,0.0652959,0.136,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_06275","NP_384453.1","EamA/RhaT family transporter",1,1,1,1280524,1280524,0.06553664,0.06553664,0.06553664,0.325,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_06290","NP_384450.1","Lrp/AsnC family transcriptional regulator",1,1,1,1282952,1282952,0.09711153,0.09711153,0.09711153,0.089,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_06845","NP_384342.1","ribosome maturation factor",1,1,1,1389726,1389726,0.1013141,0.1013141,0.1013141,0.084,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_07880","NP_384148.1","serine kinase",1,1,1,1607855,1607855,-0.07440458,-0.07440458,0.07440458,0.298,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_08455","NP_387391.1","hypothetical protein",1,1,1,1751244,1751244,-0.09938541,-0.09938541,0.09938541,0.204,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_09695","NP_387167.1","ABC transporter ATP-binding protein",1,1,1,2009815,2009815,0.1055771,0.1055771,0.1055771,0.089,"leaf.plast+(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_10015","NP_387103.1","DUF490 domain-containing protein",1,1,1,2081647,2081647,0.06557897,0.06557897,0.06557897,0.361,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_11270","NP_386868.1","transketolase",1,1,1,2357675,2357675,0.1069139,0.1069139,0.1069139,0.068,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_11655","NP_386796.1","amidohydrolase",1,1,1,2438484,2438484,-0.1284791,-0.1284791,0.1284791,0.063,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_11840","NP_386758.1","response regulator",1,1,1,2470498,2470498,0.05780646,0.05780646,0.05780646,0.398,"leaf.plast+(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_11850","NP_386756.1","TIGR02302 family protein",1,1,1,2473433,2473433,0.0650397,0.0650397,0.0650397,0.162,"leaf.plast+(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_12005","NP_386726.1","SAM-dependent methyltransferase",1,1,1,2503534,2503534,-0.07724707,-0.07724707,0.07724707,0.136,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_12115","NP_386712.1","MBL fold metallo-hydrolase",1,1,1,2527401,2527401,-0.06976288,-0.06976288,0.06976288,0.298,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_12125","NP_386710.2","LysR family transcriptional regulator",1,1,1,2530325,2530325,-0.1442474,-0.1442474,0.1442474,0.063,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_12150","NP_386705.1","ABC transporter ATP-binding protein",1,1,1,2534962,2534962,-0.05573317,-0.05573317,0.05573317,0.262,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_12195","NP_386696.1","hydrolase",1,1,1,2547287,2547287,0.05101955,0.05101955,0.05101955,0.351,"leaf.plast+(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_12200","NP_386695.1","aspartate aminotransferase family protein",1,1,1,2548328,2548328,0.09520131,0.09520131,0.09520131,0.094,"leaf.plast+(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_12310","NP_386673.1","oxidoreductase",1,1,1,2571172,2571172,-0.05950088,-0.05950088,0.05950088,0.372,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_12375","NP_386660.1","glucose-6-phosphate isomerase",1,1,1,2585041,2585041,0.07882677,0.07882677,0.07882677,0.251,"leaf.plast+(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_13195","NP_386501.1","ATP-binding protein",1,1,1,2744931,2744931,-0.08782727,-0.08782727,0.08782727,0.262,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_13240","NP_386492.1","cation transporter",2,1,2,2759486,2759501,-0.07178706,-0.05675637,0.064271715,0.1965,"leaf.plast-(A17-24)[2]","A17 only"
"Chromosome","gene-CDO30_13360","NP_386468.1","CCA tRNA nucleotidyltransferase",1,1,1,2783560,2783560,-0.1117657,-0.1117657,0.1117657,0.052,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_13395","NP_386461.1","peptidyl-tRNA hydrolase",1,1,1,2788691,2788691,-0.1556094,-0.1556094,0.1556094,0.058,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_13440","NP_386452.1","aminopeptidase P family protein",1,1,1,2799125,2799125,-0.05412149,-0.05412149,0.05412149,0.361,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_13560","NP_386427.1","transcriptional regulator",1,1,1,2818660,2818660,0.05935149,0.05935149,0.05935149,0.178,"leaf.plast+(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_13680","WP_013844672.1","DNA helicase",2,1,2,2842435,2842732,-0.06793222,-0.0536436,0.06078791,0.3325,"leaf.plast-(A17-24)[2]","A17 only"
"Chromosome","gene-CDO30_14015","NP_386342.1","ABC transporter ATP-binding protein",1,1,1,2916007,2916007,0.1139476,0.1139476,0.1139476,0.058,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_14020","NP_386341.1","carbohydrate kinase",1,1,1,2918073,2918073,0.08570459,0.08570459,0.08570459,0.073,"leaf.plast+(A17-24)[1]","A17 only"
