"n.sites","n.biallelic.sites","n.gaps","n.unknowns","n.valid.sites","n.polyallelic.sites","trans.transv.ratio","gene_code","nuc.diversity.within","hap.diversity.within","Pi","Tajima.D","Fu.Li.F","Fu.Li.D","region","RefSeq_ID","ncbi_func","protein_ID","gene_ID","start_pos","end_pos","no_vars","no_effects","max_effect","min_ps","max_ps","trait_combs","hosts","sigs","pleios","rhiz","sym","cat"
311,1,0,0,311,0,Inf,"CDO30_17825",0.433177183797189,0.433177183797189,0.433177183797189,1.55328316594437,0.935143387195352,0.456608540609655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all"
315,3,0,0,315,0,0.5,"CDO30_17830",0.434389639019014,0.30234224304216,0.434389639019014,-0.252157873896669,0.522661836752566,0.776085193380109,"pSymA","NP_435959.2","hypothetical protein","ASP60215.1","CDO30_17830",628,942,1,2,0.33373375,"797","797","NA","NA","sig","non-pleio",NA,NA,"sig"
672,1,0,0,672,0,Inf,"CDO30_17835",0.18848167539267,0.18848167539267,0.18848167539267,0.100141645791602,0.406894450917062,0.456608540609655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all"
855,6,0,0,855,0,2,"CDO30_17840",1.59735464315238,0.568145494626619,1.59735464315238,1.1263898595888,1.29453338150702,1.06827675024834,"pSymA","NP_435957.1","P-type conjugative transfer protein VirB9","ASP60217.1","CDO30_17840",1618,2472,4,NA,NA,"1651","2232","NA","NA","non-sig| sig","NA| non-pleio",NA,NA,"sig"
1173,10,0,0,1173,0,1,"CDO30_17845",1.38572609534307,0.456875172223753,1.38572609534307,-0.451777367260524,0.820672634725669,1.33315479125155,"pSymA","NP_435956.1","type IV secretion system protein VirB10","ASP60218.1","CDO30_17845",2482,3654,1,NA,NA,"3048","3048","NA","NA","non-sig","NA",NA,NA,"GWAS"
990,13,0,0,990,0,2.25,"CDO30_17850",2.06888950124001,0.514797464866354,2.06888950124001,-0.180781461133501,1.03288127524674,1.48397685833499,"pSymA","NP_435955.1","P-type DNA transfer ATPase VirB11","ASP60219.1","CDO30_17850",3665,4654,4,NA,NA,"3898","4633","NA","NA","non-sig| sig","NA| non-pleio",NA,NA,"sig"
1227,13,0,0,1227,0,1.6,"CDO30_17855",2.06337834114081,0.335960319647286,2.06337834114081,-0.186925704944869,1.03012986002232,1.48397685833499,"pSymA","NP_435954.2","MFS transporter","ASP60220.1","CDO30_17855",4966,6192,6,NA,NA,"5224","6163","NA","NA","non-sig| sig","NA| non-pleio",NA,NA,"sig"
612,4,0,0,612,0,3,"CDO30_17860",0.572719757508956,0.271920639294571,0.572719757508956,-0.29674301266803,0.586874803983198,0.88796178733512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all"
678,1,0,0,678,0,Inf,"CDO30_17865",0.18848167539267,0.18848167539267,0.18848167539267,0.100141645791602,0.406894450917062,0.456608540609655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all"
1023,6,0,0,1023,0,2,"CDO30_17870",0.623642876825572,0.402590245246624,0.623642876825572,-0.80577659726705,0.505414702771649,1.06827675024834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all"
183,2,0,0,183,0,Inf,"CDO30_17875",0.244585285202535,0.236649214659686,0.244585285202535,-0.395243058902432,0.366722630377898,0.63962103654283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all"
447,1,0,0,447,0,0,"CDO30_17880",0.0902728024249104,0.0902728024249104,0.0902728024249105,-0.483078667026468,0.194881026491856,0.456608540609655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all"
936,4,0,0,936,0,Inf,"CDO30_17885",0.515403692477266,0.459244971066409,0.515403692477266,-0.446258225547204,0.528142144616134,0.88796178733512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all"
978,3,0,0,978,0,Inf,"CDO30_17890",0.362524111325434,0.33827500688895,0.362524111325434,-0.477362534662949,0.436192535163458,0.776085193380109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all"
507,0,0,0,0,0,NA,"CDO30_17895",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all"
1509,7,0,0,1509,0,0.75,"CDO30_17900",1.1199779553596,0.33827500688895,1.1199779553596,-0.144755045135733,0.827642307490348,1.14388029949411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all"
603,1,0,0,603,0,0,"CDO30_17905",0.127528244695508,0.127528244695508,0.127528244695508,-0.261834597741948,0.275308116790082,0.456608540609655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all"
687,0,0,0,0,0,NA,"CDO30_17910",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all"
