"region","RefSeq_ID","protein_ID","ncbi_func","gene_interval","start_pos","end_pos","no_vars","min_ps","max_ps","no_effects","ave_score","assocs","lines","exps","host"
"Chromosome","NP_384126.1","ASP58250.1","ABC transporter substrate-binding protein","gene-CDO30_RS08010",1636653,1637642,1,1637403,1637403,1,0.2707552,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384129.1","ASP58247.1","dehydrogenase","gene-CDO30_RS07995",1632917,1633933,1,1633487,1633487,1,0.2825404,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384176.1","ASP58201.1","ABC transporter substrate-binding protein","gene-CDO30_RS07755",1576054,1577280,1,1576593,1576593,1,0.2942499,"chloro1-DZA","DZA","3","DZA only"
"Chromosome","NP_384396.1","ASP58002.1","LysR family transcriptional regulator","gene-CDO30_RS06570",1331357,1332247,1,1331465,1331465,1,0.2796786,"chloro1-DZA","DZA","3","DZA only"
"Chromosome","NP_384460.1","ASP57948.1","5-dehydro-2-deoxygluconokinase","gene-CDO30_RS06250",1271286,1273238,1,1272999,1272999,1,0.2735872,"chloro1-DZA","DZA","3","DZA only"
"Chromosome","NP_384462.1","ASP57945.1","gfo/Idh/MocA family oxidoreductase","gene-CDO30_RS06235",1268872,1270002,1,1269924,1269924,1,0.3240371,"fit-A17","A17","6O","A17 only"
"Chromosome","NP_384555.1","ASP57860.1","mercuric reductase","gene-CDO30_RS05755",1169477,1170898,1,1170383,1170383,1,0.3371485,"fit-A17","A17","6O","A17 only"
"Chromosome","NP_384659.1","ASP57763.1","hybrid sensor histidine kinase/response regulator","gene-CDO30_RS05200",1042111,1045617,1,1043670,1043670,1,0.3519814,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384664.1","ASP57758.1","cytochrome d ubiquinol oxidase subunit II","gene-CDO30_RS05175",1037391,1038395,1,1037723,1037723,1,0.380869,"fit-A17","A17","6O","A17 only"
"Chromosome","NP_384681.1","ASP57744.1","translocation protein","gene-CDO30_RS05090",1017969,1018772,2,1018457,1018489,2,0.35135465,"nod.weight-A17, fit-A17","A17","4, 6O","A17 only"
"Chromosome","NP_384683.1",NA,"beta-ketoacyl synthase","null",1009003,1016517,2,1013636,1016280,2,0.27116855,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384716.1","ASP60018.1","DUF2948 domain-containing protein","gene-CDO30_RS04940",980577,981017,1,980916,980916,1,0.2745429,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384727.1","ASP57707.1","hypothetical protein","gene-CDO30_RS04875",972429,973511,1,973489,973489,1,0.2442277,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384737.1","ASP57697.1","ribose import ATP-binding protein RbsA 1","gene-CDO30_RS04825",962631,964142,1,963159,963159,1,0.2569665,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384750.1","ASP57684.1","chemoreceptor glutamine deamidase CheD","gene-CDO30_RS04760",950286,950837,1,950670,950670,1,0.2636167,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384752.1","ASP57682.1","flagellar M-ring protein","gene-CDO30_RS04745",947143,948816,1,948322,948322,1,0.2382844,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384770.1","ASP57665.1","flagellar P-ring protein","gene-CDO30_RS04655",931886,933001,1,932318,932318,1,0.3314403,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384771.1","ASP57664.1","flagellar protein","gene-CDO30_RS04650",931350,931889,1,931650,931650,1,0.2548279,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384772.1","ASP57663.1","flagellar L-ring protein","gene-CDO30_RS04645",930643,931353,2,931195,931297,2,0.32050495,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384786.1","ASP57649.1","flagellar hook-associated protein FlgK","gene-CDO30_RS04575",914481,915899,1,914981,914981,1,0.2302435,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384795.1","ASP57640.1","rod-binding protein","gene-CDO30_RS04530",907898,908452,1,908108,908108,1,0.219792,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384801.1","ASP57634.1","alpha-glucosides-binding periplasmic protein AglE","gene-CDO30_RS04500",901273,902649,1,902419,902419,1,0.287622,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384819.1","ASP57615.1","XRE family transcriptional regulator","gene-CDO30_RS04400",877496,878908,2,877691,878891,2,0.25420235,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384827.1","ASP57608.1","PAS domain-containing sensor histidine kinase","gene-CDO30_RS04360",863309,866713,1,863830,863830,1,0.4027381,"fit-A17","A17","6O","A17 only"
"Chromosome","NP_384829.1","ASP57606.1","NAD(P)-dependent oxidoreductase","gene-CDO30_RS04345",861408,862175,1,862033,862033,1,0.3005716,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384830.1","ASP57605.1","FAD-dependent oxidoreductase","gene-CDO30_RS04340",860158,861396,2,860449,860521,2,0.3196514,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384832.1","ASP57603.1","methylmalonate-semialdehyde dehydrogenase (CoA acylating)","gene-CDO30_RS04330",857593,859089,1,858622,858622,1,0.2602958,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384855.1","ASP57580.1","helix-turn-helix domain-containing protein","gene-CDO30_RS04200",836175,837398,1,837024,837024,1,0.2821364,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384859.1","ASP57575.1","chromate transporter","gene-CDO30_RS04175",831864,833306,1,832277,832277,1,0.3576405,"fit-A17","A17","6O","A17 only"
"Chromosome","NP_384870.1","ASP57563.1","catalase A","gene-CDO30_RS04110",818610,820094,1,819368,819368,1,0.2822767,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384898.1","ASP57540.1","molecular chaperone GroEL","gene-CDO30_RS03970",789633,791270,1,790844,790844,1,-0.162137,"nod.weight-DZA","DZA","3","DZA only"
"Chromosome","NP_384918.1","ASP57521.1","tetraacyldisaccharide 4'-kinase","gene-CDO30_RS03870",768847,769887,1,769798,769798,1,0.269315,"fit-A17","A17","6O","A17 only"
"Chromosome","NP_384974.1","ASP57467.1","L-threonylcarbamoyladenylate synthase","gene-CDO30_RS03585",706625,707599,1,707050,707050,1,0.3085688,"fit-A17","A17","6O","A17 only"
"Chromosome","NP_384983.2","ASP57458.1","chemotaxis protein","gene-CDO30_RS03530",694688,696811,1,695477,695477,1,0.246857,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_384993.1","ASP57449.1","long-chain fatty acid--CoA ligase","gene-CDO30_RS03480",683990,685486,1,685212,685212,1,0.2437209,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385030.1","ASP57418.1","HAD family hydrolase","gene-CDO30_RS03285",646939,647634,1,647334,647334,1,0.2548279,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385036.1","ASP57413.1","disulfide bond formation protein DsbD","gene-CDO30_RS03255",641291,642100,1,641910,641910,1,0.2307888,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385042.1","ASP57407.1","MBL fold metallo-hydrolase","gene-CDO30_RS03220",631342,632250,1,632172,632172,1,0.2185782,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385086.1","ASP57363.1","class A beta-lactamase","gene-CDO30_RS02970",587231,588121,1,587839,587839,1,0.2071884,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385132.1","ASP57319.1","aminopeptidase N","gene-CDO30_RS02730",536051,538705,1,538032,538032,1,0.2385836,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385158.1","ASP57292.1","porin","gene-CDO30_RS02580",510759,511796,1,511230,511230,1,-0.168092,"nod.weight-DZA","DZA","3","DZA only"
"Chromosome","NP_385167.1","ASP57283.1","outer membrane autotransporter barrel domain-containing protein","gene-CDO30_RS02535",498039,502274,3,501424,501701,3,0.247249733333333,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385185.1","ASP57266.1","class I SAM-dependent methyltransferase","gene-CDO30_RS02450",483928,485184,1,485050,485050,1,0.2154964,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385214.1","ASP57239.1","NUDIX domain-containing protein","gene-CDO30_RS02300",452776,453240,1,452943,452943,1,0.2448177,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385233.1","ASP57221.1","alanine racemase","gene-CDO30_RS02200",431771,432910,2,432436,432604,2,0.2921828,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385236.1","ASP57219.1","AzlD family protein","gene-CDO30_RS02185",429646,429948,1,429736,429736,1,0.3003438,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385239.1","ASP57216.1","MFS transporter","gene-CDO30_RS02170",425629,427224,1,425684,425684,1,0.2680208,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385260.1","ASP57196.1","LPS export ABC transporter permease LptF","gene-CDO30_RS02065",404551,405723,1,405270,405270,1,0.2932811,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385299.1","ASP57162.1","MFS transporter","gene-CDO30_RS01855",359563,360798,1,359658,359658,1,0.241693,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385326.1","ASP57137.1","ubiquinol-cytochrome C chaperone","gene-CDO30_RS01720",331934,332470,1,332089,332089,1,0.2384304,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385363.1","ASP57101.1","Lon protease","gene-CDO30_RS01530",293234,295654,1,293345,293345,1,-0.1377539,"nod.weight-DZA","DZA","3","DZA only"
"Chromosome","NP_385367.1","ASP57097.1","exonuclease SbcCD subunit D","gene-CDO30_RS01505",288113,289405,1,289079,289079,1,0.2980727,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385392.1","ASP57071.1","proline--tRNA ligase","gene-CDO30_RS01355",260262,261590,1,260355,260355,1,0.2874025,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385454.1","ASP57012.1","DNA-directed RNA polymerase subunit beta","gene-CDO30_RS01005",191951,196093,1,194762,194762,1,0.2601296,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385518.1","ASP56949.1","hypothetical protein","gene-CDO30_RS00675",135832,136560,2,136175,136317,3,0.298979533333333,"chloro1-DZA, nod.weight-A17","DZA, A17","3, 4","Both"
"Chromosome","NP_385538.1","ASP56929.1","N-acetyltransferase","gene-CDO30_RS00560",118222,118692,1,118257,118257,1,0.3716674,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385542.1","ASP56926.1","polyisoprenoid-binding protein","gene-CDO30_RS00540",113061,113666,1,113162,113162,1,0.2490616,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385546.1","ASP56922.1","CTP synthetase","gene-CDO30_RS00520",109029,110657,1,109296,109296,1,0.327059,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385571.1","ASP56899.1","GTPase HflX","gene-CDO30_RS00395",81683,83080,1,81887,81887,1,0.3056592,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385593.1","ASP56877.1","ATP-dependent Clp protease ATP-binding subunit ClpA","gene-CDO30_RS00275",58109,60625,1,59294,59294,1,0.2773963,"nod.weight-A17","A17","4","A17 only"
"Chromosome","NP_385692.1","ASP59922.1","tRNA guanosine(34) transglycosylase Tgt","gene-CDO30_RS17590",3608996,3610126,1,3609524,3609524,1,-0.1543272,"nod.weight-DZA","DZA","3","DZA only"
"Chromosome","NP_386155.1","ASP59485.1","sorbosone dehydrogenase","gene-CDO30_RS15030",3120458,3121786,1,3120725,3120725,3,-0.1748449,"nod-DZA, nod.weight-DZA, fit-DZA","DZA","3, 5O","DZA only"
"Chromosome","NP_386407.1","ASP59241.1","VOC family protein","gene-CDO30_RS13700",2841561,2842028,1,2841699,2841699,1,-0.2143282,"nod-A17","A17","4","A17 only"
