"region","gene_ID","RefSeq_ID","ncbi_func","no_vars","no_traits","no_effects","min_ps","max_ps","min_score","max_score","ave_abs_score","ave_af","assocs","exps","host","cat"
"Chromosome","CDO30_00655","WP_003534680.1","hypothetical protein",1,1,1,134524,134524,0.2705874,0.2705874,0.2705874,0.084,"height1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_00665","NP_385518.1","hypothetical protein",1,1,1,136317,136317,0.2495594,0.2495594,0.2495594,0.079,"height1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_01045","WP_003525183.1","elongation factor Tu",1,1,1,203274,203274,0.2257292,0.2257292,0.2257292,0.099,"height1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_02055","NP_385260.1","LPS export ABC transporter permease LptF",1,1,1,405270,405270,0.2202264,0.2202264,0.2202264,0.099,"height1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_04640","NP_384771.1","flagellar protein",1,1,1,931650,931650,0.2313794,0.2313794,0.2313794,0.126,"height1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_04645","NP_384770.1","flagellar P-ring protein",1,1,1,932318,932318,0.3188237,0.3188237,0.3188237,0.058,"height1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_06560","NP_384396.1","LysR family transcriptional regulator",1,1,1,1331465,1331465,0.2722477,0.2722477,0.2722477,0.073,"height1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_07740","NP_384176.1","ABC transporter substrate-binding protein",1,1,1,1576593,1576593,0.267402,0.267402,0.267402,0.073,"height1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_07775","YP_001328930.1","L%2CD-transpeptidase",1,1,1,1585187,1585187,0.2860224,0.2860224,0.2860224,0.068,"height1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_13360","NP_386468.1","CCA tRNA nucleotidyltransferase",1,1,1,2783560,2783560,-0.3456615,-0.3456615,0.3456615,0.052,"height1-(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_13655","NP_386411.1","methoxymalonyl-ACP biosynthesis protein FkbH",1,1,1,2836899,2836899,0.2995891,0.2995891,0.2995891,0.074,"height1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_13660","NP_386410.1","acyl carrier protein",1,1,1,2838141,2838141,0.3480208,0.3480208,0.3480208,0.164,"height1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_13665","NP_386409.1","TonB-dependent receptor",1,1,1,2838431,2838431,0.1997143,0.1997143,0.1997143,0.181,"height1+(DZA-1)[1]","1","DZA only","GxE"
"Chromosome","CDO30_13675","NP_386407.1","VOC family protein",1,1,1,2841699,2841699,0.3023149,0.3023149,0.3023149,0.104,"height1+(DZA-1)[1]","1","DZA only","GxE"
"Chromosome","CDO30_13680","WP_013844672.1","DNA helicase",1,1,1,2842313,2842313,-0.3268496,-0.3268496,0.3268496,0.073,"height1-(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_14995","NP_386156.1","adenylate/guanylate cyclase domain-containing protein",1,1,1,3119553,3119553,0.292205,0.292205,0.292205,0.073,"height1+(DZA-1)[1]","1","DZA only","GxE"
"Chromosome","CDO30_17145","NP_385762.1","glutamine--fructose-6-phosphate transaminase (isomerizing)",1,1,1,3536900,3536900,-0.2175491,-0.2175491,0.2175491,0.179,"height1-(DZA-1)[1]","1","DZA only","GxE"
"pSymA","CDO30_17840","NP_435957.1","P-type conjugative transfer protein VirB9",1,1,1,2232,2232,-0.2337057,-0.2337057,0.2337057,0.115,"height1-(DZA-3)[1]","3","DZA only","GxE"
"pSymA","CDO30_17850","NP_435955.1","P-type DNA transfer ATPase VirB11",1,1,2,4633,4633,-0.282962,-0.2528581,0.26791005,0.115,"height1-(DZA-1)[1], height1-(DZA-3)[1]","1, 3","DZA only","GxG"
"pSymA","CDO30_18040","NP_435920.1","periplasmic nitrate reductase subunit alpha",1,1,1,38691,38691,0.2920434,0.2920434,0.2920434,0.079,"height1+(A17-4)[1]","4","A17 only","GxE"
