"rs","region","ps","start_pos","end_pos","af_191","af_89","impact","RefSeq_ID","ncbi_func","protein_ID","gene_ID","gene_interval","gene_ann","no_vars_group","line","trait_comb","trait_comb_line","trait_comb_dir","sig_traits","pleio","effect","cat","betas_y","betas_x","betas_y.c","betas_x.c","line_cat","pleio_type","pleio_cat"
"freebayes-snp-psyma-330614-G","pSymA","330614",329003,330712,0.225,0.225,"LOW","NP_435627.1","IclR family transcriptional regulator","ASP60529.1","CDO30_19705","gene-CDO30_RS19715",NA,1,"A17","shoot_vs_nod","shoot_vs_nod_A17","shoot+_vs_nod-_A17","Both_traits","Y","Bottom_right","OD",-0.1667844,0.2134442,0.1667844,-0.2134442,"A17_OD","sym","C"
"freebayes-snp-psyma-365285-A","pSymA","365285",365269,365757,0.282,0.295,"MODERATE","NP_435598.1","hypothetical protein","ASP60556.1","CDO30_19885","gene-CDO30_RS19890",NA,1,"A17","shoot_vs_nod","shoot_vs_nod_A17","shoot+_vs_nod-_A17","Both_traits","Y","Bottom_right","OD",-0.1669855,0.2061095,0.1669855,-0.2061095,"A17_OD","sym","C"
"freebayes-snp-psyma-653674-T","pSymA","653674",653368,654435,0.304,0.292,"LOW","NP_435314.1","fatty acid desaturase","ASP60827.1","CDO30_21515","gene-CDO30_RS21530",NA,1,"A17","shoot_vs_nod","shoot_vs_nod_A17","shoot+_vs_nod-_A17","Both_traits","Y","Bottom_right","OD",-0.1595633,0.1930449,0.1595633,-0.1930449,"A17_OD","sym","C"
"freebayes-snp-psymb-168869-G","pSymB","168869",168111,169052,0.094,0.101,"MODERATE","NP_436633.1","lysylphosphatidylglycerol synthetase family protein","ASP61675.1","CDO30_25910","gene-CDO30_RS25935",NA,1,"A17","shoot_vs_nod","shoot_vs_nod_A17","shoot+_vs_nod-_A17","Both_traits","Y","Bottom_right","OD",-0.3690871,0.3459172,0.3690871,-0.3459172,"A17_OD","sym","C"
"freebayes-snp-psymb-181173-C","pSymB","181173",180811,182613,0.105,0.124,"LOW","NP_436643.1","FAD-dependent oxidoreductase","ASP61685.1","CDO30_25960","gene-CDO30_RS25985",NA,1,"A17","shoot_vs_nod","shoot_vs_nod_A17","shoot+_vs_nod-_A17","Both_traits","Y","Bottom_right","OD",-0.4033185,0.3285794,0.4033185,-0.3285794,"A17_OD","sym","C"
"freebayes-snp-psymb-187664-A","pSymB","187664",186240,187748,0.257,0.27,"LOW","NP_436648.1","peptide ABC transporter substrate-binding protein","ASP61689.1","CDO30_25985","gene-CDO30_RS26010",NA,1,"A17","shoot_vs_nod","shoot_vs_nod_A17","shoot+_vs_nod-_A17","Both_traits","Y","Bottom_right","OD",-0.1903852,0.2552124,0.1903852,-0.2552124,"A17_OD","sym","C"
"freebayes-snp-psymb-189244-A","pSymB","189244",188741,189688,0.277,0.337,"LOW","NP_436650.1","ABC transporter permease","ASP61691.1","CDO30_25995","gene-CDO30_RS26020",NA,4,"A17","shoot_vs_nod","shoot_vs_nod_A17","shoot+_vs_nod-_A17","Both_traits","Y","Bottom_right","OD",-0.2086202,0.1960564,0.2086202,-0.1960564,"A17_OD","sym","C"
"freebayes-snp-psymb-189619-G","pSymB","189619",188741,189688,0.115,0.135,"LOW","NP_436650.1","ABC transporter permease","ASP61691.1","CDO30_25995","gene-CDO30_RS26020",NA,2,"A17","shoot_vs_nod","shoot_vs_nod_A17","shoot+_vs_nod-_A17","Both_traits","Y","Bottom_right","OD",-0.352178,0.3042333,0.352178,-0.3042333,"A17_OD","sym","C"
"freebayes-snp-psymb-189760-G","pSymB","189760",189685,191325,0.136,0.18,"MODERATE","NP_436651.1","ABC transporter ATP-binding protein","ASP61692.1","CDO30_26000","gene-CDO30_RS26025",NA,1,"A17","shoot_vs_nod","shoot_vs_nod_A17","shoot+_vs_nod-_A17","Both_traits","Y","Bottom_right","OD",-0.2530617,0.270121,0.2530617,-0.270121,"A17_OD","sym","C"
"freebayes-snp-psymb-190803-C","pSymB","190803",189685,191325,0.178,0.213,"LOW","NP_436651.1","ABC transporter ATP-binding protein","ASP61692.1","CDO30_26000","gene-CDO30_RS26025",NA,3,"A17","shoot_vs_nod","shoot_vs_nod_A17","shoot+_vs_nod-_A17","Both_traits","Y","Bottom_right","OD",-0.2568732,0.3133203,0.2568732,-0.3133203,"A17_OD","sym","C"
