"region","gene_ID","RefSeq_ID","ncbi_func","no_vars","no_traits","no_effects","min_ps","max_ps","min_score","max_score","ave_abs_score","ave_af","assocs","host"
"Chromosome","CDO30_00175","NP_385612.1","DUF1009 domain-containing protein",1,1,1,40640,40640,-0.06543795,-0.06543795,0.06543795,0.22,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_00760","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase",1,1,1,155413,155413,0.05958517,0.05958517,0.05958517,0.168,"height.plast+(DZA-13)[1]","DZA only"
"Chromosome","CDO30_01630","NP_385340.1","chain-length determining protein",1,1,1,318086,318086,-0.06833535,-0.06833535,0.06833535,0.152,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_01890","NP_385291.1","AI-2E family transporter",1,1,1,371793,371793,-0.1119215,-0.1119215,0.1119215,0.052,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_01905","WP_018094697.1","type IV secretory pathway protein AcvB",1,1,1,374359,374359,-0.1019042,-0.1019042,0.1019042,0.089,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02020","NP_385265.1","ABC transporter ATP-binding protein",1,1,1,398958,398958,-0.06867032,-0.06867032,0.06867032,0.194,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02155","YP_001326428.1","HlyD family secretion protein",1,1,1,425414,425414,-0.1159605,-0.1159605,0.1159605,0.073,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02160","NP_385239.1","MFS transporter",1,1,1,426119,426119,-0.09800427,-0.09800427,0.09800427,0.079,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02250","NP_385221.2","prolyl aminopeptidase",1,1,1,448222,448222,-0.09617857,-0.09617857,0.09617857,0.115,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02645","NP_385146.1","glycosyltransferase",1,1,1,520768,520768,-0.08760922,-0.08760922,0.08760922,0.094,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_02680","NP_385139.1","electron transfer flavoprotein-ubiquinone oxidoreductase",1,1,1,528474,528474,-0.07282029,-0.07282029,0.07282029,0.089,"height.plast-(DZA-13)[1]","DZA only"
"Chromosome","CDO30_04360","NP_384825.1","acetoacetyl-CoA synthetase",1,1,1,868830,868830,-0.1004773,-0.1004773,0.1004773,0.079,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_04380","NP_384821.1","ABC transporter ATP-binding protein",1,1,1,875126,875126,-0.1074396,-0.1074396,0.1074396,0.073,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_04560","NP_384787.1","flagellar biosynthesis protein FlgL",1,1,1,914026,914026,-0.1180473,-0.1180473,0.1180473,0.058,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_04735","NP_384752.1","flagellar M-ring protein",1,1,1,948259,948259,-0.06567672,-0.06567672,0.06567672,0.204,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_04935","NP_384715.1","UDP-N-acetylglucosamine 1-carboxyvinyltransferase",1,1,1,981802,981802,-0.1037313,-0.1037313,0.1037313,0.079,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_13195","NP_386501.1","ATP-binding protein",1,1,1,2744931,2744931,-0.06829697,-0.06829697,0.06829697,0.262,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_14995","NP_386156.1","adenylate/guanylate cyclase domain-containing protein",1,1,1,3119553,3119553,-0.09029984,-0.09029984,0.09029984,0.073,"height.plast-(DZA-13)[1]","DZA only"
"Chromosome","CDO30_17145","NP_385762.1","glutamine--fructose-6-phosphate transaminase (isomerizing)",1,1,1,3536900,3536900,0.06187487,0.06187487,0.06187487,0.179,"height.plast+(DZA-13)[1]","DZA only"
"pSymA","CDO30_18780","YP_002000351.1","transcriptional regulator",1,1,1,166797,166797,-0.08160907,-0.08160907,0.08160907,0.058,"height.plast-(DZA-13)[1]","DZA only"
"pSymA","CDO30_18945","NP_435751.1","Ti-type conjugative transfer relaxase TraA",8,1,8,197400,200702,-0.103081,0.1295961,0.08587597,0.18425,"height.plast+(DZA-13)[1], height.plast-(DZA-13)[1], height.plast+(A17-24)[5], height.plast-(A17-24)[1]","Both"
"pSymA","CDO30_18950","NP_435750.1","pilus assembly protein",1,1,1,201975,201975,0.05307175,0.05307175,0.05307175,0.183,"height.plast+(DZA-13)[1]","DZA only"
"pSymA","CDO30_18960","NP_435748.1","Ti-type conjugative transfer system protein TraG",2,1,2,203092,204133,-0.07700513,0.04404173,0.06052343,0.2425,"height.plast-(DZA-13)[1], height.plast+(DZA-13)[1]","DZA only"
"pSymA","CDO30_18970","NP_435747.2","DUF736 domain-containing protein",1,1,1,205321,205321,0.03787164,0.03787164,0.03787164,0.437,"height.plast+(DZA-13)[1]","DZA only"
"pSymA","CDO30_18995","NP_435745.1","hypothetical protein",2,1,3,207082,207257,-0.0521208,0.0475502,0.04729085,0.467333333333333,"height.plast+(DZA-13)[2], height.plast-(A17-24)[1]","Both"
"pSymA","CDO30_19005","NP_435743.2","DNA primase",1,1,1,209696,209696,0.04196989,0.04196989,0.04196989,0.437,"height.plast+(DZA-13)[1]","DZA only"
"pSymA","CDO30_19020","NP_435741.1","DUF1173 domain-containing protein",2,1,2,211399,212278,0.05680871,0.06781459,0.06231165,0.3185,"height.plast+(A17-24)[2]","A17 only"
"pSymA","CDO30_19035","NP_435738.1","antirestriction protein",1,1,1,214329,214329,-0.06596054,-0.06596054,0.06596054,0.279,"height.plast-(DZA-13)[1]","DZA only"
