"rs","region","ps","start_pos","end_pos","af_191","af_89","impact","RefSeq_ID","ncbi_func","protein_ID","gene_ID","gene_interval","gene_ann","no_vars_group","line","trait_comb","trait_comb_line","trait_comb_dir","sig_traits","pleio","effect","cat","betas_y","betas_x","betas_y.c","betas_x.c","line_cat","pleio_type","pleio_cat"
"freebayes-snp-psyma-1229919-A","pSymA","1229919",1228519,1229982,0.141,0.157,"LOW","NP_436085.1","cation:proton antiporter","ASP61324.1","CDO30_24460","gene-CDO30_RS24485",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.264191,-0.196598,0.264191,-0.196598,"A17_OD","rhiz","An"
"freebayes-snp-psyma-45960-T","pSymA","45960",45130,46749,0.156,0.105,"LOW","NP_435911.1","cytochrome c oxidase subunit 1","ASP60265.1","CDO30_18085","gene-CDO30_RS18105","ccoN",1,"A17","fit_vs_nod","fit_vs_nod_A17","fit+_vs_nod-_A17","Both_traits","Y","Bottom_right","OD",-0.3157464,0.2659307,0.3157464,-0.2659307,"A17_OD","rhiz","An"
"freebayes-snp-psyma-676369-A","pSymA","676369",676116,676811,0.094,0.056,"MODERATE","NP_435292.1","BA14K family protein","ASP60850.1","CDO30_21635","gene-CDO30_RS21650",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit+_vs_nod-_A17","Both_traits","Y","Bottom_right","OD",-0.4177228,0.3655133,0.4177228,-0.3655133,"A17_OD","rhiz","An"
"freebayes-snp-psyma-693530-T","pSymA","693530",693348,694544,0.13,0.102,"LOW","NP_435272.1","AGE family epimerase/isomerase","ASP60870.1","CDO30_21735","gene-CDO30_RS21750",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.2638701,-0.1914506,0.2638701,-0.1914506,"A17_OD","rhiz","An"
"freebayes-snp-psyma-889625-G","pSymA","889625",889404,890954,0.074,0.069,"LOW","NP_436397.2","hemolysin-type calcium-binding protein","ASP61037.1","CDO30_22720","gene-CDO30_RS22735",NA,6,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod-_A17","Both_traits","Y","Top_right","D",0.3237459,0.353926,0.3237459,0.353926,"A17_D","rhiz","P"
"freebayes-snp-psymb-1016848-A","pSymB","1016848",1016740,1018083,0.084,0.112,"LOW","NP_437405.1","sigma-54-dependent Fis family transcriptional regulator","ASP62411.1","CDO30_30000","gene-CDO30_RS30030",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.3336381,-0.2079318,0.3336381,-0.2079318,"A17_OD","rhiz","An"
"freebayes-snp-psymb-1030877-G","pSymB","1030877",1030236,1032002,0.063,0.09,"LOW","NP_437417.1","phosphoethanolamine transferase","ASP62422.1","CDO30_30060","gene-CDO30_RS30090",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.3984572,-0.2395654,0.3984572,-0.2395654,"A17_OD","rhiz","An"
"freebayes-snp-psymb-1032440-T","pSymB","1032440",1032114,1032494,0.073,0.101,"LOW","NP_437418.1","hypothetical protein","ASP62423.1","CDO30_30065","gene-CDO30_RS30095",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.3216467,-0.237431,0.3216467,-0.237431,"A17_OD","rhiz","An"
"freebayes-snp-psymb-1431876-T","pSymB","1431876",1431330,1432574,0.068,0.09,"LOW","NP_437804.1","Zn-dependent hydrolase","ASP62780.1","CDO30_32050","gene-CDO30_RS32085",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod-_A17","Both_traits","Y","Top_right","D",0.2931921,0.403726,0.2931921,0.403726,"A17_D","rhiz","P"
"freebayes-snp-psymb-1450206-G","pSymB","1450206",1450014,1450451,0.079,0.067,"LOW","NP_437823.1","hypothetical protein","ASP62799.1","CDO30_32160","gene-CDO30_RS32195",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod-_A17","Both_traits","Y","Top_right","D",0.3286896,0.4483565,0.3286896,0.4483565,"A17_D","rhiz","P"
"freebayes-snp-psymb-430818-T","pSymB","430818",429400,431319,0.126,0.112,"LOW","NP_436880.1","hypothetical protein","ASP61921.1","CDO30_27205","gene-CDO30_RS27230",NA,3,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod-_A17","Both_traits","Y","Top_right","D",0.3408785,0.3316222,0.3408785,0.3316222,"A17_D","rhiz","P"
