"region","gene_ID","RefSeq_ID","ncbi_func","no_vars","no_traits","no_effects","min_ps","max_ps","min_score","max_score","ave_abs_score","ave_af","assocs","exps","host","cat","Entry","Entry name","Status","Protein names","Gene names","Organism","Length","Gene ontology (biological process)","Gene ontology (cellular component)","Gene ontology (GO)","Gene ontology (molecular function)","Gene ontology IDs"
"Chromosome","gene-CDO30_02680","NP_385139.1","electron transfer flavoprotein-ubiquinone oxidoreductase",1,1,1,528474,528474,0.295604,0.295604,0.295604,0.089,"shoot+(DZA-1)[1]","1","DZA only","GxE","Q92R77","Q92R77_RHIME","unreviewed","Electron transfer flavoprotein-ubiquinone oxidoreductase (ETF-QO) (EC 1.5.5.1)","etf SMc02377","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",554,NA,NA,"4 iron, 4 sulfur cluster binding [GO:0051539]; electron-transferring-flavoprotein dehydrogenase activity [GO:0004174]; metal ion binding [GO:0046872]","4 iron, 4 sulfur cluster binding [GO:0051539]; electron-transferring-flavoprotein dehydrogenase activity [GO:0004174]; metal ion binding [GO:0046872]","GO:0004174; GO:0046872; GO:0051539"
"Chromosome","gene-CDO30_07155","NP_384284.1","lysylphosphatidylglycerol synthetase family protein",1,1,1,1451903,1451903,0.2001482,0.2001482,0.2001482,0.157,"shoot+(A17-2)[1]","2","A17 only","GxE","Q92T11","Q92T11_RHIME","unreviewed","Hypothetical transmembrane protein","SMc02853","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",315,NA,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]",NA,"GO:0005886; GO:0016021"
"Chromosome","gene-CDO30_07980","NP_384129.1","dehydrogenase",1,1,1,1633487,1633487,0.2682263,0.2682263,0.2682263,0.131,"shoot+(A17-2)[1]","2","A17 only","GxE","Q92TD4","Q92TD4_RHIME","unreviewed","Putative zinc-type alcohol dehydrogenase (EC 1.1.1.-)","SMc02771","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",338,NA,NA,"oxidoreductase activity [GO:0016491]","oxidoreductase activity [GO:0016491]","GO:0016491"
"Chromosome","gene-CDO30_13195","NP_386501.1","ATP-binding protein",1,1,1,2744931,2744931,0.1822072,0.1822072,0.1822072,0.262,"shoot+(A17-2)[1]","2","A17 only","GxE","Q92K13","Q92K13_RHIME","unreviewed","ATPase_AAA_core domain-containing protein","SMc02733","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",638,NA,NA,"ATP binding [GO:0005524]; ATPase activity [GO:0016887]","ATPase activity [GO:0016887]; ATP binding [GO:0005524]","GO:0005524; GO:0016887"
"Chromosome","gene-CDO30_13660","NP_386410.1","acyl carrier protein",1,1,1,2838141,2838141,0.2617372,0.2617372,0.2617372,0.164,"shoot+(DZA-3)[1]","3","DZA only","GxE","Q92NA8","Q92NA8_RHIME","unreviewed","Putative acyl carrier protein","SMc01553","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",82,NA,NA,NA,NA,NA
"Chromosome","gene-CDO30_13675","NP_386407.1","VOC family protein",1,1,1,2841699,2841699,0.328486,0.328486,0.328486,0.104,"shoot+(DZA-1)[1]","1","DZA only","GxE","Q92NB1","Q92NB1_RHIME","unreviewed","VOC domain-containing protein","SMc01550","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",155,NA,NA,NA,NA,NA
"Chromosome","gene-CDO30_14995","NP_386156.1","adenylate/guanylate cyclase domain-containing protein",1,1,1,3119553,3119553,0.3888763,0.3888763,0.3888763,0.073,"shoot+(DZA-1)[1]","1","DZA only","GxE","Q92NW0","Q92NW0_RHIME","unreviewed","Probable adenylate/guanylate cyclase","cyaF3 SMc04292","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",589,"cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]",NA,"cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]",NA,"GO:0009190; GO:0035556"
"Chromosome","gene-CDO30_16390","NP_385897.1","FUSC family protein",1,1,1,3395787,3395787,0.3119373,0.3119373,0.3119373,0.073,"shoot+(A17-2)[1]","2","A17 only","GxE","Q92KA3","Q92KA3_RHIME","unreviewed","Hypothetical transmembrane protein","SMc00481","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",671,NA,"integral component of membrane [GO:0016021]","integral component of membrane [GO:0016021]",NA,"GO:0016021"
"Chromosome","gene-CDO30_17075","NP_385776.1","ABC transporter ATP-binding protein",1,1,1,3518852,3518852,0.3378781,0.3378781,0.3378781,0.063,"shoot+(A17-2)[1]","2","A17 only","GxE","Q92PR1","Q92PR1_RHIME","unreviewed","Putative ABC transporter ATP-binding protein","SMc00245","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",528,NA,NA,"ATP binding [GO:0005524]; ATPase activity [GO:0016887]","ATPase activity [GO:0016887]; ATP binding [GO:0005524]","GO:0005524; GO:0016887"
"pSymA","gene-CDO30_17830","NP_435959.2","hypothetical protein",1,1,1,797,797,0.3221024,0.3221024,0.3221024,0.068,"shoot+(DZA-3)[1]","3","DZA only","GxE","Q92YZ9","Q92YZ9_RHIME","unreviewed","VirB7-like protein","virB7 SMa1310","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",104,NA,NA,NA,NA,NA
"pSymA","gene-CDO30_17850","NP_435955.1","P-type DNA transfer ATPase VirB11",1,1,1,4633,4633,-0.4083402,-0.4083402,0.4083402,0.115,"shoot-(DZA-1)[1]","1","DZA only","GxE","Q92Z03","Q92Z03_RHIME","unreviewed","VirB11-like ATPase","virB11 SMa1302","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",329,"secretion by the type IV secretion system [GO:0044097]","type IV secretion system complex [GO:0043684]","type IV secretion system complex [GO:0043684]; secretion by the type IV secretion system [GO:0044097]",NA,"GO:0043684; GO:0044097"
"pSymA","gene-CDO30_18050","NP_435918.1","cytochrome C",1,1,1,39449,39449,0.2195659,0.2195659,0.2195659,0.215,"shoot+(DZA-3)[1]","3","DZA only","GxE","Q92Z38","Q92Z38_RHIME","unreviewed","Cytochrome c-type protein","napC SMa1232","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",233,"denitrification pathway [GO:0019333]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; denitrification pathway [GO:0019333]","heme binding [GO:0020037]; metal ion binding [GO:0046872]","GO:0005886; GO:0016021; GO:0019333; GO:0020037; GO:0046872"
"pSymA","gene-CDO30_18125","NP_435903.2","Crp/Fnr family transcriptional regulator",1,1,1,53876,53876,0.1606845,0.1606845,0.1606845,0.335,"shoot+(A17-2)[1]","2","A17 only","GxE","Q92Z40","Q92Z40_RHIME","unreviewed","Transcriptional regulator, CAP/Crp family","SMa1207","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",226,"regulation of transcription, DNA-templated [GO:0006355]",NA,"DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]","DNA binding [GO:0003677]","GO:0003677; GO:0006355"
"pSymA","gene-CDO30_18140","NP_435900.1","copper resistance protein CopC",1,1,1,56110,56110,0.2656884,0.2656884,0.2656884,0.116,"shoot+(A17-2)[1]","2","A17 only","GxE","Q92Z43","Q92Z43_RHIME","unreviewed","Copper binding protein","SMa1198","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",541,"copper ion transport [GO:0006825]; response to copper ion [GO:0046688]","integral component of membrane [GO:0016021]; periplasmic space [GO:0042597]; plasma membrane [GO:0005886]","integral component of membrane [GO:0016021]; periplasmic space [GO:0042597]; plasma membrane [GO:0005886]; copper ion binding [GO:0005507]; copper ion transport [GO:0006825]; response to copper ion [GO:0046688]","copper ion binding [GO:0005507]","GO:0005507; GO:0005886; GO:0006825; GO:0016021; GO:0042597; GO:0046688"
"pSymA","gene-CDO30_18780","YP_002000351.1","transcriptional regulator",1,1,1,166797,166797,0.3666395,0.3666395,0.3666395,0.058,"shoot+(DZA-1)[1]","1","DZA only","GxE","B3KLY3","B3KLY3_RHIME","unreviewed","Possible transcriptional regulator","SMa5007","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",126,"regulation of transcription, DNA-templated [GO:0006355]",NA,"DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]","DNA binding [GO:0003677]","GO:0003677; GO:0006355"
"pSymA","gene-CDO30_18935","NP_435753.1","sensor histidine kinase",1,1,1,193861,193861,-0.3405805,-0.3405805,0.3405805,0.076,"shoot-(DZA-3)[1]","3","DZA only","GxE","Q92ZH8","Q92ZH8_RHIME","unreviewed","Histidine kinase (EC 2.7.13.3)","SMa0939","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",633,NA,NA,"phosphorelay sensor kinase activity [GO:0000155]","phosphorelay sensor kinase activity [GO:0000155]","GO:0000155"
"pSymA","gene-CDO30_18940","NP_435752.1","mechanosensitive ion channel family protein",5,1,6,194662,195376,-0.4867886,0.3094995,0.2972682,0.108833333333333,"shoot+(DZA-1)[1], shoot-(DZA-1)[1], shoot-(DZA-3)[2], shoot+(A17-4)[2]","1, 3, 4","Both","Partially Universal","Q92ZH9","Q92ZH9_RHIME","unreviewed","Uncharacterized protein","SMa0937","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",719,"transmembrane transport [GO:0055085]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]",NA,"GO:0005886; GO:0016021; GO:0055085"
"pSymA","gene-CDO30_18945","NP_435751.1","Ti-type conjugative transfer relaxase TraA",7,1,8,197263,200702,-0.4012523,-0.1773912,0.257074025,0.19575,"shoot-(A17-2)[2], shoot-(DZA-3)[6]","2, 3","Both","other","Q92ZI0","Q92ZI0_RHIME","unreviewed","TraA1 conjugal transfer protein","traA1 SMa0934","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",1539,"conjugation [GO:0000746]",NA,"conjugation [GO:0000746]",NA,"GO:0000746"
"pSymA","gene-CDO30_18950","NP_435750.1","pilus assembly protein",1,1,1,201975,201975,0.2584658,0.2584658,0.2584658,0.183,"shoot+(A17-2)[1]","2","A17 only","GxE","Q92ZI1","Q92ZI1_RHIME","unreviewed","TraC conjugal transfer protein","traC SMa0933","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",95,"conjugation [GO:0000746]",NA,"conjugation [GO:0000746]",NA,"GO:0000746"
"pSymA","gene-CDO30_18960","NP_435748.1","Ti-type conjugative transfer system protein TraG",6,1,6,202501,204106,-0.2415049,0.3489444,0.235582733333333,0.218666666666667,"shoot+(DZA-1)[4], shoot-(A17-2)[1], shoot+(DZA-3)[1]","1, 2, 3","Both","Partially Universal","Q92ZI3","Q92ZI3_RHIME","unreviewed","TraG conjugal transfer protein","traG SMa0929","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",639,"conjugation [GO:0000746]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; conjugation [GO:0000746]",NA,"GO:0000746; GO:0005886; GO:0016021"
"pSymA","gene-CDO30_18970","NP_435747.2","DUF736 domain-containing protein",1,1,1,205321,205321,0.1437431,0.1437431,0.1437431,0.437,"shoot+(DZA-3)[1]","3","DZA only","GxE","Q92ZI4","Q92ZI4_RHIME","unreviewed","Uncharacterized protein","SMa0922","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",107,NA,NA,NA,NA,NA
