"region","gene_ID","RefSeq_ID","ncbi_func","no_vars","no_traits","no_effects","min_ps","max_ps","min_score","max_score","ave_abs_score","ave_af","assocs","host"
"Chromosome","gene-CDO30_00760","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase",1,1,1,155413,155413,0.09641042,0.09641042,0.09641042,0.168,"shoot.plast+(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_01275","WP_020487473.1","DNA topoisomerase I",1,1,1,241125,241125,-0.2004874,-0.2004874,0.2004874,0.058,"shoot.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_02010","NP_385267.1","AMP-dependent synthetase",1,1,1,396019,396019,-0.157826,-0.157826,0.157826,0.079,"shoot.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_02680","NP_385139.1","electron transfer flavoprotein-ubiquinone oxidoreductase",1,1,1,528474,528474,-0.1237446,-0.1237446,0.1237446,0.089,"shoot.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_04845","NP_384731.1","hypothetical protein",1,1,1,970459,970459,-0.1907297,-0.1907297,0.1907297,0.052,"shoot.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_08455","NP_387391.1","hypothetical protein",1,1,1,1751244,1751244,-0.07617184,-0.07617184,0.07617184,0.204,"shoot.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_13195","NP_386501.1","ATP-binding protein",1,1,1,2744931,2744931,-0.1213932,-0.1213932,0.1213932,0.262,"shoot.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_13395","NP_386461.1","peptidyl-tRNA hydrolase",1,1,1,2788691,2788691,-0.197704,-0.197704,0.197704,0.058,"shoot.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_13660","NP_386410.1","acyl carrier protein",1,1,1,2838141,2838141,0.09699418,0.09699418,0.09699418,0.164,"shoot.plast+(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_13680","WP_013844672.1","DNA helicase",1,1,1,2842313,2842313,-0.114144,-0.114144,0.114144,0.073,"shoot.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_14995","NP_386156.1","adenylate/guanylate cyclase domain-containing protein",1,1,1,3119553,3119553,-0.1631668,-0.1631668,0.1631668,0.073,"shoot.plast-(DZA-13)[1]","DZA only"
"Chromosome","gene-CDO30_16260","NP_385922.1","kinesin",1,1,1,3363166,3363166,-0.2032375,-0.2032375,0.2032375,0.063,"shoot.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_16390","NP_385897.1","FUSC family protein",1,1,1,3395787,3395787,-0.2097713,-0.2097713,0.2097713,0.073,"shoot.plast-(A17-24)[1]","A17 only"
"Chromosome","gene-CDO30_16580","NP_385861.1","peptidase T4",1,1,1,3431456,3431456,-0.1886396,-0.1886396,0.1886396,0.068,"shoot.plast-(A17-24)[1]","A17 only"
"pSymA","gene-CDO30_17850","NP_435955.1","P-type DNA transfer ATPase VirB11",1,1,1,4633,4633,0.1025849,0.1025849,0.1025849,0.115,"shoot.plast+(DZA-13)[1]","DZA only"
"pSymA","gene-CDO30_18780","YP_002000351.1","transcriptional regulator",1,1,1,166797,166797,-0.1164134,-0.1164134,0.1164134,0.058,"shoot.plast-(DZA-13)[1]","DZA only"
"pSymA","gene-CDO30_18935","NP_435753.1","sensor histidine kinase",1,1,1,193548,193548,-0.09903058,-0.09903058,0.09903058,0.344,"shoot.plast-(A17-24)[1]","A17 only"
"pSymA","gene-CDO30_18940","NP_435752.1","mechanosensitive ion channel family protein",1,1,1,195710,195710,-0.07611707,-0.07611707,0.07611707,0.277,"shoot.plast-(DZA-13)[1]","DZA only"
"pSymA","gene-CDO30_18945","NP_435751.1","Ti-type conjugative transfer relaxase TraA",4,1,4,197400,200702,-0.1666909,0.1944893,0.1494473225,0.111,"shoot.plast-(DZA-13)[2], shoot.plast+(A17-24)[1], shoot.plast-(A17-24)[1]","Both"
"pSymA","gene-CDO30_18950","NP_435750.1","pilus assembly protein",1,1,1,201975,201975,0.08497857,0.08497857,0.08497857,0.183,"shoot.plast+(DZA-13)[1]","DZA only"
"pSymA","gene-CDO30_18960","NP_435748.1","Ti-type conjugative transfer system protein TraG",2,1,2,203422,204106,-0.07874639,0.1617185,0.120232445,0.1335,"shoot.plast-(DZA-13)[1], shoot.plast+(A17-24)[1]","Both"
"pSymA","gene-CDO30_18970","NP_435747.2","DUF736 domain-containing protein",1,1,1,205321,205321,-0.08858948,-0.08858948,0.08858948,0.437,"shoot.plast-(A17-24)[1]","A17 only"
"pSymA","gene-CDO30_18995","NP_435745.1","hypothetical protein",2,1,2,207082,207257,-0.09598259,-0.09260668,0.094294635,0.455,"shoot.plast-(A17-24)[2]","A17 only"
"pSymA","gene-CDO30_19020","NP_435741.1","DUF1173 domain-containing protein",3,1,3,211399,212278,0.0935481,0.1797537,0.128645166666667,0.243,"shoot.plast+(A17-24)[3]","A17 only"
"pSymA","gene-CDO30_19025","NP_435740.1","hypothetical protein",1,1,1,212481,212481,-0.1340181,-0.1340181,0.1340181,0.063,"shoot.plast-(DZA-13)[1]","DZA only"
"pSymA","gene-CDO30_19050","NP_435735.1","error-prone DNA polymerase",2,1,2,216821,218291,-0.1366078,0.1846445,0.16062615,0.0815,"shoot.plast-(DZA-13)[1], shoot.plast+(A17-24)[1]","Both"
"pSymA","gene-CDO30_19100","NP_435728.1","glutamine--fructose-6-phosphate aminotransferase",1,1,1,225791,225791,-0.1329789,-0.1329789,0.1329789,0.073,"shoot.plast-(DZA-13)[1]","DZA only"
"pSymA","gene-CDO30_19115","NP_435725.1","nodulation protein N",1,1,1,231727,231727,-0.1591351,-0.1591351,0.1591351,0.099,"shoot.plast-(DZA-13)[1]","DZA only"
"pSymA","gene-CDO30_19135","NP_435721.1","nodulation protein A",1,1,1,235887,235887,0.08051093,0.08051093,0.08051093,0.188,"shoot.plast+(DZA-13)[1]","DZA only"
