"region","gene_ID","RefSeq_ID","ncbi_func","no_vars","no_traits","no_effects","min_ps","max_ps","min_score","max_score","ave_abs_score","ave_af","assocs","exps","host","cat"
"Chromosome","CDO30_00120","NP_385622.1","valine--tRNA ligase",1,1,1,25448,25448,-0.2212602,-0.2212602,0.2212602,0.141,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_00270","NP_385594.1","AzlC family protein",2,1,2,57536,57596,0.2027048,0.2162749,0.20948985,0.162,"leaf1+(A17-4)[2]","4","A17 only","GxE"
"Chromosome","CDO30_00430","NP_385562.3","bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase",1,1,1,93831,93831,-0.3821767,-0.3821767,0.3821767,0.063,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_00510","NP_385546.1","CTP synthetase",1,1,1,109296,109296,0.265348,0.265348,0.265348,0.084,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_00550","NP_385538.1","N-acetyltransferase",1,1,1,118257,118257,0.2793892,0.2793892,0.2793892,0.084,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_00655","WP_003534680.1","hypothetical protein",1,1,1,134524,134524,0.2785046,0.2785046,0.2785046,0.084,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_00665","NP_385518.1","hypothetical protein",1,1,1,136317,136317,0.3031742,0.3031742,0.3031742,0.079,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_00760","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase",1,1,1,155413,155413,-0.216821,-0.216821,0.216821,0.168,"leaf1-(DZA-1)[1]","1","DZA only","GxE"
"Chromosome","CDO30_00795","NP_385493.1","ATPase",1,1,1,161073,161073,0.2168479,0.2168479,0.2168479,0.162,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_01045","WP_003525183.1","elongation factor Tu",1,1,1,203274,203274,0.2474374,0.2474374,0.2474374,0.099,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_01275","WP_020487473.1","DNA topoisomerase I",1,1,1,241125,241125,-0.3960483,-0.3960483,0.3960483,0.058,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_01280","NP_385405.1","ribonuclease R",1,1,1,244618,244618,-0.2369766,-0.2369766,0.2369766,0.11,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_01345","NP_385392.1","proline--tRNA ligase",1,1,1,260355,260355,0.2456122,0.2456122,0.2456122,0.11,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_01495","NP_385367.1","exonuclease SbcCD subunit D",1,1,1,289079,289079,0.2631014,0.2631014,0.2631014,0.105,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_01835","NP_385301.1","rhodanese-like domain-containing protein",1,1,1,357010,357010,-0.3109171,-0.3109171,0.3109171,0.084,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_02010","NP_385267.1","AMP-dependent synthetase",1,1,1,396019,396019,-0.3235821,-0.3235821,0.3235821,0.079,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_02055","NP_385260.1","LPS export ABC transporter permease LptF",1,1,1,405270,405270,0.2363906,0.2363906,0.2363906,0.099,"leaf1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_02310","YP_001326397.1","folate-binding protein",1,1,1,455170,455170,-0.1517504,-0.1517504,0.1517504,0.356,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_02380","NP_385196.1","DUF2339 domain-containing protein",1,1,1,470961,470961,0.2238747,0.2238747,0.2238747,0.141,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_02390","NP_385195.1","DUF839 domain-containing protein",1,1,1,473008,473008,-0.2323278,-0.2323278,0.2323278,0.115,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_02525","NP_385167.1","outer membrane autotransporter barrel domain-containing protein",1,1,1,501424,501424,0.2334356,0.2334356,0.2334356,0.11,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_02545","NP_385164.1","lytic transglycosylase",2,1,2,505170,505220,-0.1813255,-0.1791315,0.1802285,0.3145,"leaf1-(A17-4)[2]","4","A17 only","GxE"
"Chromosome","CDO30_02565","NP_385159.1","site-specific integrase",1,1,1,510029,510029,-0.2875502,-0.2875502,0.2875502,0.147,"leaf1-(DZA-1)[1]","1","DZA only","GxE"
"Chromosome","CDO30_02570","NP_385158.1","porin",3,1,3,510903,511476,-0.2202606,0.3411229,0.263460466666667,0.202333333333333,"leaf1-(A17-4)[1], leaf1+(A17-4)[2]","4","A17 only","GxE"
"Chromosome","CDO30_02610","NP_385153.1","DUF2147 domain-containing protein",1,1,1,516040,516040,-0.1590415,-0.1590415,0.1590415,0.335,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_02850","NP_385109.2","peptidoglycan-binding protein",1,1,1,565226,565226,-0.3187705,-0.3187705,0.3187705,0.052,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_02855","NP_385108.1","two-component sensor histidine kinase",1,1,1,566087,566087,-0.1449853,-0.1449853,0.1449853,0.346,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_02905","NP_385098.1","Na(+)/H(+) antiporter subunit A",1,1,1,575225,575225,0.1921474,0.1921474,0.1921474,0.173,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_03235","YP_001326238.1","chromosome segregation protein SMC",1,1,1,639453,639453,0.2366958,0.2366958,0.2366958,0.141,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_03455","NP_384996.1","ABC transporter ATP-binding protein",1,1,1,682632,682632,0.2082621,0.2082621,0.2082621,0.152,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_03705","NP_384948.1","hypothetical protein",2,1,2,737551,737818,-0.3181721,-0.1718957,0.2450339,0.191,"leaf1-(A17-4)[2]","4","A17 only","GxE"
"Chromosome","CDO30_03825","NP_384926.1","trimethylamine methyltransferase",1,1,1,759529,759529,-0.1457315,-0.1457315,0.1457315,0.398,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_03870","NP_384916.1","3-deoxy-D-manno-octulosonic acid transferase",1,1,1,771695,771695,-0.1647224,-0.1647224,0.1647224,0.351,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_03910","NP_384908.1","16S rRNA (guanine(966)-N(2))-methyltransferase RsmD",1,1,1,778692,778692,-0.222531,-0.222531,0.222531,0.136,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_03985","NP_384893.1","ATP phosphoribosyltransferase regulatory subunit",1,1,1,795203,795203,-0.175856,-0.175856,0.175856,0.372,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_04105","NP_384869.1","hydrogen peroxide-inducible genes activator",1,1,1,820623,820623,-0.2500782,-0.2500782,0.2500782,0.11,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_04380","NP_384821.1","ABC transporter ATP-binding protein",1,1,1,875175,875175,-0.333982,-0.333982,0.333982,0.068,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_04425","NP_384813.1","aminoacetone oxidase family FAD-binding enzyme",1,1,1,886070,886070,-0.2993438,-0.2993438,0.2993438,0.073,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_04565","NP_384786.1","flagellar hook-associated protein FlgK",1,1,1,914526,914526,0.2263202,0.2263202,0.2263202,0.162,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_04665","NP_384766.1","flagellar basal body rod protein FlgC",1,1,1,934925,934925,0.298113,0.298113,0.298113,0.131,"leaf1+(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_04700","NP_384759.1","flagellar motor switch protein FliM",1,1,1,941085,941085,-0.2950254,-0.2950254,0.2950254,0.079,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_04845","NP_384731.1","hypothetical protein",1,1,1,970459,970459,-0.3734963,-0.3734963,0.3734963,0.052,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_05065","NP_384684.2","capsule biosynthesis protein",2,1,2,1007928,1008000,-0.2157038,-0.1783312,0.1970175,0.241,"leaf1-(DZA-3)[2]","3","DZA only","GxE"
"Chromosome","CDO30_05070","NP_384683.1","beta-ketoacyl synthase",1,1,1,1016400,1016400,-0.1605198,-0.1605198,0.1605198,0.366,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_05080","NP_384681.1","translocation protein",2,1,2,1018457,1018489,-0.2807888,-0.2643597,0.27257425,0.0705,"leaf1-(DZA-3)[1], leaf1-(A17-4)[1]","3, 4","Both","other"
"Chromosome","CDO30_05190","NP_384659.1","hybrid sensor histidine kinase/response regulator",1,1,1,1044579,1044579,-0.2700926,-0.2700926,0.2700926,0.089,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_05280","YP_001325841.1","peptidoglycan-binding protein",2,1,2,1060683,1061169,-0.2446703,-0.1405379,0.1926041,0.2565,"leaf1-(DZA-3)[1], leaf1-(A17-4)[1]","3, 4","Both","other"
"Chromosome","CDO30_05400","NP_384618.1","phosphate ABC transporter%2C permease protein PstA",1,1,1,1087643,1087643,-0.1711273,-0.1711273,0.1711273,0.319,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_05610","NP_384578.1","Crp/Fnr family transcriptional regulator",1,1,1,1136381,1136381,-0.2796188,-0.2796188,0.2796188,0.084,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_05920","NP_384520.1","heat-shock protein Hsp20",1,1,1,1207960,1207960,-0.2362445,-0.2362445,0.2362445,0.152,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_06005","NP_384503.1","lipid II flippase MurJ",1,1,1,1223894,1223894,-0.3825327,-0.3825327,0.3825327,0.052,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_06145","NP_384476.1","hypothetical protein",1,1,1,1255617,1255617,0.2338838,0.2338838,0.2338838,0.136,"leaf1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_06290","NP_384450.1","Lrp/AsnC family transcriptional regulator",1,1,1,1282952,1282952,0.2541552,0.2541552,0.2541552,0.089,"leaf1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_06845","NP_384342.1","ribosome maturation factor",1,1,1,1389726,1389726,0.2682359,0.2682359,0.2682359,0.084,"leaf1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_08455","NP_387391.1","hypothetical protein",1,1,1,1751244,1751244,-0.2140419,-0.2140419,0.2140419,0.204,"leaf1-(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_09695","NP_387167.1","ABC transporter ATP-binding protein",1,1,1,2009815,2009815,-0.2739699,-0.2739699,0.2739699,0.089,"leaf1-(A17-2)[1]","2","A17 only","GxE"
"Chromosome","CDO30_10080","NP_387091.1","calcium-binding protein",1,1,1,2099488,2099488,-0.1602763,-0.1602763,0.1602763,0.241,"leaf1-(DZA-1)[1]","1","DZA only","GxE"
"Chromosome","CDO30_11270","NP_386868.1","transketolase",1,1,1,2357675,2357675,0.3108177,0.3108177,0.3108177,0.068,"leaf1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_11455","WP_018481713.1","adenylosuccinate synthetase",1,1,1,2399209,2399209,-0.2553353,-0.2553353,0.2553353,0.094,"leaf1-(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_11655","NP_386796.1","amidohydrolase",1,1,1,2438484,2438484,-0.3723054,-0.3723054,0.3723054,0.063,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_12115","NP_386712.1","MBL fold metallo-hydrolase",1,1,1,2527401,2527401,-0.1828605,-0.1828605,0.1828605,0.298,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_12125","NP_386710.2","LysR family transcriptional regulator",1,1,1,2530325,2530325,-0.360161,-0.360161,0.360161,0.063,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_12265","NP_386682.1","oxidoreductase",1,1,1,2560964,2560964,0.2363243,0.2363243,0.2363243,0.105,"leaf1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_12310","NP_386673.1","oxidoreductase",1,1,1,2571172,2571172,-0.181839,-0.181839,0.181839,0.372,"leaf1-(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_12365","NP_386662.1","shikimate dehydrogenase",1,1,1,2583505,2583505,-0.2392704,-0.2392704,0.2392704,0.11,"leaf1-(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_13040","NP_386531.1","energy transducer TonB",1,1,1,2716638,2716638,-0.2249377,-0.2249377,0.2249377,0.105,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_13110","NP_386517.1","ABC transporter permease",2,1,2,2725878,2725978,-0.2316806,-0.1585155,0.19509805,0.217,"leaf1-(A17-4)[2]","4","A17 only","GxE"
"Chromosome","CDO30_13195","NP_386501.1","ATP-binding protein",1,1,1,2744931,2744931,0.2012308,0.2012308,0.2012308,0.262,"leaf1+(A17-2)[1]","2","A17 only","GxE"
"Chromosome","CDO30_13240","NP_386492.1","cation transporter",2,1,2,2759480,2759486,-0.2466525,-0.1831788,0.21491565,0.183,"leaf1-(A17-4)[2]","4","A17 only","GxE"
"Chromosome","CDO30_13395","NP_386461.1","peptidyl-tRNA hydrolase",1,1,1,2788691,2788691,-0.3829783,-0.3829783,0.3829783,0.058,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_13440","NP_386452.1","aminopeptidase P family protein",1,1,1,2799125,2799125,-0.1565564,-0.1565564,0.1565564,0.361,"leaf1-(A17-4)[1]","4","A17 only","GxE"
"Chromosome","CDO30_13560","NP_386427.1","transcriptional regulator",1,1,1,2818660,2818660,-0.1864632,-0.1864632,0.1864632,0.178,"leaf1-(A17-2)[1]","2","A17 only","GxE"
"Chromosome","CDO30_13660","NP_386410.1","acyl carrier protein",1,1,1,2838141,2838141,0.2279922,0.2279922,0.2279922,0.164,"leaf1+(DZA-3)[1]","3","DZA only","GxE"
