"region","gene_ID","RefSeq_ID","ncbi_func","no_vars","no_traits","no_effects","min_ps","max_ps","min_score","max_score","ave_abs_score","ave_af","assocs","exps","host","cat"
"Chromosome","CDO30_02680","NP_385139.1","electron transfer flavoprotein-ubiquinone oxidoreductase",1,1,1,528474,528474,0.295604,0.295604,0.295604,0.089,"shoot+(DZA-1)[1]","1","DZA only","GxE"
"Chromosome","CDO30_07155","NP_384284.1","lysylphosphatidylglycerol synthetase family protein",1,1,1,1451903,1451903,0.2001482,0.2001482,0.2001482,0.157,"shoot+(A17-2)[1]","2","A17 only","GxE"
"Chromosome","CDO30_07980","NP_384129.1","dehydrogenase",1,1,1,1633487,1633487,0.2682263,0.2682263,0.2682263,0.131,"shoot+(A17-2)[1]","2","A17 only","GxE"
"Chromosome","CDO30_13195","NP_386501.1","ATP-binding protein",1,1,1,2744931,2744931,0.1822072,0.1822072,0.1822072,0.262,"shoot+(A17-2)[1]","2","A17 only","GxE"
"Chromosome","CDO30_13660","NP_386410.1","acyl carrier protein",1,1,1,2838141,2838141,0.2617372,0.2617372,0.2617372,0.164,"shoot+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","CDO30_13675","NP_386407.1","VOC family protein",1,1,1,2841699,2841699,0.328486,0.328486,0.328486,0.104,"shoot+(DZA-1)[1]","1","DZA only","GxE"
"Chromosome","CDO30_14995","NP_386156.1","adenylate/guanylate cyclase domain-containing protein",1,1,1,3119553,3119553,0.3888763,0.3888763,0.3888763,0.073,"shoot+(DZA-1)[1]","1","DZA only","GxE"
"Chromosome","CDO30_16390","NP_385897.1","FUSC family protein",1,1,1,3395787,3395787,0.3119373,0.3119373,0.3119373,0.073,"shoot+(A17-2)[1]","2","A17 only","GxE"
"Chromosome","CDO30_17075","NP_385776.1","ABC transporter ATP-binding protein",1,1,1,3518852,3518852,0.3378781,0.3378781,0.3378781,0.063,"shoot+(A17-2)[1]","2","A17 only","GxE"
"pSymA","CDO30_17830","NP_435959.2","hypothetical protein",1,1,1,797,797,0.3221024,0.3221024,0.3221024,0.068,"shoot+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","CDO30_17850","NP_435955.1","P-type DNA transfer ATPase VirB11",1,1,1,4633,4633,-0.4083402,-0.4083402,0.4083402,0.115,"shoot-(DZA-1)[1]","1","DZA only","GxE"
"pSymA","CDO30_18050","NP_435918.1","cytochrome C",1,1,1,39449,39449,0.2195659,0.2195659,0.2195659,0.215,"shoot+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","CDO30_18125","NP_435903.2","Crp/Fnr family transcriptional regulator",1,1,1,53876,53876,0.1606845,0.1606845,0.1606845,0.335,"shoot+(A17-2)[1]","2","A17 only","GxE"
"pSymA","CDO30_18140","NP_435900.1","copper resistance protein CopC",1,1,1,56110,56110,0.2656884,0.2656884,0.2656884,0.116,"shoot+(A17-2)[1]","2","A17 only","GxE"
"pSymA","CDO30_18780","YP_002000351.1","transcriptional regulator",1,1,1,166797,166797,0.3666395,0.3666395,0.3666395,0.058,"shoot+(DZA-1)[1]","1","DZA only","GxE"
"pSymA","CDO30_18935","NP_435753.1","sensor histidine kinase",1,1,1,193861,193861,-0.3405805,-0.3405805,0.3405805,0.076,"shoot-(DZA-3)[1]","3","DZA only","GxE"
"pSymA","CDO30_18940","NP_435752.1","mechanosensitive ion channel family protein",5,1,6,194662,195376,-0.4867886,0.3094995,0.2972682,0.108833333333333,"shoot+(DZA-1)[1], shoot-(DZA-1)[1], shoot-(DZA-3)[2], shoot+(A17-4)[2]","1, 3, 4","Both","Partially Universal"
"pSymA","CDO30_18945","NP_435751.1","Ti-type conjugative transfer relaxase TraA",7,1,8,197263,200702,-0.4012523,-0.1773912,0.257074025,0.19575,"shoot-(A17-2)[2], shoot-(DZA-3)[6]","2, 3","Both","other"
"pSymA","CDO30_18950","NP_435750.1","pilus assembly protein",1,1,1,201975,201975,0.2584658,0.2584658,0.2584658,0.183,"shoot+(A17-2)[1]","2","A17 only","GxE"
"pSymA","CDO30_18960","NP_435748.1","Ti-type conjugative transfer system protein TraG",6,1,6,202501,204106,-0.2415049,0.3489444,0.235582733333333,0.218666666666667,"shoot+(DZA-1)[4], shoot-(A17-2)[1], shoot+(DZA-3)[1]","1, 2, 3","Both","Partially Universal"
"pSymA","CDO30_18970","NP_435747.2","DUF736 domain-containing protein",1,1,1,205321,205321,0.1437431,0.1437431,0.1437431,0.437,"shoot+(DZA-3)[1]","3","DZA only","GxE"
