"region","gene_ID","RefSeq_ID","ncbi_func","traits","lines","overlap"
"Chromosome","CDO30_00175","NP_385612.1","DUF1009 domain-containing protein","height.plast","A17","plast_only"
"Chromosome","CDO30_00655","WP_003534680.1","hypothetical protein","height","A17","trait_only"
"Chromosome","CDO30_00665","NP_385518.1","hypothetical protein","height","A17","trait_only"
"Chromosome","CDO30_00760","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase","height.plast","DZA","plast_only"
"Chromosome","CDO30_01045","WP_003525183.1","elongation factor Tu","height","A17","trait_only"
"Chromosome","CDO30_01630","NP_385340.1","chain-length determining protein","height.plast","A17","plast_only"
"Chromosome","CDO30_01890","NP_385291.1","AI-2E family transporter","height.plast","A17","plast_only"
"Chromosome","CDO30_01905","WP_018094697.1","type IV secretory pathway protein AcvB","height.plast","A17","plast_only"
"Chromosome","CDO30_02020","NP_385265.1","ABC transporter ATP-binding protein","height.plast","A17","plast_only"
"Chromosome","CDO30_02055","NP_385260.1","LPS export ABC transporter permease LptF","height","A17","trait_only"
"Chromosome","CDO30_02155","YP_001326428.1","HlyD family secretion protein","height.plast","A17","plast_only"
"Chromosome","CDO30_02160","NP_385239.1","MFS transporter","height.plast","A17","plast_only"
"Chromosome","CDO30_02250","NP_385221.2","prolyl aminopeptidase","height.plast","A17","plast_only"
"Chromosome","CDO30_02645","NP_385146.1","glycosyltransferase","height.plast","A17","plast_only"
"Chromosome","CDO30_02680","NP_385139.1","electron transfer flavoprotein-ubiquinone oxidoreductase","height.plast","DZA","plast_only"
"Chromosome","CDO30_04360","NP_384825.1","acetoacetyl-CoA synthetase","height.plast","A17","plast_only"
"Chromosome","CDO30_04380","NP_384821.1","ABC transporter ATP-binding protein","height.plast","A17","plast_only"
"Chromosome","CDO30_04560","NP_384787.1","flagellar biosynthesis protein FlgL","height.plast","A17","plast_only"
"Chromosome","CDO30_04640","NP_384771.1","flagellar protein","height","DZA","trait_only"
"Chromosome","CDO30_04645","NP_384770.1","flagellar P-ring protein","height","DZA","trait_only"
"Chromosome","CDO30_04735","NP_384752.1","flagellar M-ring protein","height.plast","A17","plast_only"
"Chromosome","CDO30_04935","NP_384715.1","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","height.plast","A17","plast_only"
"Chromosome","CDO30_06560","NP_384396.1","LysR family transcriptional regulator","height","A17","trait_only"
"Chromosome","CDO30_07740","NP_384176.1","ABC transporter substrate-binding protein","height","A17","trait_only"
"Chromosome","CDO30_07775","YP_001328930.1","L%2CD-transpeptidase","height","A17","trait_only"
"Chromosome","CDO30_13195","NP_386501.1","ATP-binding protein","height.plast","A17","plast_only"
"Chromosome","CDO30_13360","NP_386468.1","CCA tRNA nucleotidyltransferase","height","DZA","trait_only"
"Chromosome","CDO30_13655","NP_386411.1","methoxymalonyl-ACP biosynthesis protein FkbH","height","DZA","trait_only"
"Chromosome","CDO30_13660","NP_386410.1","acyl carrier protein","height","DZA","trait_only"
"Chromosome","CDO30_13665","NP_386409.1","TonB-dependent receptor","height","DZA","trait_only"
"Chromosome","CDO30_13675","NP_386407.1","VOC family protein","height","DZA","trait_only"
"Chromosome","CDO30_13680","WP_013844672.1","DNA helicase","height","DZA","trait_only"
"Chromosome","CDO30_14995","NP_386156.1","adenylate/guanylate cyclase domain-containing protein","height, height.plast","DZA","both_traits"
"Chromosome","CDO30_17145","NP_385762.1","glutamine--fructose-6-phosphate transaminase (isomerizing)","height, height.plast","DZA","both_traits"
"pSymA","CDO30_17840","NP_435957.1","P-type conjugative transfer protein VirB9","height","DZA","trait_only"
"pSymA","CDO30_17850","NP_435955.1","P-type DNA transfer ATPase VirB11","height","DZA","trait_only"
"pSymA","CDO30_18040","NP_435920.1","periplasmic nitrate reductase subunit alpha","height","A17","trait_only"
"pSymA","CDO30_18065","NP_435915.1","DNA-binding response regulator","height","DZA","trait_only"
"pSymA","CDO30_18780","YP_002000351.1","transcriptional regulator","height, height.plast","DZA","both_traits"
"pSymA","CDO30_18935","NP_435753.1","sensor histidine kinase","height","DZA","trait_only"
"pSymA","CDO30_18940","NP_435752.1","mechanosensitive ion channel family protein","height","DZA, A17","trait_only"
"pSymA","CDO30_18945","NP_435751.1","Ti-type conjugative transfer relaxase TraA","height, height.plast","A17, DZA","both_traits"
"pSymA","CDO30_18950","NP_435750.1","pilus assembly protein","height.plast","DZA","plast_only"
"pSymA","CDO30_18960","NP_435748.1","Ti-type conjugative transfer system protein TraG","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_18970","NP_435747.2","DUF736 domain-containing protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_18995","NP_435745.1","hypothetical protein","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19000","NP_435744.1","DUF2493 domain-containing protein","height","DZA","trait_only"
"pSymA","CDO30_19005","NP_435743.2","DNA primase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19020","NP_435741.1","DUF1173 domain-containing protein","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19030","NP_435739.2","DUF932 domain-containing protein","height","DZA","trait_only"
"pSymA","CDO30_19035","NP_435738.1","antirestriction protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19040","NP_435737.1","plasmid pRiA4b ORF-3 family protein","height, height.plast","DZA","both_traits"
