"region","rs","gene_name","RefSeq_ID","ncbi_func","start_pos","end_pos","effect","no_effects","ave_score","maf","assocs","host","dir","GxE"
"Chromosome","freebayes-snp-chr-1007255-G","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,-0.1744705,0.377,"leaf1-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1007928-C","CDO30_RS05075","NP_384684.2","capsule biosynthesis protein",1007412,1008635,"synonymous_variant",1,-0.1783312,0.351,"leaf1-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1008000-C","CDO30_RS05075","NP_384684.2","capsule biosynthesis protein",1007412,1008635,"synonymous_variant",1,-0.2157038,0.131,"leaf1-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1016400-G","gene-CDO30_RS00160","NP_384683.1","beta-ketoacyl synthase",1009003,1016517,"non_coding_transcript_exon_variant",1,-0.1605198,0.366,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1018457-G","CDO30_RS05090","NP_384681.1","translocation protein",1017969,1018772,"synonymous_variant",1,-0.2807888,0.073,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1018489-T","CDO30_RS05090","NP_384681.1","translocation protein",1017969,1018772,"missense_variant",1,-0.2643597,0.068,"leaf1-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1044579-G","CDO30_RS05200","NP_384659.1","hybrid sensor histidine kinase/response regulator",1042111,1045617,"synonymous_variant",1,-0.2700926,0.089,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1047018-G","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,-0.1397239,0.372,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1060683-G","CDO30_RS05290","YP_001325841.1","peptidoglycan-binding protein",1059732,1063394,"synonymous_variant",1,-0.1405379,0.403,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1061169-G","CDO30_RS05290","YP_001325841.1","peptidoglycan-binding protein",1059732,1063394,"synonymous_variant",1,-0.2446703,0.11,"leaf1-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1087643-A","pstA","NP_384618.1","phosphate ABC transporter%2C permease protein PstA",1086446,1087768,"synonymous_variant",1,-0.1711273,0.319,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-109296-A","CDO30_RS00520","NP_385546.1","CTP synthetase",109029,110657,"synonymous_variant",1,0.265348,0.084,"leaf1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1136381-T","CDO30_RS05620","NP_384578.1","Crp/Fnr family transcriptional regulator",1135952,1136656,"synonymous_variant",1,-0.2796188,0.084,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-118257-A","CDO30_RS00560","NP_385538.1","N-acetyltransferase",118222,118692,"synonymous_variant",1,0.2793892,0.084,"leaf1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1207960-T","CDO30_RS05930","NP_384520.1","heat-shock protein Hsp20",1207826,1208257,"synonymous_variant",1,-0.2362445,0.152,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1223894-T","murJ","NP_384503.1","lipid II flippase MurJ",1223030,1224637,"synonymous_variant",1,-0.3825327,0.052,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1255617-C","CDO30_RS06155","NP_384476.1","hypothetical protein",1254471,1255742,"synonymous_variant",1,0.2338838,0.136,"leaf1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1279650-A","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,0.170559,0.372,"leaf1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1282952-A","CDO30_RS06300","NP_384450.1","Lrp/AsnC family transcriptional regulator",1282721,1283158,"synonymous_variant",1,0.2541552,0.089,"leaf1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1333995-T","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,0.2642467,0.089,"leaf1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-134524-A","gene-CDO30_RS00160","WP_003534680.1","hypothetical protein",134320,134594,"intragenic_variant",1,0.2785046,0.084,"leaf1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-136317-T","CDO30_RS00675","NP_385518.1","hypothetical protein",135832,136560,"missense_variant",1,0.3031742,0.079,"leaf1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1389726-T","rimP","NP_384342.1","ribosome maturation factor",1389330,1389947,"synonymous_variant",1,0.2682359,0.084,"leaf1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-155413-T","CDO30_RS00770","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase",155297,156424,"synonymous_variant",1,-0.216821,0.168,"leaf1-(DZA-1)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-161073-G","CDO30_RS00805","NP_385493.1","ATPase",160570,161355,"synonymous_variant",1,0.2168479,0.162,"leaf1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1751244-T","CDO30_RS08470","NP_387391.1","hypothetical protein",1750444,1751601,"synonymous_variant",1,-0.2140419,0.204,"leaf1-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1752843-C","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,-0.3260187,0.058,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2009815-A","ugpC","NP_387167.1","ABC transporter ATP-binding protein",2008784,2009854,"synonymous_variant",1,-0.2739699,0.089,"leaf1-(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-203274-G","tuf","WP_003525183.1","elongation factor Tu",202278,203453,"synonymous_variant",1,0.2474374,0.099,"leaf1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2099488-G","CDO30_RS10105","NP_387091.1","calcium-binding protein",2098405,2099595,"synonymous_variant",1,-0.1602763,0.241,"leaf1-(DZA-1)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2357675-A","tkt","NP_386868.1","transketolase",2356823,2358805,"synonymous_variant",1,0.3108177,0.068,"leaf1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2399209-T","CDO30_RS11475","WP_018481713.1","adenylosuccinate synthetase",2398205,2399503,"synonymous_variant",1,-0.2553353,0.094,"leaf1-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-241125-T","topA","WP_020487473.1","DNA topoisomerase I",240724,243408,"synonymous_variant",1,-0.3960483,0.058,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2438484-C","CDO30_RS11675","NP_386796.1","amidohydrolase",2437542,2438705,"synonymous_variant",1,-0.3723054,0.063,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-244618-C","rnr","NP_385405.1","ribonuclease R",243411,245780,"missense_variant",1,-0.2369766,0.11,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-25061-T","CDO30_RS00115-CDO30_RS00120",NA,"non-coding",NA,NA,"intergenic_region",1,-0.172804,0.377,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2512099-T","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,-0.398384,0.052,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2526759-G","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,-0.2717862,0.108,"leaf1-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2527401-A","CDO30_RS12135","NP_386712.1","MBL fold metallo-hydrolase",2526942,2527904,"synonymous_variant",1,-0.1828605,0.298,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2530325-G","CDO30_RS12145","NP_386710.2","LysR family transcriptional regulator",2529786,2530694,"synonymous_variant",1,-0.360161,0.063,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-25448-G","CDO30_RS00120","NP_385622.1","valine--tRNA ligase",25277,28120,"synonymous_variant",1,-0.2212602,0.141,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2560964-T","CDO30_RS12285","NP_386682.1","oxidoreductase",2560130,2561773,"missense_variant",1,0.2363243,0.105,"leaf1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2571172-C","CDO30_RS12330","NP_386673.1","oxidoreductase",2571146,2571916,"synonymous_variant",1,-0.181839,0.372,"leaf1-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2583505-A","CDO30_RS12385","NP_386662.1","shikimate dehydrogenase",2583016,2583969,"synonymous_variant",1,-0.2392704,0.11,"leaf1-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-260355-T","CDO30_RS01355","NP_385392.1","proline--tRNA ligase",260262,261590,"synonymous_variant",1,0.2456122,0.11,"leaf1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2716638-A","CDO30_RS13060","NP_386531.1","energy transducer TonB",2716594,2717520,"synonymous_variant",1,-0.2249377,0.105,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2725878-G","CDO30_RS13130","NP_386517.1","ABC transporter permease",2725865,2726797,"missense_variant",1,-0.2316806,0.094,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2725978-C","CDO30_RS13130","NP_386517.1","ABC transporter permease",2725865,2726797,"synonymous_variant",1,-0.1585155,0.34,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2744931-T","CDO30_RS13215","NP_386501.1","ATP-binding protein",2744407,2746323,"synonymous_variant",1,0.2012308,0.262,"leaf1+(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2759480-G","CDO30_RS13260","NP_386492.1","cation transporter",2758785,2759705,"synonymous_variant",1,-0.1831788,0.188,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2759486-C","CDO30_RS13260","NP_386492.1","cation transporter",2758785,2759705,"synonymous_variant",1,-0.2466525,0.178,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2788691-A","CDO30_RS13415","NP_386461.1","peptidyl-tRNA hydrolase",2788229,2788948,"synonymous_variant",1,-0.3829783,0.058,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2799125-C","CDO30_RS13460","NP_386452.1","aminopeptidase P family protein",2798027,2799178,"synonymous_variant",1,-0.1565564,0.361,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2818660-A","CDO30_RS13585","NP_386427.1","transcriptional regulator",2818250,2819140,"missense_variant",1,-0.1864632,0.178,"leaf1-(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-283711-A","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,-0.2962071,0.059,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2838141-C","CDO30_RS13685","NP_386410.1","acyl carrier protein",2838075,2838323,"synonymous_variant",1,0.2279922,0.164,"leaf1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2842313-T","CDO30_RS13705","WP_013844672.1","DNA helicase",2842235,2842846,"synonymous_variant",1,-0.2757309,0.073,"leaf1-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2842699-T","CDO30_RS13705","WP_013844672.1","DNA helicase",2842235,2842846,"synonymous_variant",1,-0.1960168,0.293,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2842732-C","CDO30_RS13705","WP_013844672.1","DNA helicase",2842235,2842846,"synonymous_variant",1,-0.1746644,0.33,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2842810-G","CDO30_RS13705","WP_013844672.1","DNA helicase",2842235,2842846,"synonymous_variant",1,-0.1725411,0.293,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-289079-C","CDO30_RS01505","NP_385367.1","exonuclease SbcCD subunit D",288113,289405,"synonymous_variant",1,0.2631014,0.105,"leaf1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2916007-G","CDO30_RS14045","NP_386342.1","ABC transporter ATP-binding protein",2915636,2916760,"synonymous_variant",2,0.3171872,0.058,"leaf1+(DZA-3), leaf1+(A17-4)","Both","con","other"
"Chromosome","freebayes-snp-chr-2916703-G","CDO30_RS14045","NP_386342.1","ABC transporter ATP-binding protein",2915636,2916760,"synonymous_variant",1,-0.2567968,0.084,"leaf1-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2997152-C","ftsZ","NP_386274.1","cell division protein FtsZ",2996047,2997819,"missense_variant",1,0.3165013,0.073,"leaf1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-3016908-C","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,-0.2000111,0.267,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-3066399-C","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",2,-0.1790886,0.304,"leaf1-(DZA-1), leaf1-(A17-4)","Both","con","other"
"Chromosome","freebayes-snp-chr-3232011-A","CDO30_RS15640","NP_386046.1","beta-ketoacyl-ACP synthase II",3231213,3232415,"missense_variant",1,-0.1574135,0.419,"leaf1-(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-3238561-A","CDO30_RS15680","NP_386039.1","sodium:alanine symporter family protein",3238033,3239451,"synonymous_variant",1,0.3291373,0.058,"leaf1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-3363166-G","CDO30_RS16290","NP_385922.1","kinesin",3360355,3366624,"synonymous_variant",1,-0.4028021,0.063,"leaf1-(A17-4)","A17 only","single","other"
