"rs","region","ps","start_pos","end_pos","af_191","af_89","impact","RefSeq_ID","ncbi_func","protein_ID","gene_ID","gene_interval","gene_ann","no_vars_group","no_effects","ave_effect","lines","assocs","host","cat_rhiz","cat_sym","pleio_type","trait_combs","host_pleio","pleio","sig"
"freebayes-snp-chr-1004836-A","Chromosome","1004836",1004698,1004910,0.094,0.079,"LOW","NP_384687.1","hypothetical protein","ASP57739.1","CDO30_05050","gene-CDO30_RS05060",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1007255-G","Chromosome","1007255",NA,NA,0.377,0.337,"MODIFIER",NA,"non-coding",NA,NA,"null",NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1007505-G","Chromosome","1007505",1007412,1008635,0.162,0.124,"LOW","NP_384684.2","capsule biosynthesis protein","ASP57742.1","CDO30_05065","gene-CDO30_RS05075",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1007727-G","Chromosome","1007727",1007412,1008635,0.257,0.236,"LOW","NP_384684.2","capsule biosynthesis protein","ASP57742.1","CDO30_05065","gene-CDO30_RS05075",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1007928-C","Chromosome","1007928",1007412,1008635,0.351,0.315,"LOW","NP_384684.2","capsule biosynthesis protein","ASP57742.1","CDO30_05065","gene-CDO30_RS05075",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1008000-C","Chromosome","1008000",1007412,1008635,0.131,0.09,"LOW","NP_384684.2","capsule biosynthesis protein","ASP57742.1","CDO30_05065","gene-CDO30_RS05075",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1008195-G","Chromosome","1008195",1007412,1008635,0.398,0.36,"LOW","NP_384684.2","capsule biosynthesis protein","ASP57742.1","CDO30_05065","gene-CDO30_RS05075",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1010220-T","Chromosome","1010220",1009003,1016517,0.325,0.303,"MODIFIER","NP_384683.1","beta-ketoacyl synthase",NA,"CDO30_05070","null",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1012469-G","Chromosome","1012469",1009003,1016517,0.34,0.315,"MODIFIER","NP_384683.1","beta-ketoacyl synthase",NA,"CDO30_05070","null",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1013841-A","Chromosome","1013841",1009003,1016517,0.12,0.101,"MODIFIER","NP_384683.1","beta-ketoacyl synthase",NA,"CDO30_05070","null",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1015659-C","Chromosome","1015659",1009003,1016517,0.298,0.292,"MODIFIER","NP_384683.1","beta-ketoacyl synthase",NA,"CDO30_05070","null",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1016400-G","Chromosome","1016400",1009003,1016517,0.366,0.337,"MODIFIER","NP_384683.1","beta-ketoacyl synthase",NA,"CDO30_05070","null",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1017149-G","Chromosome","1017149",1016514,1017929,0.298,0.27,"MODERATE","NP_384682.1","8-amino-7-oxononanoate synthase","ASP57743.1","CDO30_05075","gene-CDO30_RS05085",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
