"region","gene_ID","RefSeq_ID","ncbi_func","no_vars","no_traits","no_effects","min_ps","max_ps","min_score","max_score","ave_abs_score","ave_af","assocs","exps","host","cat"
"Chromosome","gene-CDO30_00655","WP_003534680.1","hypothetical protein",1,1,1,134524,134524,0.2578388,0.2578388,0.2578388,0.084,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","gene-CDO30_00665","NP_385518.1","hypothetical protein",1,1,1,136317,136317,0.2722688,0.2722688,0.2722688,0.079,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","gene-CDO30_00995","NP_385454.1","DNA-directed RNA polymerase subunit beta",1,1,1,194762,194762,0.2004839,0.2004839,0.2004839,0.152,"chloro1+(A17-2)[1]","2","A17 only","GxE"
"Chromosome","gene-CDO30_01045","WP_003525183.1","elongation factor Tu",1,1,1,203346,203346,-0.4716309,-0.4716309,0.4716309,0.058,"chloro1-(A17-2)[1]","2","A17 only","GxE"
"Chromosome","gene-CDO30_01270","NP_385407.1","DNA-protecting protein DprA",1,1,1,239458,239458,0.1490773,0.1490773,0.1490773,0.403,"chloro1+(A17-2)[1]","2","A17 only","GxE"
"Chromosome","gene-CDO30_01345","NP_385392.1","proline--tRNA ligase",1,1,1,260355,260355,0.2147301,0.2147301,0.2147301,0.11,"chloro1+(A17-2)[1]","2","A17 only","GxE"
"Chromosome","gene-CDO30_01545","NP_385358.1","cytochrome P450",1,1,1,301469,301469,-0.4219365,-0.4219365,0.4219365,0.052,"chloro1-(A17-2)[1]","2","A17 only","GxE"
"Chromosome","gene-CDO30_01710","NP_385326.1","ubiquinol-cytochrome C chaperone",1,1,1,332089,332089,0.2340468,0.2340468,0.2340468,0.168,"chloro1+(A17-2)[1]","2","A17 only","GxE"
"Chromosome","gene-CDO30_02525","NP_385167.1","outer membrane autotransporter barrel domain-containing protein",1,1,1,500930,500930,-0.1810721,-0.1810721,0.1810721,0.288,"chloro1-(A17-2)[1]","2","A17 only","GxE"
"Chromosome","gene-CDO30_02680","NP_385139.1","electron transfer flavoprotein-ubiquinone oxidoreductase",1,1,1,528474,528474,0.271051,0.271051,0.271051,0.089,"chloro1+(DZA-1)[1]","1","DZA only","GxE"
"Chromosome","gene-CDO30_02870","NP_385105.1","transcriptional regulator",1,1,1,568690,568690,-0.2615438,-0.2615438,0.2615438,0.22,"chloro1-(A17-2)[1]","2","A17 only","GxE"
"Chromosome","gene-CDO30_03230","NP_385038.1","pyruvate%2C phosphate dikinase",1,1,1,636869,636869,-0.3086766,-0.3086766,0.3086766,0.058,"chloro1-(A17-2)[1]","2","A17 only","GxE"
"Chromosome","gene-CDO30_04440","NP_384810.1","glucose-6-phosphate 1-dehydrogenase",1,1,1,890975,890975,-0.4472264,-0.4472264,0.4472264,0.052,"chloro1-(A17-2)[1]","2","A17 only","GxE"
"Chromosome","gene-CDO30_06240","NP_384460.1","5-dehydro-2-deoxygluconokinase",1,1,1,1272999,1272999,0.2735872,0.2735872,0.2735872,0.073,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","gene-CDO30_06560","NP_384396.1","LysR family transcriptional regulator",1,1,1,1331465,1331465,0.2796786,0.2796786,0.2796786,0.073,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","gene-CDO30_07155","NP_384284.1","lysylphosphatidylglycerol synthetase family protein",1,1,1,1451903,1451903,0.2159317,0.2159317,0.2159317,0.157,"chloro1+(A17-2)[1]","2","A17 only","GxE"
"Chromosome","gene-CDO30_07740","NP_384176.1","ABC transporter substrate-binding protein",1,1,1,1576593,1576593,0.2942499,0.2942499,0.2942499,0.073,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","gene-CDO30_07775","YP_001328930.1","L%2CD-transpeptidase",1,1,1,1585187,1585187,0.3120017,0.3120017,0.3120017,0.068,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","gene-CDO30_08705","NP_387338.1","heme transporter HemC",1,1,1,1806536,1806536,-0.3495692,-0.3495692,0.3495692,0.063,"chloro1-(A17-2)[1]","2","A17 only","GxE"
"Chromosome","gene-CDO30_11270","NP_386868.1","transketolase",1,1,1,2357675,2357675,0.2926473,0.2926473,0.2926473,0.068,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","gene-CDO30_11820","NP_386762.1","ABC transporter permease",1,1,1,2467062,2467062,0.2569003,0.2569003,0.2569003,0.089,"chloro1+(A17-2)[1]","2","A17 only","GxE"
"Chromosome","gene-CDO30_13240","NP_386492.1","cation transporter",2,1,2,2759480,2759486,-0.2420567,-0.1944966,0.21827665,0.183,"chloro1-(A17-4)[2]","4","A17 only","GxE"
"Chromosome","gene-CDO30_13670","NP_386408.1","MBOAT family protein",1,1,3,2840404,2840404,0.2645491,0.3760386,0.307175166666667,0.066,"chloro1+(DZA-1)[1], chloro1+(A17-2)[1], chloro1+(A17-4)[1]","1, 2, 4","Both","Partially Universal"
"Chromosome","gene-CDO30_13675","NP_386407.1","VOC family protein",1,1,1,2841699,2841699,0.2683031,0.2683031,0.2683031,0.104,"chloro1+(DZA-1)[1]","1","DZA only","GxE"
"Chromosome","gene-CDO30_13680","WP_013844672.1","DNA helicase",1,1,1,2842313,2842313,-0.3481945,-0.3481945,0.3481945,0.073,"chloro1-(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","gene-CDO30_14015","NP_386342.1","ABC transporter ATP-binding protein",1,1,1,2916007,2916007,0.3161354,0.3161354,0.3161354,0.058,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"Chromosome","gene-CDO30_14995","NP_386156.1","adenylate/guanylate cyclase domain-containing protein",1,1,1,3119553,3119553,0.2512303,0.2512303,0.2512303,0.073,"chloro1+(DZA-1)[1]","1","DZA only","GxE"
"pSymA","gene-CDO30_17830","NP_435959.2","hypothetical protein",1,1,1,797,797,0.3453651,0.3453651,0.3453651,0.068,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","gene-CDO30_17855","NP_435954.2","MFS transporter",1,1,1,6163,6163,0.2312711,0.2312711,0.2312711,0.152,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","gene-CDO30_18025","NP_435923.1","periplasmic nitrate reductase%2C NapE protein",1,1,1,35376,35376,-0.2066008,-0.2066008,0.2066008,0.188,"chloro1-(DZA-1)[1]","1","DZA only","GxE"
"pSymA","gene-CDO30_18040","NP_435920.1","periplasmic nitrate reductase subunit alpha",1,1,1,38655,38655,0.3152504,0.3152504,0.3152504,0.068,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","gene-CDO30_18045","NP_435919.1","nitrate reductase",3,1,3,38783,38807,0.2028596,0.320611,0.258488966666667,0.103,"chloro1+(DZA-3)[3]","3","DZA only","GxE"
"pSymA","gene-CDO30_18050","NP_435918.1","cytochrome C",2,1,2,39449,39500,0.2209191,0.2505051,0.2357121,0.1675,"chloro1+(DZA-3)[2]","3","DZA only","GxE"
"pSymA","gene-CDO30_18065","NP_435915.1","DNA-binding response regulator",1,1,1,42646,42646,0.3255853,0.3255853,0.3255853,0.079,"chloro1+(A17-2)[1]","2","A17 only","GxE"
"pSymA","gene-CDO30_18085","NP_435911.1","cytochrome c oxidase subunit 1",1,1,1,45960,45960,0.2325562,0.2325562,0.2325562,0.156,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","gene-CDO30_18100","NP_435908.1","cbb3-type cytochrome c oxidase subunit FixP",2,1,2,47858,48210,0.2152087,0.2737735,0.2444911,0.123,"chloro1+(DZA-3)[2]","3","DZA only","GxE"
"pSymA","gene-CDO30_18125","NP_435903.2","Crp/Fnr family transcriptional regulator",1,1,1,53876,53876,0.1818136,0.1818136,0.1818136,0.335,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","gene-CDO30_18140","NP_435900.1","copper resistance protein CopC",1,1,1,56110,56110,0.2328374,0.2328374,0.2328374,0.116,"chloro1+(A17-2)[1]","2","A17 only","GxE"
"pSymA","gene-CDO30_18805","NP_435777.2","LysR family transcriptional regulator",2,1,2,169005,169502,0.177422,0.3387054,0.2580637,0.161,"chloro1+(DZA-3)[2]","3","DZA only","GxE"
"pSymA","gene-CDO30_18815","WP_013845417.1","AbrB/MazE/SpoVT family DNA-binding domain-containing protein",1,1,1,170344,170344,0.2384023,0.2384023,0.2384023,0.231,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","gene-CDO30_18820","NP_435775.1","PIN domain-containing protein",1,1,1,170755,170755,0.2000862,0.2000862,0.2000862,0.151,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","gene-CDO30_18935","NP_435753.1","sensor histidine kinase",2,1,2,193505,193731,-0.2278899,0.2957842,0.26183705,0.112,"chloro1-(DZA-3)[1], chloro1+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","gene-CDO30_18940","NP_435752.1","mechanosensitive ion channel family protein",7,1,7,194382,195909,-0.4207835,0.3825394,0.3271086,0.101,"chloro1+(DZA-3)[6], chloro1-(DZA-3)[1]","3","DZA only","GxE"
"pSymA","gene-CDO30_18945","NP_435751.1","Ti-type conjugative transfer relaxase TraA",5,1,5,197319,200702,-0.37761,0.2927526,0.29182066,0.1058,"chloro1-(A17-2)[3], chloro1-(DZA-3)[1], chloro1+(DZA-3)[1]","2, 3","Both","other"
"pSymA","gene-CDO30_18950","NP_435750.1","pilus assembly protein",1,1,1,201975,201975,0.2113882,0.2113882,0.2113882,0.183,"chloro1+(A17-2)[1]","2","A17 only","GxE"
"pSymA","gene-CDO30_18960","NP_435748.1","Ti-type conjugative transfer system protein TraG",1,1,1,202687,202687,0.2245559,0.2245559,0.2245559,0.13,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","gene-CDO30_18995","NP_435745.1","hypothetical protein",1,1,1,207257,207257,0.1649533,0.1649533,0.1649533,0.492,"chloro1+(A17-2)[1]","2","A17 only","GxE"
"pSymA","gene-CDO30_19020","NP_435741.1","DUF1173 domain-containing protein",2,1,2,211399,212278,-0.1860341,-0.1770773,0.1815557,0.3185,"chloro1-(A17-2)[2]","2","A17 only","GxE"
"pSymA","gene-CDO30_19025","NP_435740.1","hypothetical protein",1,1,1,212481,212481,0.2512283,0.2512283,0.2512283,0.063,"chloro1+(DZA-1)[1]","1","DZA only","GxE"
"pSymA","gene-CDO30_19115","NP_435725.1","nodulation protein N",1,1,1,231727,231727,0.2361147,0.2361147,0.2361147,0.099,"chloro1+(DZA-1)[1]","1","DZA only","GxE"
"pSymA","gene-CDO30_19160","WP_014531651.1","hypothetical protein",1,1,1,240429,240429,0.3130711,0.3130711,0.3130711,0.063,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","gene-CDO30_19170","NP_435715.1","adenylyl-sulfate kinase",1,1,1,242980,242980,-0.3440082,-0.3440082,0.3440082,0.054,"chloro1-(A17-4)[1]","4","A17 only","GxE"
"pSymA","gene-CDO30_19190","NP_435712.1","nodulation protein E",1,1,1,247189,247189,0.3101204,0.3101204,0.3101204,0.073,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","gene-CDO30_19200","NP_435710.1","nodulation protein H",1,1,1,248929,248929,0.1889352,0.1889352,0.1889352,0.34,"chloro1+(DZA-3)[1]","3","DZA only","GxE"
"pSymA","gene-CDO30_19275","NP_435698.1","nitrogenase iron-molybdenum cofactor biosynthesis protein NifE",1,1,1,258116,258116,0.1856807,0.1856807,0.1856807,0.178,"chloro1+(DZA-1)[1]","1","DZA only","GxE"
