"region","rs","gene_name","RefSeq_ID","ncbi_func","start_pos","end_pos","effect","no_effects","ave_score","maf","assocs","host","dir","GxE"
"Chromosome","freebayes-snp-chr-155413-T","CDO30_RS00770","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase",155297,156424,"synonymous_variant",1,0.09641042,0.168,"shoot.plast+(DZA-13)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1751244-T","CDO30_RS08470","NP_387391.1","hypothetical protein",1750444,1751601,"synonymous_variant",1,-0.07617184,0.204,"shoot.plast-(DZA-13)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-241125-T","topA","WP_020487473.1","DNA topoisomerase I",240724,243408,"synonymous_variant",1,-0.2004874,0.058,"shoot.plast-(A17-24)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2526759-G","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,-0.1494556,0.108,"shoot.plast-(DZA-13)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2744931-T","CDO30_RS13215","NP_386501.1","ATP-binding protein",2744407,2746323,"synonymous_variant",1,-0.1213932,0.262,"shoot.plast-(A17-24)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2788691-A","CDO30_RS13415","NP_386461.1","peptidyl-tRNA hydrolase",2788229,2788948,"synonymous_variant",1,-0.197704,0.058,"shoot.plast-(A17-24)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2821377-C","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,-0.1888556,0.058,"shoot.plast-(DZA-13)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2838141-C","CDO30_RS13685","NP_386410.1","acyl carrier protein",2838075,2838323,"synonymous_variant",1,0.09699418,0.164,"shoot.plast+(DZA-13)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2842313-T","CDO30_RS13705","WP_013844672.1","DNA helicase",2842235,2842846,"synonymous_variant",1,-0.114144,0.073,"shoot.plast-(DZA-13)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-3119553-T","CDO30_RS15025","NP_386156.1","adenylate/guanylate cyclase domain-containing protein",3118504,3120273,"missense_variant",1,-0.1631668,0.073,"shoot.plast-(DZA-13)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-3363166-G","CDO30_RS16290","NP_385922.1","kinesin",3360355,3366624,"synonymous_variant",1,-0.2032375,0.063,"shoot.plast-(A17-24)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-3395787-A","CDO30_RS16420","NP_385897.1","FUSC family protein",3395542,3397557,"synonymous_variant",1,-0.2097713,0.073,"shoot.plast-(A17-24)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-3431456-C","CDO30_RS16610","NP_385861.1","peptidase T4",3430518,3431522,"missense_variant",1,-0.1886396,0.068,"shoot.plast-(A17-24)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-3612494-C","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,0.1325951,0.131,"shoot.plast+(DZA-13)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-396019-C","CDO30_RS02020","NP_385267.1","AMP-dependent synthetase",393660,396317,"missense_variant",1,-0.157826,0.079,"shoot.plast-(A17-24)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-528474-A","CDO30_RS02690","NP_385139.1","electron transfer flavoprotein-ubiquinone oxidoreductase",528459,530123,"synonymous_variant",1,-0.1237446,0.089,"shoot.plast-(DZA-13)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-949455-G","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,0.1447192,0.171,"shoot.plast+(DZA-13)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-970459-T","CDO30_RS04855","NP_384731.1","hypothetical protein",970370,970558,"synonymous_variant",1,-0.1907297,0.052,"shoot.plast-(A17-24)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1001352-T","CDO30_RS23355-CDO30_RS23370","YP_001314413.1","protease",1000914,1002449,"intergenic_region",1,-0.07491725,0.432,"shoot.plast-(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1001829-A","CDO30_RS23355-CDO30_RS23370","YP_001314413.1","protease",1000914,1002449,"intergenic_region",1,-0.09068496,0.389,"shoot.plast-(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1002369-A","CDO30_RS23355-CDO30_RS23370","YP_001314413.1","protease",1000914,1002449,"intergenic_region",1,0.1086784,0.105,"shoot.plast+(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1003823-T","CDO30_RS23375","NP_436290.1","osmotically inducible protein C",1003452,1004678,"missense_variant",1,-0.09147887,0.429,"shoot.plast-(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1004080-C","CDO30_RS23375","NP_436290.1","osmotically inducible protein C",1003452,1004678,"missense_variant",1,0.1052524,0.12,"shoot.plast+(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1004234-C","CDO30_RS23375","NP_436290.1","osmotically inducible protein C",1003452,1004678,"missense_variant",1,-0.09474118,0.202,"shoot.plast-(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1020709-T","CDO30_RS23465","NP_436274.1","FAD-binding oxidoreductase",1020466,1021791,"synonymous_variant",1,0.06515085,0.449,"shoot.plast+(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1021140-A","CDO30_RS23465","NP_436274.1","FAD-binding oxidoreductase",1020466,1021791,"missense_variant",1,0.07192354,0.412,"shoot.plast+(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1021446-C","CDO30_RS23465","NP_436274.1","FAD-binding oxidoreductase",1020466,1021791,"missense_variant",1,-0.1529882,0.064,"shoot.plast-(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1021639-A","CDO30_RS23465","NP_436274.1","FAD-binding oxidoreductase",1020466,1021791,"synonymous_variant",1,-0.1058409,0.46,"shoot.plast-(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1023019-A","CDO30_RS23475","NP_436272.1","ABC transporter ATP-binding protein",1022612,1024267,"synonymous_variant",1,0.08914212,0.444,"shoot.plast+(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1023593-G","CDO30_RS23475","NP_436272.1","ABC transporter ATP-binding protein",1022612,1024267,"synonymous_variant",1,0.07088632,0.487,"shoot.plast+(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1023919-T","CDO30_RS23475","NP_436272.1","ABC transporter ATP-binding protein",1022612,1024267,"missense_variant",1,-0.06561464,0.476,"shoot.plast-(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1026908-G","CDO30_RS23490","NP_436269.1","ABC transporter substrate-binding protein",1026169,1027779,"missense_variant",1,-0.1064626,0.46,"shoot.plast-(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1030624-C","CDO30_RS23505","YP_001314274.1","N-acetyltransferase",1030193,1031029,"missense_variant",1,0.0685856,0.294,"shoot.plast+(DZA-13)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1030972-C","CDO30_RS23505","YP_001314274.1","N-acetyltransferase",1030193,1031029,"missense_variant",1,0.06516407,0.484,"shoot.plast+(DZA-13)","DZA only","single","other"
