"region","rs","gene_name","RefSeq_ID","ncbi_func","start_pos","end_pos","effect","no_effects","ave_score","maf","assocs","host","dir","GxE"
"Chromosome","freebayes-snp-chr-1451903-C","CDO30_RS07170","NP_384284.1","lysylphosphatidylglycerol synthetase family protein",1451885,1452832,"synonymous_variant",1,0.2001482,0.157,"shoot+(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1601008-T","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,0.392379,0.059,"shoot+(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1633487-G","CDO30_RS07995","NP_384129.1","dehydrogenase",1632917,1633933,"synonymous_variant",1,0.2682263,0.131,"shoot+(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2526759-G","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,-0.2131393,0.108,"shoot-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2744931-T","CDO30_RS13215","NP_386501.1","ATP-binding protein",2744407,2746323,"synonymous_variant",1,0.1822072,0.262,"shoot+(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2821377-C","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,0.4353806,0.058,"shoot+(DZA-1)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2838141-C","CDO30_RS13685","NP_386410.1","acyl carrier protein",2838075,2838323,"synonymous_variant",1,0.2617372,0.164,"shoot+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2841699-C","CDO30_RS13700","NP_386407.1","VOC family protein",2841561,2842028,"synonymous_variant",1,0.328486,0.104,"shoot+(DZA-1)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-3119553-T","CDO30_RS15025","NP_386156.1","adenylate/guanylate cyclase domain-containing protein",3118504,3120273,"missense_variant",1,0.3888763,0.073,"shoot+(DZA-1)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-3395787-A","CDO30_RS16420","NP_385897.1","FUSC family protein",3395542,3397557,"synonymous_variant",1,0.3119373,0.073,"shoot+(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-3518852-A","CDO30_RS17105","NP_385776.1","ABC transporter ATP-binding protein",3518634,3520220,"synonymous_variant",1,0.3378781,0.063,"shoot+(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-528474-A","CDO30_RS02690","NP_385139.1","electron transfer flavoprotein-ubiquinone oxidoreductase",528459,530123,"synonymous_variant",1,0.295604,0.089,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1005422-T","msrB","NP_436288.1","peptide-methionine (R)-S-oxide reductase",1005391,1005834,"missense_variant",1,-0.1574499,0.379,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1005722-C","msrB","NP_436288.1","peptide-methionine (R)-S-oxide reductase",1005391,1005834,"missense_variant",1,-0.2807245,0.089,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1021446-C","CDO30_RS23465","NP_436274.1","FAD-binding oxidoreductase",1020466,1021791,"missense_variant",1,0.4147401,0.064,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1021639-A","CDO30_RS23465","NP_436274.1","FAD-binding oxidoreductase",1020466,1021791,"synonymous_variant",1,-0.1732844,0.46,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1023050-T","CDO30_RS23475","NP_436272.1","ABC transporter ATP-binding protein",1022612,1024267,"synonymous_variant",1,0.2878592,0.15,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1023593-G","CDO30_RS23475","NP_436272.1","ABC transporter ATP-binding protein",1022612,1024267,"synonymous_variant",1,-0.1367196,0.487,"shoot-(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1024282-C","CDO30_RS23480","NP_436271.1","ABC transporter permease",1024267,1025130,"synonymous_variant",1,0.3119532,0.08,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1031002-T","CDO30_RS23505","YP_001314274.1","N-acetyltransferase",1030193,1031029,"missense_variant",2,0.20724265,0.166,"shoot+(DZA-1), shoot+(DZA-3)","DZA only","con","concordant_DZA"
"pSymA","freebayes-snp-psyma-1031294-A","CDO30_RS23505-CDO30_RS23510",NA,"non-coding",NA,NA,"intergenic_region",1,0.2888634,0.16,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1032138-G","CDO30_RS23515","NP_436264.1","FAD-binding oxidoreductase",1032031,1033308,"synonymous_variant",1,0.1679656,0.497,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1032500-G","CDO30_RS23515","NP_436264.1","FAD-binding oxidoreductase",1032031,1033308,"missense_variant",1,0.1710408,0.481,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1032693-G","CDO30_RS23515","NP_436264.1","FAD-binding oxidoreductase",1032031,1033308,"synonymous_variant",1,-0.2376196,0.112,"shoot-(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1035106-A","CDO30_RS23525","NP_436262.1","tartrate dehydrogenase",1035061,1036104,"synonymous_variant",1,-0.2103906,0.31,"shoot-(A17-4)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1036819-A","CDO30_RS23530","NP_436261.1","aldehyde dehydrogenase",1036114,1037577,"synonymous_variant",1,-0.2506668,0.112,"shoot-(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1043695-A","CDO30_RS23565","NP_436255.1","hypothetical protein",1043249,1043701,"stop_gained",1,-0.2581165,0.095,"shoot-(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1043909-T","CDO30_RS34085",NA,"hypothetical protein",1043765,1044124,"synonymous_variant",1,-0.2877475,0.084,"shoot-(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1044428-C","CDO30_RS34085-CDO30_RS23580","YP_002823802.1","hypothetical protein",1044099,1045081,"intergenic_region",1,0.3118947,0.111,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1044881-T","CDO30_RS34085-CDO30_RS23580","YP_002823802.1","hypothetical protein",1044099,1045081,"intergenic_region",1,0.3533924,0.053,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1046956-C","CDO30_RS23585","NP_436252.1","AraC family transcriptional regulator",1046348,1047256,"synonymous_variant",1,-0.2539287,0.111,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1049496-T","CDO30_RS23595-CDO30_RS23605","WP_014531371.1","hypothetical protein",1049471,1049665,"intergenic_region",1,-0.2214817,0.184,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1052705-C","CDO30_RS23620","NP_436246.1","DoxX family protein",1052687,1053145,"missense_variant",1,0.3147095,0.121,"shoot+(DZA-3)","DZA only","single","other"
