"region","rs","gene_name","RefSeq_ID","ncbi_func","start_pos","end_pos","effect","no_effects","ave_score","maf","assocs","host","dir","GxE"
"Chromosome","freebayes-snp-chr-1331465-A","CDO30_RS06570","NP_384396.1","LysR family transcriptional regulator",1331357,1332247,"synonymous_variant",1,0.2722477,0.073,"height1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-134524-A","gene-CDO30_RS00160","WP_003534680.1","hypothetical protein",134320,134594,"intragenic_variant",1,0.2705874,0.084,"height1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-136317-T","CDO30_RS00675","NP_385518.1","hypothetical protein",135832,136560,"missense_variant",1,0.2495594,0.079,"height1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1576593-T","CDO30_RS07755","NP_384176.1","ABC transporter substrate-binding protein",1576054,1577280,"synonymous_variant",1,0.267402,0.073,"height1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1585187-T","CDO30_RS07790","YP_001328930.1","L%2CD-transpeptidase",1585116,1585790,"synonymous_variant",1,0.2860224,0.068,"height1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1601008-T","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,0.319556,0.059,"height1+(DZA-1)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-203274-G","tuf","WP_003525183.1","elongation factor Tu",202278,203453,"synonymous_variant",1,0.2257292,0.099,"height1+(A17-4)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2783560-G","CDO30_RS13380","NP_386468.1","CCA tRNA nucleotidyltransferase",2782913,2784172,"missense_variant",1,-0.3456615,0.052,"height1-(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2821377-C","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,0.3536033,0.058,"height1+(DZA-1)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-2836899-A","CDO30_RS13680","NP_386411.1","methoxymalonyl-ACP biosynthesis protein FkbH",2836081,2838036,"missense_variant",1,0.2995891,0.074,"height1+(DZA-3)","DZA only","single","other"
