"region","rs","gene_name","RefSeq_ID","ncbi_func","start_pos","end_pos","effect","no_effects","ave_score","maf","assocs","host","dir","GxE"
"Chromosome","freebayes-snp-chr-1272999-A","iolC","NP_384460.1","5-dehydro-2-deoxygluconokinase",1271286,1273238,"synonymous_variant",1,0.2735872,0.073,"chloro1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1331465-A","CDO30_RS06570","NP_384396.1","LysR family transcriptional regulator",1331357,1332247,"synonymous_variant",1,0.2796786,0.073,"chloro1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-134524-A","gene-CDO30_RS00160","WP_003534680.1","hypothetical protein",134320,134594,"intragenic_variant",1,0.2578388,0.084,"chloro1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-136317-T","CDO30_RS00675","NP_385518.1","hypothetical protein",135832,136560,"missense_variant",1,0.2722688,0.079,"chloro1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1451903-C","CDO30_RS07170","NP_384284.1","lysylphosphatidylglycerol synthetase family protein",1451885,1452832,"synonymous_variant",1,0.2159317,0.157,"chloro1+(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-1576593-T","CDO30_RS07755","NP_384176.1","ABC transporter substrate-binding protein",1576054,1577280,"synonymous_variant",1,0.2942499,0.073,"chloro1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1585187-T","CDO30_RS07790","YP_001328930.1","L%2CD-transpeptidase",1585116,1585790,"synonymous_variant",1,0.3120017,0.068,"chloro1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-1806536-A","CDO30_RS08720","NP_387338.1","heme transporter HemC",1806272,1807042,"synonymous_variant",1,-0.3495692,0.063,"chloro1-(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-194762-C","rpoB","NP_385454.1","DNA-directed RNA polymerase subunit beta",191951,196093,"synonymous_variant",1,0.2004839,0.152,"chloro1+(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-203346-A","tuf","WP_003525183.1","elongation factor Tu",202278,203453,"synonymous_variant",1,-0.4716309,0.058,"chloro1-(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2357675-A","tkt","NP_386868.1","transketolase",2356823,2358805,"synonymous_variant",1,0.2926473,0.068,"chloro1+(DZA-3)","DZA only","single","other"
"Chromosome","freebayes-snp-chr-239458-G","dprA","NP_385407.1","DNA-protecting protein DprA",239363,240514,"synonymous_variant",1,0.1490773,0.403,"chloro1+(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2467062-T","CDO30_RS11840","NP_386762.1","ABC transporter permease",2466831,2467847,"synonymous_variant",1,0.2569003,0.089,"chloro1+(A17-2)","A17 only","single","other"
"Chromosome","freebayes-snp-chr-2526759-G","gene-CDO30_RS00160",NA,"non-coding",NA,NA,"intragenic_variant",1,-0.2949944,0.108,"chloro1-(A17-4)","A17 only","single","other"
