"rs","region","ps","start_pos","end_pos","af_191","af_89","impact","RefSeq_ID","ncbi_func","protein_ID","gene_ID","gene_interval","gene_ann","no_vars_group","line","trait_comb","trait_comb_line","trait_comb_dir","sig_traits","pleio","effect","cat","betas_y","betas_x","betas_y.c","betas_x.c","line_cat","pleio_type","pleio_cat"
"freebayes-snp-psyma-1024282-C","pSymA","1024282",1024267,1025130,0.08,0.093,"LOW","NP_436271.1","ABC transporter permease","ASP61155.1","CDO30_23450","gene-CDO30_RS23480",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.3113509,0.3793077,0.3113509,0.3793077,"DZA_D","sym","Al"
"freebayes-snp-psyma-1030882-T","pSymA","1030882",1030193,1031029,0.085,0.103,"MODERATE","YP_001314274.1","N-acetyltransferase","ASP61511.1","CDO30_23475","gene-CDO30_RS23505",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.3086748,0.3819668,0.3086748,0.3819668,"DZA_D","sym","Al"
"freebayes-snp-psyma-1031002-T","pSymA","1031002",1030193,1031029,0.166,0.174,"MODERATE","YP_001314274.1","N-acetyltransferase","ASP61511.1","CDO30_23475","gene-CDO30_RS23505",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.1929807,0.3158836,0.1929807,0.3158836,"DZA_D","sym","Al"
"freebayes-snp-psyma-1078518-G","pSymA","1078518",1077723,1079039,0.073,0.079,"LOW","NP_436219.1","aminotransferase","ASP61201.1","CDO30_23745","gene-CDO30_RS23770",NA,2,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.3304926,0.436746,0.3304926,0.436746,"DZA_D","sym","Al"
"freebayes-snp-psyma-1139457-T","pSymA","1139457",1138240,1139673,0.105,0.112,"LOW","NP_436166.2","amidohydrolase family protein","ASP61523.1","CDO30_24020","gene-CDO30_RS24045",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.3111368,0.3843277,0.3111368,0.3843277,"DZA_D","sym","Al"
"freebayes-snp-psyma-1316627-G","pSymA","1316627",1315714,1316628,0.068,0.067,"HIGH","NP_436006.1","LysR family transcriptional regulator","ASP61401.1","CDO30_24870","gene-CDO30_RS24895",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.351695,0.4533547,0.351695,0.4533547,"DZA_D","sym","Al"
"freebayes-snp-psyma-1338295-C","pSymA","1338295",NA,NA,0.099,0.112,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS25010-gene-CDO30_RS25015",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.2941337,0.4767252,0.2941337,0.4767252,"DZA_D","sym","Al"
"freebayes-snp-psyma-1338734-T","pSymA","1338734",1338576,1339463,0.105,0.101,"LOW","NP_435985.1","sugar phosphate isomerase/epimerase","ASP61423.1","CDO30_24990","gene-CDO30_RS25015",NA,2,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.2553377,0.5525447,0.2553377,0.5525447,"DZA_D","sym","Al"
"freebayes-snp-psyma-1343223-C","pSymA","1343223",1342485,1343561,0.115,0.112,"MODERATE","NP_435981.1","ABC transporter ATP-binding protein","ASP61427.1","CDO30_25010","gene-CDO30_RS25035",NA,2,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.2404586,0.395762,0.2404586,0.395762,"DZA_D","sym","Al"
"freebayes-snp-psyma-1346695-T","pSymA","1346695",1345828,1346733,0.073,0.079,"LOW","NP_435978.2","sugar ABC transporter permease","ASP61431.1","CDO30_25030","gene-CDO30_RS25055",NA,5,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.3486135,0.5798976,0.3486135,0.5798976,"DZA_D","sym","Al"
