"rs","region","ps","start_pos","end_pos","af_191","af_89","impact","RefSeq_ID","ncbi_func","protein_ID","gene_ID","gene_interval","gene_ann","no_vars_group","line","trait_comb","trait_comb_line","trait_comb_dir","sig_traits","pleio","effect","cat","betas_y","betas_x","betas_y.c","betas_x.c","line_cat","pleio_type","pleio_cat"
"freebayes-snp-psyma-1035106-A","pSymA","1035106",1035061,1036104,0.31,0.326,"LOW","NP_436262.1","tartrate dehydrogenase","ASP61163.1","CDO30_23495","gene-CDO30_RS23525",NA,4,"A17","shoot_vs_nod.weight","shoot_vs_nod.weight_A17","shoot+_vs_nod.weight+_A17","Both_traits","Y","Bottom_left","D",-0.2103906,-0.1802534,0.2103906,0.1802534,"A17_D","sym","Al"
"freebayes-snp-psyma-248488-A","pSymA","248488",248336,249079,0.204,0.169,"LOW","NP_435710.1","nodulation protein H","ASP60452.1","CDO30_19200","gene-CDO30_RS19220",NA,9,"A17","shoot_vs_nod.weight","shoot_vs_nod.weight_A17","shoot-_vs_nod.weight-_A17","Both_traits","Y","Top_right","D",0.1861038,0.1851528,0.1861038,0.1851528,"A17_D","sym","Al"
"freebayes-snp-psyma-259775-T","pSymA","259775",259595,261136,0.079,0.067,"LOW","NP_435697.1","nitrogenase molybdenum-iron protein subunit beta","ASP60464.1","CDO30_19280","gene-CDO30_RS19300","nifK",2,"A17","shoot_vs_nod.weight","shoot_vs_nod.weight_A17","shoot-_vs_nod.weight-_A17","Both_traits","Y","Top_right","D",0.2887735,0.2691758,0.2887735,0.2691758,"A17_D","sym","Al"
"freebayes-snp-psyma-330614-G","pSymA","330614",329003,330712,0.225,0.225,"LOW","NP_435627.1","IclR family transcriptional regulator","ASP60529.1","CDO30_19705","gene-CDO30_RS19715",NA,1,"A17","shoot_vs_nod.weight","shoot_vs_nod.weight_A17","shoot+_vs_nod.weight+_A17","Both_traits","Y","Bottom_left","D",-0.1667844,-0.2624132,0.1667844,0.2624132,"A17_D","sym","Al"
"freebayes-snp-psyma-347838-A","pSymA","347838",347682,348188,0.262,0.241,"MODERATE","NP_435610.2","hypothetical protein","ASP60545.1","CDO30_19800","gene-CDO30_RS19805",NA,1,"A17","shoot_vs_nod.weight","shoot_vs_nod.weight_A17","shoot-_vs_nod.weight-_A17","Both_traits","Y","Top_right","D",0.1857195,0.1971426,0.1857195,0.1971426,"A17_D","sym","Al"
"freebayes-snp-psyma-356425-G","pSymA","356425",354869,357232,0.112,0.092,"LOW","YP_001313905.1","amino acid decarboxylase","ASP60548.1","CDO30_19835","gene-CDO30_RS19840",NA,2,"A17","shoot_vs_nod.weight","shoot_vs_nod.weight_A17","shoot-_vs_nod.weight-_A17","Both_traits","Y","Top_right","D",0.2440593,0.3071173,0.2440593,0.3071173,"A17_D","sym","Al"
"freebayes-snp-psyma-356698-G","pSymA","356698",354869,357232,0.128,0.114,"LOW","YP_001313905.1","amino acid decarboxylase","ASP60548.1","CDO30_19835","gene-CDO30_RS19840",NA,1,"A17","shoot_vs_nod.weight","shoot_vs_nod.weight_A17","shoot-_vs_nod.weight-_A17","Both_traits","Y","Top_right","D",0.2263557,0.2516863,0.2263557,0.2516863,"A17_D","sym","Al"
"freebayes-snp-psyma-359911-C","pSymA","359911",359794,360939,0.356,0.307,"MODERATE","NP_435603.2","calcium/proton exchanger","ASP60551.1","CDO30_19850","gene-CDO30_RS19855","cax",1,"A17","shoot_vs_nod.weight","shoot_vs_nod.weight_A17","shoot-_vs_nod.weight-_A17","Both_traits","Y","Top_right","D",0.1899087,0.1590104,0.1899087,0.1590104,"A17_D","sym","Al"
"freebayes-snp-psyma-360129-A","pSymA","360129",359794,360939,0.38,0.333,"LOW","NP_435603.2","calcium/proton exchanger","ASP60551.1","CDO30_19850","gene-CDO30_RS19855","cax",1,"A17","shoot_vs_nod.weight","shoot_vs_nod.weight_A17","shoot-_vs_nod.weight-_A17","Both_traits","Y","Top_right","D",0.1746802,0.1671416,0.1746802,0.1671416,"A17_D","sym","Al"
"freebayes-snp-psyma-364610-C","pSymA","364610",364036,365265,0.332,0.31,"MODERATE","NP_435599.1","HlyD family secretion protein","ASP60555.1","CDO30_19880","gene-CDO30_RS19885",NA,1,"A17","shoot_vs_nod.weight","shoot_vs_nod.weight_A17","shoot-_vs_nod.weight-_A17","Both_traits","Y","Top_right","D",0.1880536,0.1523254,0.1880536,0.1523254,"A17_D","sym","Al"
"freebayes-snp-psyma-370024-T","pSymA","370024",369725,370360,0.096,0.091,"LOW","NP_435594.1","transcriptional regulator","ASP60559.1","CDO30_19905","gene-CDO30_RS19910",NA,1,"A17","shoot_vs_nod.weight","shoot_vs_nod.weight_A17","shoot-_vs_nod.weight-_A17","Both_traits","Y","Top_right","D",0.2564461,0.3392476,0.2564461,0.3392476,"A17_D","sym","Al"
